id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_outswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,off_camera,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_switch,pass_through_ball,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,foul_won_penalty,ball_recovery_recovery_failure,dribble_nutmeg,pass_no_touch,foul_won_defensive,bad_behaviour_card_id,bad_behaviour_card_name,goalkeeper_punched_out,pass_inswinging,shot_aerial_won,foul_committed_offensive,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,clearance_other,shot_redirect,pass_goal_assist,timestamp_seconds
5165a2e2-34e1-4dc2-accd-b5a7722da546,2027,2,00:07:56.003,52,56,115,3.255785,17,Pressure,209,Celta Vigo,1,Regular Play,1049,Granada,,,"['00b6dd56-cc06-47b7-9761-5767d2d3822a', '0a32b927-2456-4321-8fe2-c335f5dc9512', '456a0570-ba45-47b2-a24f-fb00b0545200', '8dbbe564-29e7-4add-8dc0-f1cacdda391b']","[38.7, 4.8]",4498.0,Jean-Sylvain Claude Babin,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.003
00b6dd56-cc06-47b7-9761-5767d2d3822a,2028,2,00:07:56.072,52,56,115,,42,Ball Receipt*,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['5165a2e2-34e1-4dc2-accd-b5a7722da546', 'c49b830e-5f1a-4cd1-8f1a-c66a8c704bf6']","[78.6, 77.0]",6038.0,John Guidetti,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.072
456a0570-ba45-47b2-a24f-fb00b0545200,2029,2,00:07:56.072,52,56,115,0.104925,43,Carry,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['00b6dd56-cc06-47b7-9761-5767d2d3822a', '5165a2e2-34e1-4dc2-accd-b5a7722da546', '8dbbe564-29e7-4add-8dc0-f1cacdda391b']","[78.6, 77.0]",6038.0,John Guidetti,23.0,Center Forward,,,,,,,,,,,,"[79.5, 78.4]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.072
8dbbe564-29e7-4add-8dc0-f1cacdda391b,2030,2,00:07:56.177,52,56,115,0.0,38,Miscontrol,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['5165a2e2-34e1-4dc2-accd-b5a7722da546'],"[79.5, 78.4]",6038.0,John Guidetti,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,476.177
0a32b927-2456-4321-8fe2-c335f5dc9512,2031,2,00:07:57.301,52,57,115,2.000105,17,Pressure,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,"['47d80394-a27d-47b1-ae90-f72a9f36e749', '5165a2e2-34e1-4dc2-accd-b5a7722da546', '642dbc54-6e90-494d-a386-3582c924c2d8', 'bf18b375-2486-4f5a-ae1b-61ba9b35b397']","[79.0, 79.2]",6038.0,John Guidetti,23.0,Center Forward,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.301
bf18b375-2486-4f5a-ae1b-61ba9b35b397,2032,2,00:07:57.778,52,57,115,0.0,2,Ball Recovery,209,Celta Vigo,1,Regular Play,1049,Granada,,,['0a32b927-2456-4321-8fe2-c335f5dc9512'],"[43.2, 1.7]",4498.0,Jean-Sylvain Claude Babin,5.0,Left Center Back,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.778
47d80394-a27d-47b1-ae90-f72a9f36e749,2033,2,00:07:57.778,52,57,115,1.468333,43,Carry,209,Celta Vigo,1,Regular Play,1049,Granada,,,"['0a32b927-2456-4321-8fe2-c335f5dc9512', '642dbc54-6e90-494d-a386-3582c924c2d8', 'bf18b375-2486-4f5a-ae1b-61ba9b35b397']","[43.2, 1.7]",4498.0,Jean-Sylvain Claude Babin,5.0,Left Center Back,,,,,,,,,,,,"[43.2, 5.9]",,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.778
642dbc54-6e90-494d-a386-3582c924c2d8,2034,2,00:07:59.246,52,59,115,0.054519,30,Pass,209,Celta Vigo,1,Regular Play,1049,Granada,,,"['0a32b927-2456-4321-8fe2-c335f5dc9512', 'e37f7c62-96e9-4209-a736-90556d49c706']","[43.2, 5.9]",4498.0,Jean-Sylvain Claude Babin,5.0,Left Center Back,,,1.4,0.0,1.0,Ground Pass,"[44.6, 5.9]",40.0,Right Foot,,,,9.0,Incomplete,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.246
e37f7c62-96e9-4209-a736-90556d49c706,2035,2,00:07:59.301,52,59,115,0.0,6,Block,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['642dbc54-6e90-494d-a386-3582c924c2d8'],"[75.5, 74.2]",6038.0,John Guidetti,23.0,Center Forward,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,479.301
a044d5de-07f4-4c8f-aa9c-fd83d1825015,2036,2,00:08:00.515,53,0,115,0.718951,30,Pass,209,Celta Vigo,1,Regular Play,209,Celta Vigo,,,['20ef01b3-cc23-4930-9279-ec740992c58e'],"[79.5, 70.4]",6038.0,John Guidetti,23.0,Center Forward,5217.0,Iago Aspas Juncal,5.731492,-2.3932147,1.0,Ground Pass,"[75.3, 66.5]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.515
