id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,under_pressure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,out,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,pass_cross,pass_goal_assist,clearance_left_foot,duel_outcome_id,duel_outcome_name,foul_committed_penalty,foul_won_defensive,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,shot_deflected,block_deflection,shot_first_time,pass_through_ball,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,shot_saved_off_target,goalkeeper_shot_saved_off_target,shot_aerial_won,ball_recovery_recovery_failure,pass_miscommunication,goalkeeper_punched_out,timestamp_seconds
4522fb8a-7bdc-4de2-bff8-4c0054ef6f2d,3728,2,00:43:59.183,88,59,168,0.976152,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['10f9b52f-5dcf-494a-b0de-567ecc304947', 'cad1790a-e7dc-49c9-89f9-0ebe2c4e516c']","[106.9, 62.9]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,4926.0,Francisco Román Alarcón Suárez,13.018832,-1.6245905,1.0,Ground Pass,"[106.2, 49.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639.183
10f9b52f-5dcf-494a-b0de-567ecc304947,3729,2,00:44:00.159,89,0,168,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['4522fb8a-7bdc-4de2-bff8-4c0054ef6f2d'],"[104.2, 49.9]",4926.0,Francisco Román Alarcón Suárez,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.159
cad1790a-e7dc-49c9-89f9-0ebe2c4e516c,3730,2,00:44:00.159,89,0,168,2.979658,30,Pass,220,Real Madrid,1,Regular Play,214,Espanyol,,,"['4522fb8a-7bdc-4de2-bff8-4c0054ef6f2d', 'd4ee93a7-c68d-4602-ac3b-c4f0cbaae89d']","[13.9, 30.2]",6867.0,Papa Kouly Diop,9.0,Right Defensive Midfield,6838.0,Hernán Arsenio Pérez González,43.352623,-0.7674556,1.0,Ground Pass,"[45.1, 0.1]",40.0,Right Foot,64.0,Interception,,,,,,,,,,,,,,,,,,,,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2640.159
d4ee93a7-c68d-4602-ac3b-c4f0cbaae89d,3731,2,00:44:03.139,89,3,168,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,214,Espanyol,,,['cad1790a-e7dc-49c9-89f9-0ebe2c4e516c'],"[26.3, 14.6]",6838.0,Hernán Arsenio Pérez González,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2643.139
6c1a3b2e-028f-44fd-8c2f-5d3cabd13b1c,3732,2,00:44:06.767,89,6,169,0.925835,30,Pass,220,Real Madrid,4,From Throw In,220,Real Madrid,,,['44de4fbe-6b8f-49f4-a765-e6cfcb30b7f2'],"[78.2, 80.0]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,5200.0,Lucas Vázquez Iglesias,11.200892,-0.35563588,2.0,Low Pass,"[88.7, 76.1]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2646.767
44de4fbe-6b8f-49f4-a765-e6cfcb30b7f2,3733,2,00:44:07.693,89,7,169,,42,Ball Receipt*,220,Real Madrid,4,From Throw In,220,Real Madrid,,,['6c1a3b2e-028f-44fd-8c2f-5d3cabd13b1c'],"[88.7, 76.1]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.693
0ccf8d84-8889-41d9-af42-1ae4e8c123f2,3734,2,00:44:07.693,89,7,169,0.755676,30,Pass,220,Real Madrid,4,From Throw In,220,Real Madrid,,,['d08020f2-71a5-460a-9d8f-8d873edd7448'],"[88.7, 76.1]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,5721.0,Daniel Carvajal Ramos,5.3665633,2.6779451,1.0,Ground Pass,"[83.9, 78.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.693
31aa29b3-b104-40c2-86dc-07265f08a0d0,3735,2,00:44:08.355,89,8,169,0.742079,17,Pressure,220,Real Madrid,4,From Throw In,214,Espanyol,,,"['32236b19-26f1-4be4-b85e-94f41ae6fd8f', '87ed5167-3717-494c-8851-cb5201cc85c1', 'd08020f2-71a5-460a-9d8f-8d873edd7448']","[34.5, 3.1]",6838.0,Hernán Arsenio Pérez González,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.355
d08020f2-71a5-460a-9d8f-8d873edd7448,3736,2,00:44:08.448,89,8,169,,42,Ball Receipt*,220,Real Madrid,4,From Throw In,220,Real Madrid,,,"['0ccf8d84-8889-41d9-af42-1ae4e8c123f2', '31aa29b3-b104-40c2-86dc-07265f08a0d0']","[83.9, 78.5]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.448
87ed5167-3717-494c-8851-cb5201cc85c1,3737,2,00:44:08.448,89,8,169,0.487735,43,Carry,220,Real Madrid,4,From Throw In,220,Real Madrid,,,"['31aa29b3-b104-40c2-86dc-07265f08a0d0', '32236b19-26f1-4be4-b85e-94f41ae6fd8f', 'd08020f2-71a5-460a-9d8f-8d873edd7448']","[83.9, 78.5]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,,,,,,,,,,,,"[83.4, 78.9]",,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.448
32236b19-26f1-4be4-b85e-94f41ae6fd8f,3738,2,00:44:08.936,89,8,169,0.972774,30,Pass,220,Real Madrid,4,From Throw In,220,Real Madrid,,,"['31aa29b3-b104-40c2-86dc-07265f08a0d0', '62e3d4b3-cbd8-465f-855d-7304a126d78a']","[83.4, 78.9]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,4926.0,Francisco Román Alarcón Suárez,10.46948,-0.30060568,1.0,Ground Pass,"[93.4, 75.8]",40.0,Right Foot,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2648.936
