id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,off_camera,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_card_id,foul_committed_card_name,pass_aerial_won,pass_inswinging,pass_technique_id,pass_technique_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,goalkeeper_end_location,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_cut_back,shot_first_time,foul_committed_penalty,foul_won_penalty,block_offensive,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,clearance_aerial_won,pass_miscommunication,pass_outswinging,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,timestamp_seconds
90d2336e-9913-4498-a279-1650ebb6698f,581,1,00:16:57.407,16,57,58,0.643127,17,Pressure,1049,Granada,1,Regular Play,216,Getafe,,,['20c92103-2ed4-488c-bbd3-78b4c5958321'],"[27.6, 26.9]",15893.0,Víctor Rodríguez Romero,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.407
75910d17-1624-4f50-80a4-4a5f3a47ee17,582,1,00:16:58.147,16,58,58,0.554947,17,Pressure,1049,Granada,1,Regular Play,216,Getafe,,,['086b359e-63db-4b86-8cb0-c87eeaf7bd30'],"[27.0, 28.4]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.147
086b359e-63db-4b86-8cb0-c87eeaf7bd30,583,1,00:16:58.554,16,58,58,0.0,38,Miscontrol,1049,Granada,1,Regular Play,1049,Granada,,,['75910d17-1624-4f50-80a4-4a5f3a47ee17'],"[92.9, 51.5]",27109.0,Youssef El-Arabi,23.0,Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.554
08bfca8e-be0a-410e-b345-a37921d8ca69,584,1,00:16:59.701,16,59,59,0.0,2,Ball Recovery,216,Getafe,1,Regular Play,216,Getafe,,,,"[33.4, 33.3]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.701
27260095-0c69-4bb2-a0e3-34495908f8b7,585,1,00:16:59.701,16,59,59,1.535365,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['08bfca8e-be0a-410e-b345-a37921d8ca69', '18051f09-df6f-4375-bd07-6efae5979ef8', '50dd041c-a0c9-4727-a042-cb357a3dfce5']","[33.4, 33.3]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,"[37.0, 42.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1019.701
50dd041c-a0c9-4727-a042-cb357a3dfce5,586,1,00:17:01.237,17,1,59,0.0,39,Dribbled Past,216,Getafe,1,Regular Play,1049,Granada,,,"['18051f09-df6f-4375-bd07-6efae5979ef8', '27260095-0c69-4bb2-a0e3-34495908f8b7', 'e008c31f-d930-40c9-9e44-a5e57c674d25']","[83.1, 38.0]",24783.0,Javier Márquez Moreno,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.237
18051f09-df6f-4375-bd07-6efae5979ef8,587,1,00:17:01.237,17,1,59,0.0,14,Dribble,216,Getafe,1,Regular Play,216,Getafe,,,['50dd041c-a0c9-4727-a042-cb357a3dfce5'],"[37.0, 42.1]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.237
e008c31f-d930-40c9-9e44-a5e57c674d25,588,1,00:17:01.237,17,1,59,0.402677,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['18051f09-df6f-4375-bd07-6efae5979ef8', '31fa02f3-f733-49cd-adf1-603bd42aceac', '50dd041c-a0c9-4727-a042-cb357a3dfce5', 'c90178d5-1ef2-46b6-b123-fbbac7ef1f70']","[37.0, 42.1]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,"[37.0, 42.1]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.237
c90178d5-1ef2-46b6-b123-fbbac7ef1f70,589,1,00:17:01.640,17,1,59,0.0,22,Foul Committed,216,Getafe,1,Regular Play,1049,Granada,,,"['31fa02f3-f733-49cd-adf1-603bd42aceac', '8934f0b7-3f28-41ae-9b66-49a7c75677d5', 'e008c31f-d930-40c9-9e44-a5e57c674d25']","[83.1, 38.0]",24783.0,Javier Márquez Moreno,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,1021.64
31fa02f3-f733-49cd-adf1-603bd42aceac,590,1,00:17:01.640,17,1,59,0.0,21,Foul Won,216,Getafe,1,Regular Play,216,Getafe,,,['c90178d5-1ef2-46b6-b123-fbbac7ef1f70'],"[37.0, 42.1]",11813.0,Emiliano Buendía,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,1021.64
