id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,clearance_head,pass_cross,pass_assisted_shot_id,pass_goal_assist,pass_technique_id,pass_technique_name,pass_through_ball,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_left_foot,pass_shot_assist,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_aerial_won,counterpress,foul_won_defensive,out,clearance_aerial_won,goalkeeper_end_location,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,pass_inswinging,foul_committed_type_id,foul_committed_type_name,pass_outswinging,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_no_touch,foul_committed_advantage,foul_won_advantage,goalkeeper_punched_out,pass_cut_back,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,block_save_block,block_offensive,pass_straight,timestamp_seconds
f91ed81b-ffb9-4924-964c-7074c6300a56,1532,1,00:40:21.358,40,21,77,0.72924,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,"['550ff581-4176-4ce8-98b4-169621cd3dd6', 'ba29e433-d515-48d8-9476-f3675d059f9e']",,"[70.9, 12.0]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,24162.0,Xavier Torres Buigues,8.022469,3.066733,1.0,Ground Pass,"[62.9, 12.6]",,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421.358
550ff581-4176-4ce8-98b4-169621cd3dd6,1533,1,00:40:22.087,40,22,77,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['f91ed81b-ffb9-4924-964c-7074c6300a56'],,"[62.9, 12.6]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.087
ab8f07ea-28c6-4d71-8527-fc9ad1bbe62f,1534,1,00:40:22.087,40,22,77,0.057171002,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['550ff581-4176-4ce8-98b4-169621cd3dd6', 'f9c67070-bd40-4be5-a86e-507de1a5dccc']",,"[62.9, 12.6]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,,,,,,,,,,,,,"[62.9, 12.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.087
f9c67070-bd40-4be5-a86e-507de1a5dccc,1535,1,00:40:22.144,40,22,77,0.698626,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['1d7e2524-5110-449f-9201-0e122f26f485'],,"[62.9, 12.6]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,6697.0,Daniel Ceballos Fernández,8.527602,-0.8850668,1.0,Ground Pass,"[68.3, 6.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.144
1d7e2524-5110-449f-9201-0e122f26f485,1536,1,00:40:22.843,40,22,77,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['f9c67070-bd40-4be5-a86e-507de1a5dccc'],,"[68.3, 6.0]",6697.0,Daniel Ceballos Fernández,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.843
3912bb0e-796e-4ea9-992e-74215ce1df80,1537,1,00:40:22.843,40,22,77,1.939375,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['11bef7e6-a8ef-4bc6-8aed-b7f93d62b0f8', '1d7e2524-5110-449f-9201-0e122f26f485']",,"[68.3, 6.0]",6697.0,Daniel Ceballos Fernández,22.0,Right Center Forward,,,,,,,,,,,,,"[69.2, 7.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.843
11bef7e6-a8ef-4bc6-8aed-b7f93d62b0f8,1538,1,00:40:24.782,40,24,77,0.850754,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['5344e3d4-dfd2-4503-af39-14adf847ab4c'],,"[69.2, 7.1]",6697.0,Daniel Ceballos Fernández,22.0,Right Center Forward,6865.0,Francisco José Molinero Calderón,8.127115,-0.32564157,1.0,Ground Pass,"[76.9, 4.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2424.782
5344e3d4-dfd2-4503-af39-14adf847ab4c,1539,1,00:40:25.633,40,25,77,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['11bef7e6-a8ef-4bc6-8aed-b7f93d62b0f8'],,"[76.9, 4.5]",6865.0,Francisco José Molinero Calderón,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.633
f3b9b3c4-faab-4872-9db8-5db83ea644cb,1540,1,00:40:25.633,40,25,77,0.067476,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['000fd0a6-bb48-4fc0-a150-2b14a97619e4', '5344e3d4-dfd2-4503-af39-14adf847ab4c']",,"[76.9, 4.5]",6865.0,Francisco José Molinero Calderón,6.0,Left Back,,,,,,,,,,,,,"[76.9, 4.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.633
000fd0a6-bb48-4fc0-a150-2b14a97619e4,1541,1,00:40:25.700,40,25,77,0.679618,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,['41486221-1fb0-4b01-bd7e-5b9a36daa4a6'],,"[76.9, 4.5]",6865.0,Francisco José Molinero Calderón,6.0,Left Back,6697.0,Daniel Ceballos Fernández,7.05762,2.7795053,1.0,Ground Pass,"[70.3, 7.0]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2425.7
41486221-1fb0-4b01-bd7e-5b9a36daa4a6,1542,1,00:40:26.380,40,26,77,,42,Ball Receipt*,218,Real Betis,4,From Throw In,218,Real Betis,,,['000fd0a6-bb48-4fc0-a150-2b14a97619e4'],,"[70.3, 7.0]",6697.0,Daniel Ceballos Fernández,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.38
753d34b9-ffc6-4e1c-872d-c4973b65aab6,1543,1,00:40:26.380,40,26,77,0.920627,43,Carry,218,Real Betis,4,From Throw In,218,Real Betis,,,"['41486221-1fb0-4b01-bd7e-5b9a36daa4a6', 'ae969d34-ac4e-4c84-b614-4a89faf0edd0', 'de46d812-3c4f-49c8-954a-8afbf23853bd']",,"[70.3, 7.0]",6697.0,Daniel Ceballos Fernández,22.0,Right Center Forward,,,,,,,,,,,,True,"[69.2, 7.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.38
ae969d34-ac4e-4c84-b614-4a89faf0edd0,1544,1,00:40:26.907,40,26,77,0.480315,17,Pressure,218,Real Betis,4,From Throw In,220,Real Madrid,,,"['753d34b9-ffc6-4e1c-872d-c4973b65aab6', 'de46d812-3c4f-49c8-954a-8afbf23853bd']",,"[48.2, 72.5]",5695.0,James David Rodríguez Rubio,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2426.907
de46d812-3c4f-49c8-954a-8afbf23853bd,1545,1,00:40:27.301,40,27,77,0.798874,30,Pass,218,Real Betis,4,From Throw In,218,Real Betis,,,"['359c4326-fbc6-4fb4-b0d6-6acdc2a8d103', 'ae969d34-ac4e-4c84-b614-4a89faf0edd0']",,"[69.2, 7.3]",6697.0,Daniel Ceballos Fernández,22.0,Right Center Forward,24162.0,Xavier Torres Buigues,16.519382,2.4290268,1.0,Ground Pass,"[56.7, 18.1]",,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2427.301
