id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,pass_cross,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,pass_straight,pass_technique_id,pass_technique_name,foul_committed_offensive,foul_won_defensive,pass_aerial_won,clearance_left_foot,counterpress,interception_outcome_id,interception_outcome_name,block_offensive,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,duel_outcome_id,duel_outcome_name,pass_goal_assist,shot_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,dribble_overrun,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,pass_miscommunication,pass_through_ball,foul_committed_advantage,foul_won_advantage,clearance_other,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,miscontrol_aerial_won,pass_inswinging,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_punched_out,shot_open_goal,pass_outswinging,dribble_nutmeg,timestamp_seconds
f4932325-1ad2-4b63-a792-142b05fe8cc2,1225,1,00:34:30.495,34,30,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['ce4b548b-11e6-46ad-9da3-8b1673bc04bd'],,"[62.3, 10.4]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.495
ba329f5f-6ba2-4056-aaa2-cf735d2f4170,1226,1,00:34:30.495,34,30,83,2.143537,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['a253874e-887f-4cc3-bc57-b8e7d24e32fd', 'f4932325-1ad2-4b63-a792-142b05fe8cc2']",,"[62.3, 10.4]",6776.0,David Juncà Reñé,6.0,Left Back,,,,,,,,,,,,,"[71.7, 14.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2070.495
a253874e-887f-4cc3-bc57-b8e7d24e32fd,1227,1,00:34:32.639,34,32,83,1.124703,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['ff62e7aa-37a4-4b7e-8d5a-0898e63274c8'],,"[71.7, 14.5]",6776.0,David Juncà Reñé,6.0,Left Back,5687.0,Takashi Inui,14.92012,-0.6475225,1.0,Ground Pass,"[83.6, 5.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072.639
ff62e7aa-37a4-4b7e-8d5a-0898e63274c8,1228,1,00:34:33.763,34,33,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['a253874e-887f-4cc3-bc57-b8e7d24e32fd'],,"[83.6, 5.5]",5687.0,Takashi Inui,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.763
0377a653-66e7-4d69-9799-1ed30c1c8f1f,1229,1,00:34:33.763,34,33,83,1.515119,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['9239ca6f-e3e7-4704-966b-a50724288f2e', 'ff62e7aa-37a4-4b7e-8d5a-0898e63274c8']",,"[83.6, 5.5]",5687.0,Takashi Inui,21.0,Left Wing,,,,,,,,,,,,,"[83.6, 6.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.763
9239ca6f-e3e7-4704-966b-a50724288f2e,1230,1,00:34:35.278,34,35,83,1.04226,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['cc439bcd-c9fe-48ff-b075-5a43a4133956'],,"[83.6, 6.2]",5687.0,Takashi Inui,21.0,Left Wing,24070.0,Saúl Berjón Pérez,26.815107,1.7469808,1.0,Ground Pass,"[78.9, 32.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.278
cc439bcd-c9fe-48ff-b075-5a43a4133956,1231,1,00:34:36.321,34,36,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['9239ca6f-e3e7-4704-966b-a50724288f2e'],,"[78.9, 32.6]",24070.0,Saúl Berjón Pérez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.321
29e30f3d-54ff-4431-ae44-c5472aa9eb8f,1232,1,00:34:36.321,34,36,83,3.165262,43,Carry,322,Eibar,1,Regular Play,322,Eibar,,,"['06e7b2bf-d791-46bb-a98c-47e3fe23b559', 'cc439bcd-c9fe-48ff-b075-5a43a4133956']",,"[78.9, 32.6]",24070.0,Saúl Berjón Pérez,17.0,Right Wing,,,,,,,,,,,,,"[73.4, 33.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2076.321
06e7b2bf-d791-46bb-a98c-47e3fe23b559,1233,1,00:34:39.486,34,39,83,0.833421,30,Pass,322,Eibar,1,Regular Play,322,Eibar,,,['910682bd-0322-4847-ac4b-450e31520e24'],,"[73.4, 33.5]",24070.0,Saúl Berjón Pérez,17.0,Right Wing,6566.0,Borja González Tomás,16.81547,-0.46896672,1.0,Ground Pass,"[88.4, 25.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2079.486
910682bd-0322-4847-ac4b-450e31520e24,1234,1,00:34:40.319,34,40,83,,42,Ball Receipt*,322,Eibar,1,Regular Play,322,Eibar,,,['06e7b2bf-d791-46bb-a98c-47e3fe23b559'],,"[88.4, 25.9]",6566.0,Borja González Tomás,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2080.319
