id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,pass_switch,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_through_ball,pass_technique_id,pass_technique_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,pass_inswinging,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,out,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_right_foot,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,dribble_overrun,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,pass_miscommunication,foul_won_defensive,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_goal_assist,shot_one_on_one,block_deflection,shot_deflected,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,timestamp_seconds
6a87add9-05ad-40cb-b3f5-8b215dbb341c,2042,2,00:01:31.528,46,31,112,1.661964,17,Pressure,217,Barcelona,1,Regular Play,221,Levante UD,,,"['743002e0-899d-4fca-94ab-09e931effcd1', 'b67e316e-5f0c-4357-ab9f-5aac580793f2', 'ff34f53b-85f7-45a1-b43b-90b53c22fd58']",,"[33.4, 57.7]",24149.0,José Antonio García Rabasco,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.52799999999999
b67e316e-5f0c-4357-ab9f-5aac580793f2,2043,2,00:01:32.444,46,32,112,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,"['6a87add9-05ad-40cb-b3f5-8b215dbb341c', 'acc6c133-72c1-457f-b395-30b43797cd2d']",,"[81.4, 21.0]",5203.0,Sergio Busquets i Burgos,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.444
ff34f53b-85f7-45a1-b43b-90b53c22fd58,2044,2,00:01:32.444,46,32,112,0.200004,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['6a87add9-05ad-40cb-b3f5-8b215dbb341c', '743002e0-899d-4fca-94ab-09e931effcd1', 'b67e316e-5f0c-4357-ab9f-5aac580793f2']",,"[81.4, 21.0]",5203.0,Sergio Busquets i Burgos,11.0,Left Defensive Midfield,,,,,,,,,,,,True,,,,"[81.1, 21.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.444
743002e0-899d-4fca-94ab-09e931effcd1,2045,2,00:01:32.644,46,32,112,1.353532,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['6a87add9-05ad-40cb-b3f5-8b215dbb341c', 'cc51e594-43fe-4ff6-a491-54b4255708c9']",,"[81.1, 21.5]",5203.0,Sergio Busquets i Burgos,11.0,Left Defensive Midfield,5506.0,Javier Alejandro Mascherano,17.05198,2.910838,1.0,Ground Pass,"[64.5, 25.4]",38.0,Left Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.644
cc51e594-43fe-4ff6-a491-54b4255708c9,2046,2,00:01:33.998,46,33,112,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['743002e0-899d-4fca-94ab-09e931effcd1'],,"[64.5, 25.4]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.99799999999999
509f2373-6611-4cfa-8955-0c15a79d4d0f,2047,2,00:01:33.998,46,33,112,1.343123,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['69df7f2c-c44b-4131-af9c-369df75ad3b5', '70b3092a-417f-4a9e-8d3d-5d38050eb001', 'cc51e594-43fe-4ff6-a491-54b4255708c9']",,"[64.5, 25.4]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,,,,,,,,,,,,True,,,,"[62.7, 28.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.99799999999999
69df7f2c-c44b-4131-af9c-369df75ad3b5,2048,2,00:01:34.740,46,34,112,0.759857,17,Pressure,217,Barcelona,1,Regular Play,221,Levante UD,,,"['509f2373-6611-4cfa-8955-0c15a79d4d0f', '70b3092a-417f-4a9e-8d3d-5d38050eb001']",,"[49.2, 51.4]",6684.0,Roger Martí Salvador,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.74000000000001
70b3092a-417f-4a9e-8d3d-5d38050eb001,2049,2,00:01:35.341,46,35,112,2.605297,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,"['0acae0c1-7af4-4660-a82c-e410ccbcb440', '69df7f2c-c44b-4131-af9c-369df75ad3b5']",,"[62.7, 28.2]",5506.0,Javier Alejandro Mascherano,5.0,Left Center Back,4324.0,Daniel Alves da Silva,50.354343,1.3383411,1.0,Ground Pass,"[74.3, 77.2]",40.0,Right Foot,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.34100000000001
0acae0c1-7af4-4660-a82c-e410ccbcb440,2050,2,00:01:37.946,46,37,112,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['70b3092a-417f-4a9e-8d3d-5d38050eb001'],,"[74.3, 77.2]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.946
b77f775e-852b-4ce5-a489-6dc2231ce93f,2051,2,00:01:37.946,46,37,112,2.526648,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['0acae0c1-7af4-4660-a82c-e410ccbcb440', 'b0302b2d-7506-4486-a74b-642cab349bf3']",,"[74.3, 77.2]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,"[75.5, 77.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.946
