id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,counterpress,duel_outcome_id,duel_outcome_name,50_50_outcome_id,50_50_outcome_name,pass_cross,clearance_left_foot,off_camera,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_aerial_won,clearance_head,out,foul_won_defensive,pass_switch,pass_cut_back,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_key_pass_id,shot_first_time,dribble_overrun,dribble_nutmeg,pass_shot_assist,goalkeeper_end_location,ball_recovery_recovery_failure,goalkeeper_punched_out,pass_outswinging,pass_technique_id,pass_technique_name,foul_committed_card_id,foul_committed_card_name,shot_aerial_won,pass_through_ball,foul_committed_advantage,foul_won_advantage,foul_committed_type_id,foul_committed_type_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
14a03dcf-49f9-4f1f-8644-ed1a03f3bdf8,2651,2,00:34:18.708,79,18,170,0.739142,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,"['0a4dc0b4-83b4-4b1d-839a-20faf8078892', '5ba79d97-0f5c-4726-a74d-1c71fe0be4b3', 'f58cf9a2-5290-4f4b-9dc6-7ef93f2f509f']","[101.7, 38.6]",6766.0,Gerard Moreno Balaguero,22.0,Right Center Forward,7781.0,Felipe Salvador Caicedo Corozo,7.34983,-1.8322752,1.0,Ground Pass,"[99.8, 31.5]",38.0,Left Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2058.708
f58cf9a2-5290-4f4b-9dc6-7ef93f2f509f,2652,2,00:34:19.447,79,19,170,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['14a03dcf-49f9-4f1f-8644-ed1a03f3bdf8'],"[99.8, 31.5]",7781.0,Felipe Salvador Caicedo Corozo,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059.447
364f1244-c3e6-4e61-a7ee-65aae48ee3f4,2653,2,00:34:19.447,79,19,170,1.227465,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['00cb06d9-9fe2-4d28-a708-e8c9df638de7'],"[100.3, 31.0]",7781.0,Felipe Salvador Caicedo Corozo,24.0,Left Center Forward,6758.0,Víctor Sánchez Mata,7.088018,2.8555412,1.0,Ground Pass,"[93.5, 33.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2059.447
00cb06d9-9fe2-4d28-a708-e8c9df638de7,2654,2,00:34:20.674,79,20,170,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['364f1244-c3e6-4e61-a7ee-65aae48ee3f4'],"[93.5, 33.0]",6758.0,Víctor Sánchez Mata,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.674
242db73d-5424-461f-8494-03cf59fd5959,2655,2,00:34:20.674,79,20,170,1.766259,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['7d63c03c-b476-4993-8350-74f6a2e10a60'],"[93.2, 37.4]",6758.0,Víctor Sánchez Mata,9.0,Right Defensive Midfield,16456.0,Enzo Pablo Roco Roco,25.548582,-0.8269255,3.0,High Pass,"[110.5, 18.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2060.674
7d63c03c-b476-4993-8350-74f6a2e10a60,2656,2,00:34:22.441,79,22,170,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['242db73d-5424-461f-8494-03cf59fd5959'],"[110.5, 18.6]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.441
56fd362e-f838-4ca9-a966-01699c520199,2657,2,00:34:22.441,79,22,170,1.661944,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['1c2781e5-025e-4d3b-917b-31a744f40b86', '7d63c03c-b476-4993-8350-74f6a2e10a60', '9f788f93-e078-47c1-9602-6d8ce43715fd']","[110.5, 18.6]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,"[117.5, 14.8]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.441
9f788f93-e078-47c1-9602-6d8ce43715fd,2658,2,00:34:22.805,79,22,170,1.297505,17,Pressure,214,Espanyol,1,Regular Play,218,Real Betis,,,"['1c2781e5-025e-4d3b-917b-31a744f40b86', '56fd362e-f838-4ca9-a966-01699c520199']","[6.9, 60.2]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2062.805
1c2781e5-025e-4d3b-917b-31a744f40b86,2659,2,00:34:24.103,79,24,170,0.0,14,Dribble,214,Espanyol,1,Regular Play,214,Espanyol,,,"['9f788f93-e078-47c1-9602-6d8ce43715fd', 'f2809fc2-d113-4310-9339-11fc53d3d772']","[117.5, 14.8]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.103
f2809fc2-d113-4310-9339-11fc53d3d772,2660,2,00:34:24.103,79,24,170,0.0,4,Duel,214,Espanyol,1,Regular Play,218,Real Betis,,,['1c2781e5-025e-4d3b-917b-31a744f40b86'],"[2.6, 65.3]",6697.0,Daniel Ceballos Fernández,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,11.0,Tackle,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.103
