id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,ball_recovery_recovery_failure,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,pass_switch,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_head,interception_outcome_id,interception_outcome_name,clearance_left_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,foul_won_defensive,block_offensive,pass_deflected,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,shot_redirect,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
9f837ba9-e842-4311-8ba5-4b36c8e240b5,2480,2,00:26:25.687,71,25,152,1.740188,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['35a6c50a-bbcb-402a-ac08-d3fe1dfccc27', '75f1e68e-44f8-4c6e-992f-572d206d0349']","[35.9, 69.3]",25881.0,Juan Antonio Rodríguez Villamuela,3.0,Right Center Back,,,,,,,,,,,,"[28.3, 70.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1585.687
35a6c50a-bbcb-402a-ac08-d3fe1dfccc27,2481,2,00:26:27.427,71,27,152,1.875653,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['c0c56144-8a56-40b5-bad8-6fc01f29c1a9'],"[28.3, 70.2]",25881.0,Juan Antonio Rodríguez Villamuela,3.0,Right Center Back,6745.0,Mehdi Lacen,18.754467,-0.8268838,1.0,Ground Pass,"[41.0, 56.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.427
c0c56144-8a56-40b5-bad8-6fc01f29c1a9,2482,2,00:26:29.303,71,29,152,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['35a6c50a-bbcb-402a-ac08-d3fe1dfccc27'],"[41.0, 56.4]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.303
25f22189-8d77-448c-9262-78822c2369f7,2483,2,00:26:29.303,71,29,152,1.278216,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['32d42280-74e9-4ca2-8aa1-31a62b663681', 'c0c56144-8a56-40b5-bad8-6fc01f29c1a9']","[41.0, 56.4]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,"[39.9, 51.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.303
32d42280-74e9-4ca2-8aa1-31a62b663681,2484,2,00:26:30.581,71,30,152,2.723419,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['456e2ea2-6867-4cd8-8eb1-3b15746ed488'],"[39.9, 51.1]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,27402.0,Álvaro Daniel Pereira Barragán,40.27766,-1.5086873,1.0,Ground Pass,"[42.4, 10.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1590.581
456e2ea2-6867-4cd8-8eb1-3b15746ed488,2485,2,00:26:33.305,71,33,152,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['32d42280-74e9-4ca2-8aa1-31a62b663681'],"[42.4, 10.9]",27402.0,Álvaro Daniel Pereira Barragán,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.305
8088b4be-f96c-4c96-9547-0a75d06eb2e4,2486,2,00:26:33.305,71,33,152,0.967675,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['456e2ea2-6867-4cd8-8eb1-3b15746ed488', 'fff308ea-f69f-4638-b664-7b92eef73246']","[42.4, 10.9]",27402.0,Álvaro Daniel Pereira Barragán,6.0,Left Back,,,,,,,,,,,,"[42.2, 8.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1593.305
fff308ea-f69f-4638-b664-7b92eef73246,2487,2,00:26:34.272,71,34,152,1.135223,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['421a64c2-bf50-497d-8712-f64fe065674a'],"[42.2, 8.3]",27402.0,Álvaro Daniel Pereira Barragán,6.0,Left Back,6745.0,Mehdi Lacen,16.201235,1.5584513,1.0,Ground Pass,"[42.4, 24.5]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.272
421a64c2-bf50-497d-8712-f64fe065674a,2488,2,00:26:35.408,71,35,152,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['fff308ea-f69f-4638-b664-7b92eef73246'],"[42.4, 24.5]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.408
55ae9272-543e-414a-9e19-0e5410bc2381,2489,2,00:26:35.408,71,35,152,1.213454,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['421a64c2-bf50-497d-8712-f64fe065674a', 'adf2165a-b5d3-4473-ba20-dd39492b37b2']","[42.4, 24.5]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,"[43.2, 24.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1595.408
