id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,pass_through_ball,pass_technique_id,pass_technique_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,out,ball_recovery_recovery_failure,pass_switch,pass_cross,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_inswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_head,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_goal_assist,pass_outswinging,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,shot_first_time,pass_deflected,shot_one_on_one,clearance_right_foot,foul_committed_offensive,foul_won_defensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,dribble_overrun,timestamp_seconds
095dfa3a-4fc0-4459-92e1-07eaaff8ca71,1723,2,00:07:35.531,52,35,127,0.87066,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['4451debf-e8e9-40df-b984-505b8da6bf38', '76cf21e9-2ecc-4400-a453-0557ddc0664a', '9e5b9c1f-9632-44b8-8258-f212ed73259f']","[77.9, 14.3]",6899.0,Rubén Pardo Gutiérrez,19.0,Center Attacking Midfield,,,,,,,,,,,,"[79.4, 13.6]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,455.531
76cf21e9-2ecc-4400-a453-0557ddc0664a,1724,2,00:07:36.236,52,36,127,0.333615,17,Pressure,210,Real Sociedad,3,From Free Kick,360,Rayo Vallecano,,,"['095dfa3a-4fc0-4459-92e1-07eaaff8ca71', '9e5b9c1f-9632-44b8-8258-f212ed73259f']","[42.2, 66.0]",11542.0,Javier Guerra Rodríguez,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.236
9e5b9c1f-9632-44b8-8258-f212ed73259f,1725,2,00:07:36.402,52,36,127,0.660435,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['364da80f-4498-40fa-afcd-6be129f3b78d', '76cf21e9-2ecc-4400-a453-0557ddc0664a']","[79.4, 13.6]",6899.0,Rubén Pardo Gutiérrez,19.0,Center Attacking Midfield,8522.0,Armindo Tué Na Bangna,8.998889,-1.8292513,1.0,Ground Pass,"[77.1, 4.9]",40.0,Right Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,456.402
364da80f-4498-40fa-afcd-6be129f3b78d,1726,2,00:07:37.062,52,37,127,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['9e5b9c1f-9632-44b8-8258-f212ed73259f'],"[77.1, 4.9]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.062
4423e2cc-7c2d-4798-b614-5505b1dd28aa,1727,2,00:07:37.062,52,37,127,0.685407,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['16a6aca0-77df-4183-a219-4a3d022001f2', '364da80f-4498-40fa-afcd-6be129f3b78d', '3eccb4e8-c9a3-446a-8b01-42b0e4ca6d8f']","[77.1, 4.9]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,,,,,,,,,,,,"[77.5, 4.6]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.062
16a6aca0-77df-4183-a219-4a3d022001f2,1728,2,00:07:37.327,52,37,127,0.291952,17,Pressure,210,Real Sociedad,3,From Free Kick,360,Rayo Vallecano,,,['4423e2cc-7c2d-4798-b614-5505b1dd28aa'],"[43.0, 75.2]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.327
3eccb4e8-c9a3-446a-8b01-42b0e4ca6d8f,1729,2,00:07:37.747,52,37,127,1.244991,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['3ab937d9-6b77-4802-8280-c0b2e35c8d2a'],"[77.5, 4.6]",8522.0,Armindo Tué Na Bangna,21.0,Left Wing,6665.0,Íñigo Martínez Berridi,21.15136,2.768988,1.0,Ground Pass,"[57.8, 12.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,457.747
3ab937d9-6b77-4802-8280-c0b2e35c8d2a,1730,2,00:07:38.992,52,38,127,,42,Ball Receipt*,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['3eccb4e8-c9a3-446a-8b01-42b0e4ca6d8f'],"[57.8, 12.3]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.992
d3b2944a-e661-489f-99aa-1b8c912db75f,1731,2,00:07:38.992,52,38,127,3.110756,43,Carry,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,"['3ab937d9-6b77-4802-8280-c0b2e35c8d2a', 'c3549f8b-4cce-42c7-803d-937dcd207f24']","[57.8, 12.3]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,"[50.3, 15.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.992
c3549f8b-4cce-42c7-803d-937dcd207f24,1732,2,00:07:42.103,52,42,127,2.966808,30,Pass,210,Real Sociedad,3,From Free Kick,210,Real Sociedad,,,['fcc2f566-433b-41c3-9821-bbc62137b27a'],"[50.3, 15.8]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,6694.0,Gerónimo Rulli,39.537956,2.44394,1.0,Ground Pass,"[20.0, 41.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.103
