id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,carry_end_location,out,counterpress,foul_won_defensive,clearance_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_switch,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,shot_aerial_won,goalkeeper_end_location,interception_outcome_id,interception_outcome_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,ball_recovery_recovery_failure,pass_inswinging,dribble_overrun,foul_committed_card_id,foul_committed_card_name,shot_first_time,block_offensive,pass_miscommunication,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,50_50_outcome_id,50_50_outcome_name,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_through_ball,pass_straight,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_cut_back,pass_goal_assist,shot_one_on_one,dribble_nutmeg,timestamp_seconds
df218099-7783-43f3-af29-ccbba720a2d6,773,1,00:15:54.965,15,54,25,0.0,3,Dispossessed,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['24347679-7afb-403e-95e4-cd93e4144e88'],,"[70.0, 21.4]",6721.0,Willian José da Silva,23.0,Center Forward,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.965
24347679-7afb-403e-95e4-cd93e4144e88,774,1,00:15:54.965,15,54,26,0.0,4,Duel,218,Real Betis,1,Regular Play,218,Real Betis,,,['df218099-7783-43f3-af29-ccbba720a2d6'],,"[50.1, 58.7]",7161.0,Germán Alejandro Pezzella,3.0,Right Center Back,,,,,,,,,,,,,,True,11.0,Tackle,,,,,,True,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,954.965
7d110a14-abfb-4d4d-a0b2-6dc1a0b58fe9,775,1,00:15:56.386,15,56,26,1.41132,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['af0eb8ff-14f3-4f87-90dd-145f2f669a0c'],,"[52.9, 62.2]",186264.0,Foued Kadir,17.0,Right Wing,6865.0,Francisco José Molinero Calderón,14.762791,2.442518,1.0,Ground Pass,"[41.6, 71.7]",66.0,Recovery,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,956.386
af0eb8ff-14f3-4f87-90dd-145f2f669a0c,776,1,00:15:57.797,15,57,26,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['7d110a14-abfb-4d4d-a0b2-6dc1a0b58fe9'],,"[41.6, 71.7]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.797
d7e682e6-bc55-46a5-88d9-46e4f02547bf,777,1,00:15:57.797,15,57,26,0.635414,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['8fdf7e34-72cf-4482-a467-9b60505e545c', 'af0eb8ff-14f3-4f87-90dd-145f2f669a0c']",,"[41.6, 71.7]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,,,,,,,,,,,,,,,,,,,,"[42.3, 71.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,957.797
8fdf7e34-72cf-4482-a467-9b60505e545c,778,1,00:15:58.433,15,58,26,1.761905,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['c0c9fbbd-fc29-4e11-8faf-9d67c5b4d09a'],,"[42.3, 71.6]",6865.0,Francisco José Molinero Calderón,2.0,Right Back,6872.0,Bruno González Cabrera,24.068443,-1.909628,1.0,Ground Pass,"[34.3, 48.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958.433
c0c9fbbd-fc29-4e11-8faf-9d67c5b4d09a,779,1,00:16:00.195,16,0,26,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['8fdf7e34-72cf-4482-a467-9b60505e545c'],,"[34.3, 48.9]",6872.0,Bruno González Cabrera,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.195
528f359f-b7a0-4af3-bf79-63b871b329ca,780,1,00:16:00.195,16,0,26,0.915312,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['8322b173-9ffd-44d0-a17c-24cbf4e150fb', 'c0c9fbbd-fc29-4e11-8faf-9d67c5b4d09a']",,"[34.3, 48.9]",6872.0,Bruno González Cabrera,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,"[34.5, 46.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,960.195
8322b173-9ffd-44d0-a17c-24cbf4e150fb,781,1,00:16:01.110,16,1,26,2.432047,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['fcc2ae96-add9-41d7-9867-a8676ddebfe0'],,"[34.5, 46.3]",6872.0,Bruno González Cabrera,5.0,Left Center Back,24132.0,Francisco Miguel Varela Martín,40.26276,-1.3758363,1.0,Ground Pass,"[42.3, 6.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,961.11
fcc2ae96-add9-41d7-9867-a8676ddebfe0,782,1,00:16:03.542,16,3,26,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['8322b173-9ffd-44d0-a17c-24cbf4e150fb'],,"[42.3, 6.8]",24132.0,Francisco Miguel Varela Martín,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963.542
