id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_cross,out,clearance_head,pass_technique_id,pass_technique_name,pass_inswinging,foul_won_defensive,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_offensive,foul_committed_advantage,foul_won_advantage,pass_switch,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_end_location,clearance_aerial_won,clearance_right_foot,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_miscommunication,pass_outswinging,shot_aerial_won,pass_no_touch,dribble_overrun,pass_deflected,block_deflection,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,dribble_no_touch,foul_committed_type_id,foul_committed_type_name,shot_deflected,timestamp_seconds
8a4ebe68-dece-47a3-8b0a-517e6bb0461a,2940,2,00:36:24.559,81,24,169,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['902cc4ad-9b54-4c97-b739-a81d7c37a384'],,"[91.5, 4.9]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.559
1cd2ce0a-d999-473a-be74-3a261595ebc0,2941,2,00:36:24.559,81,24,169,0.225669,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['16e3ca30-d7fb-46f4-9036-af2e10ab6627', '8a4ebe68-dece-47a3-8b0a-517e6bb0461a']",,"[91.5, 4.9]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[92.3, 4.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.559
16e3ca30-d7fb-46f4-9036-af2e10ab6627,2942,2,00:36:24.784,81,24,169,1.441931,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['38106c90-f4d5-4f6f-8b33-953800d92de1'],,"[92.3, 4.9]",5211.0,Jordi Alba Ramos,6.0,Left Back,6332.0,Thomas Vermaelen,15.179591,2.949365,1.0,Ground Pass,"[77.4, 7.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2184.784
38106c90-f4d5-4f6f-8b33-953800d92de1,2943,2,00:36:26.226,81,26,169,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['16e3ca30-d7fb-46f4-9036-af2e10ab6627'],,"[77.4, 7.8]",6332.0,Thomas Vermaelen,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186.226
cacc2619-6b82-48b6-9f9a-ba757bd62fae,2944,2,00:36:26.226,81,26,169,0.9671,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['38106c90-f4d5-4f6f-8b33-953800d92de1', '424f98b3-9ff0-47da-bd4a-ad91009d3bb4']",,"[77.4, 7.8]",6332.0,Thomas Vermaelen,5.0,Left Center Back,,,,,,,,,,,,"[77.4, 7.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186.226
424f98b3-9ff0-47da-bd4a-ad91009d3bb4,2945,2,00:36:27.193,81,27,169,1.8882,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['4f44f7b5-fe30-4019-a0ec-fff84f9d0eb8'],,"[77.4, 7.8]",6332.0,Thomas Vermaelen,5.0,Left Center Back,5203.0,Sergio Busquets i Burgos,26.803358,1.8311584,1.0,Ground Pass,"[70.5, 33.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2187.193
4f44f7b5-fe30-4019-a0ec-fff84f9d0eb8,2946,2,00:36:29.082,81,29,169,,42,Ball Receipt*,217,Barcelona,7,From Goal Kick,217,Barcelona,,,['424f98b3-9ff0-47da-bd4a-ad91009d3bb4'],,"[70.5, 33.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189.082
3e1f598e-6be8-4084-8583-39fbd1265bbe,2947,2,00:36:29.082,81,29,169,3.0862,43,Carry,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['4f44f7b5-fe30-4019-a0ec-fff84f9d0eb8', '6494c459-1745-4e85-a913-f52c09b598d4', 'f4f65c4c-dc11-4647-be93-dfe426930105']",,"[70.5, 33.7]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[75.2, 42.3]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2189.082
f4f65c4c-dc11-4647-be93-dfe426930105,2948,2,00:36:31.399,81,31,169,0.979465,17,Pressure,217,Barcelona,7,From Goal Kick,223,Málaga,,,"['3e1f598e-6be8-4084-8583-39fbd1265bbe', '6494c459-1745-4e85-a913-f52c09b598d4']",,"[42.9, 40.5]",6563.0,Juan Pablo Añor Acosta,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191.399
6494c459-1745-4e85-a913-f52c09b598d4,2949,2,00:36:32.168,81,32,169,1.741,30,Pass,217,Barcelona,7,From Goal Kick,217,Barcelona,,,"['7e0dcadc-b6a6-4d51-a673-d1b2f5e81b20', 'f4f65c4c-dc11-4647-be93-dfe426930105']",,"[75.2, 42.3]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,6332.0,Thomas Vermaelen,22.441479,-1.7454685,1.0,Ground Pass,"[71.3, 20.2]",40.0,Right Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2192.168
