id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,counterpress,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,foul_committed_type_id,foul_committed_type_name,duel_outcome_id,duel_outcome_name,off_camera,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,pass_cross,interception_outcome_id,interception_outcome_name,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_head,pass_miscommunication,pass_cut_back,ball_recovery_recovery_failure,shot_aerial_won,dribble_overrun,foul_committed_card_id,foul_committed_card_name,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_offensive,clearance_aerial_won,dribble_no_touch,pass_through_ball,pass_technique_id,pass_technique_name,pass_goal_assist,pass_deflected,clearance_left_foot,pass_outswinging,pass_inswinging,foul_committed_advantage,foul_won_advantage,shot_one_on_one,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,clearance_other,timestamp_seconds
53801aec-07aa-4753-b9b3-544b91859658,1539,1,00:41:31.561,41,31,86,1.833266,30,Pass,213,Sevilla,2,From Corner,213,Sevilla,,,['57270a8b-59d7-4c2e-9add-99601fae2111'],"[114.4, 6.5]",27483.0,Benoît Trémoulinas,6.0,Left Back,23816.0,José Antonio Reyes Calderón,20.465826,3.0142074,1.0,Ground Pass,"[94.1, 9.1]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2491.561
57270a8b-59d7-4c2e-9add-99601fae2111,1540,1,00:41:33.394,41,33,86,,42,Ball Receipt*,213,Sevilla,2,From Corner,213,Sevilla,,,['53801aec-07aa-4753-b9b3-544b91859658'],"[94.1, 9.1]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493.394
55aa9d92-d3e8-44c6-8d07-2c82e5a4e120,1541,1,00:41:33.394,41,33,86,0.079999,43,Carry,213,Sevilla,2,From Corner,213,Sevilla,,,"['57270a8b-59d7-4c2e-9add-99601fae2111', 'a81a67a5-0d98-444c-a63c-24d258c1d980']","[94.1, 9.1]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,"[93.7, 9.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493.394
a81a67a5-0d98-444c-a63c-24d258c1d980,1542,1,00:41:33.474,41,33,86,2.224774,30,Pass,213,Sevilla,2,From Corner,213,Sevilla,,,['911890d1-aacf-4bf4-8cfb-9c931f75a9a1'],"[93.7, 9.1]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,40.720757,1.0489088,3.0,High Pass,"[114.0, 44.4]",,,38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2493.474
911890d1-aacf-4bf4-8cfb-9c931f75a9a1,1543,1,00:41:35.699,41,35,87,0.0,23,Goal Keeper,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['a81a67a5-0d98-444c-a63c-24d258c1d980'],"[6.1, 35.7]",26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,25.0,Collected,15.0,Success,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495.699
263aeb60-9c49-456a-b8ea-d95c2e009138,1544,1,00:41:54.285,41,54,87,1.683526,30,Pass,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['8fc50fa9-ec99-409e-95b2-0cca3b745690'],"[12.0, 37.6]",26070.0,Antonio Rodríguez Martínez,1.0,Goalkeeper,7900.0,Tiago Manuel Dias Correia,61.49553,-0.47455627,2.0,Low Pass,"[66.7, 9.5]",,,69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2514.285
8fc50fa9-ec99-409e-95b2-0cca3b745690,1545,1,00:41:55.968,41,55,87,,42,Ball Receipt*,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['263aeb60-9c49-456a-b8ea-d95c2e009138'],"[66.7, 9.5]",7900.0,Tiago Manuel Dias Correia,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2515.968
72464275-5c1f-46f6-a903-8572182a0a8c,1546,1,00:41:56.707,41,56,87,0.374044,17,Pressure,360,Rayo Vallecano,8,From Keeper,213,Sevilla,,,,"[47.8, 63.4]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2516.707
250766a7-7236-4bd7-8a34-6ecd31fa275c,1547,1,00:41:57.426,41,57,87,0.0,39,Dribbled Past,360,Rayo Vallecano,8,From Keeper,213,Sevilla,,,"['58e0748f-7161-43f2-9d2e-bfbee687a2d8', '9bb0c18d-8fd4-465b-bd94-4bff8ce7b665']","[47.8, 64.2]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.426
58e0748f-7161-43f2-9d2e-bfbee687a2d8,1548,1,00:41:57.426,41,57,87,0.0,14,Dribble,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['250766a7-7236-4bd7-8a34-6ecd31fa275c'],"[72.3, 15.9]",7900.0,Tiago Manuel Dias Correia,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.426
9bb0c18d-8fd4-465b-bd94-4bff8ce7b665,1549,1,00:41:57.426,41,57,87,1.394009,43,Carry,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,"['250766a7-7236-4bd7-8a34-6ecd31fa275c', '58e0748f-7161-43f2-9d2e-bfbee687a2d8', 'dd36ad95-3bc7-472b-ae01-06be9b0651b9']","[72.3, 15.9]",7900.0,Tiago Manuel Dias Correia,17.0,Right Wing,,,,,,,,,,,,"[74.3, 19.9]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2517.426
dd36ad95-3bc7-472b-ae01-06be9b0651b9,1550,1,00:41:58.820,41,58,87,1.589653,30,Pass,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['9660a50f-1143-44ce-a1b1-2ef40e78cc78'],"[74.3, 19.9]",7900.0,Tiago Manuel Dias Correia,17.0,Right Wing,26848.0,Roberto Trashorras Gayoso,14.73635,1.7069353,1.0,Ground Pass,"[72.3, 34.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2518.82
9660a50f-1143-44ce-a1b1-2ef40e78cc78,1551,1,00:42:00.409,42,0,87,,42,Ball Receipt*,360,Rayo Vallecano,8,From Keeper,360,Rayo Vallecano,,,['dd36ad95-3bc7-472b-ae01-06be9b0651b9'],"[72.3, 34.5]",26848.0,Roberto Trashorras Gayoso,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2520.409
