id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,counterpress,pass_cross,out,pass_switch,off_camera,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,pass_cut_back,pass_goal_assist,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,foul_won_defensive,pass_outswinging,shot_aerial_won,shot_one_on_one,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,ball_recovery_recovery_failure,shot_open_goal,dribble_overrun,foul_committed_advantage,foul_won_advantage,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,block_deflection,pass_inswinging,shot_deflected,dribble_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,timestamp_seconds
6d1536e2-1e73-496f-b276-ff237d8dfb13,2794,2,00:35:57.114,80,57,199,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['5b90ed40-fc0f-4e4e-a886-4f77aae05895'],"[47.1, 18.9]",26607.0,José Raúl Baena Urdiales,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157.114
bd172457-d250-416a-b4db-115d29410a63,2795,2,00:35:57.114,80,57,199,0.73632,43,Carry,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['6d1536e2-1e73-496f-b276-ff237d8dfb13', '7f0a6fd5-d067-465a-9f61-86f06b1b2128']","[47.1, 18.9]",26607.0,José Raúl Baena Urdiales,6.0,Left Back,,,,,,,,,,,,"[48.5, 18.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157.114
7f0a6fd5-d067-465a-9f61-86f06b1b2128,2796,2,00:35:57.850,80,57,199,1.074019,30,Pass,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,"['8d10249d-6ddb-46cd-8fff-30c186a4847a', 'f4f61c35-d52a-42ad-9663-3f3308630f0e']","[48.5, 18.2]",26607.0,José Raúl Baena Urdiales,6.0,Left Back,7900.0,Tiago Manuel Dias Correia,12.453513,0.5969111,1.0,Ground Pass,"[58.8, 25.2]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2157.85
f4f61c35-d52a-42ad-9663-3f3308630f0e,2797,2,00:35:58.924,80,58,199,,42,Ball Receipt*,360,Rayo Vallecano,1,Regular Play,360,Rayo Vallecano,,,['7f0a6fd5-d067-465a-9f61-86f06b1b2128'],"[60.8, 26.6]",7900.0,Tiago Manuel Dias Correia,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.924
8d10249d-6ddb-46cd-8fff-30c186a4847a,2798,2,00:35:58.924,80,58,199,0.0,10,Interception,360,Rayo Vallecano,1,Regular Play,219,RC Deportivo La Coruña,,,['7f0a6fd5-d067-465a-9f61-86f06b1b2128'],"[61.3, 54.9]",23806.0,Alejandro Bergantiños García,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2158.924
1773b119-5bea-4a54-a827-9cd8b420e5fb,2799,2,00:36:00.216,81,0,200,0.0,2,Ball Recovery,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,,"[64.3, 55.4]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.216
f8053108-7425-4fcd-83aa-5b591bd04cc6,2800,2,00:36:00.216,81,0,200,0.81257,43,Carry,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,"['1773b119-5bea-4a54-a827-9cd8b420e5fb', 'e775bc41-2bb5-4fa3-80bb-60ba7e2b267e']","[64.3, 55.4]",5724.0,Fayçal Fajr,17.0,Right Wing,,,,,,,,,,,,"[64.6, 55.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2160.216
e775bc41-2bb5-4fa3-80bb-60ba7e2b267e,2801,2,00:36:01.028,81,1,200,1.599963,30,Pass,219,RC Deportivo La Coruña,1,Regular Play,219,RC Deportivo La Coruña,,,['43975276-59d0-41af-90a9-3626d7556584'],"[64.6, 55.1]",5724.0,Fayçal Fajr,17.0,Right Wing,,,13.935925,1.6426151,3.0,High Pass,"[63.6, 69.0]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2161.028
43975276-59d0-41af-90a9-3626d7556584,2802,2,00:36:02.628,81,2,200,0.0,10,Interception,219,RC Deportivo La Coruña,1,Regular Play,360,Rayo Vallecano,,,['e775bc41-2bb5-4fa3-80bb-60ba7e2b267e'],"[56.5, 11.1]",26222.0,José Eduardo Rosa Vale de Castro,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2162.628
b721ed90-b4f2-4b24-bcb9-c0b70913e009,2803,2,00:36:07.872,81,7,201,1.976654,30,Pass,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['54ad7082-055f-4e97-931e-3aa97daf61a9'],"[111.2, 80.0]",6732.0,Lucas Pérez Martínez,23.0,Center Forward,6738.0,Juan Francisco Moreno Fuertes,21.707602,-2.9044352,2.0,Low Pass,"[90.1, 74.9]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2167.872
