id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,pass_aerial_won,clearance_left_foot,counterpress,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_cross,pass_cut_back,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,clearance_right_foot,interception_outcome_id,interception_outcome_name,goalkeeper_end_location,out,dribble_outcome_id,dribble_outcome_name,dribble_overrun,foul_won_defensive,ball_recovery_recovery_failure,pass_switch,clearance_aerial_won,pass_technique_id,pass_technique_name,pass_outswinging,shot_one_on_one,pass_deflected,block_offensive,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,pass_through_ball,pass_no_touch,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,pass_miscommunication,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,shot_saved_off_target,shot_deflected,block_deflection,goalkeeper_shot_saved_off_target,pass_goal_assist,timestamp_seconds
fe2edf64-c19c-42f0-9eaa-4fbb2e45c2c5,217,1,00:04:49.144,4,49,9,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['a3800a95-11a2-4801-8c7a-b84fb70237ee'],,"[22.8, 76.4]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.144
85543d00-1f4f-4115-91ad-db4e6495a973,218,1,00:04:49.144,4,49,9,0.860912,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['b457da97-83a7-40f7-a7d0-78cf4eba04ca', 'fe2edf64-c19c-42f0-9eaa-4fbb2e45c2c5']",,"[22.8, 76.4]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,"[20.5, 76.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.144
b457da97-83a7-40f7-a7d0-78cf4eba04ca,219,1,00:04:50.005,4,50,9,4.423446,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['0feee228-3c9c-4c31-bd7e-be75a1ae49e0'],,"[20.5, 76.2]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,60.309288,-0.101318546,3.0,High Pass,"[80.5, 70.1]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.005
0feee228-3c9c-4c31-bd7e-be75a1ae49e0,220,1,00:04:54.428,4,54,9,1.442928,30,Pass,218,Real Betis,1,Regular Play,208,Las Palmas,,,"['6d933a74-6207-4648-8b5d-9000350c1ae3', 'b457da97-83a7-40f7-a7d0-78cf4eba04ca']",,"[39.6, 10.0]",26448.0,Javier Garrido Behovide,5.0,Left Center Back,,,16.211107,1.6078165,2.0,Low Pass,"[39.0, 26.2]",38.0,Left Foot,64.0,Interception,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294.428
6d933a74-6207-4648-8b5d-9000350c1ae3,221,1,00:04:55.871,4,55,9,0.0,2,Ball Recovery,218,Real Betis,1,Regular Play,218,Real Betis,,,['0feee228-3c9c-4c31-bd7e-be75a1ae49e0'],,"[81.1, 53.9]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.871
4024563a-7fd5-4ab8-8d10-6a4bf7567781,222,1,00:04:56.098,4,56,9,0.0,37,Error,218,Real Betis,1,Regular Play,208,Las Palmas,,,,,"[34.1, 14.3]",26448.0,Javier Garrido Behovide,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.098
1f8a33f0-c898-4f90-9702-fdbd0834a625,223,1,00:04:56.159,4,56,9,1.674709,16,Shot,218,Real Betis,1,Regular Play,218,Real Betis,,,['fc2d7e27-1002-4cc1-8b98-03e7f7ee598b'],,"[82.2, 47.4]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,0.047273785,"[109.3, 40.0, 0.3]",91.0,Half Volley,True,40.0,Right Foot,87.0,Open Play,100.0,Saved,"[{'location': [106.3, 45.3], 'player': {'id': 26753, 'name': 'Javier Varas Herrera'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [88.7, 41.7], 'player': {'id': 15805, 'name': 'Hernán Daniel Santana Trujillo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [76.8, 30.3], 'player': {'id': 7906, 'name': 'David Simón Rodríguez Santana'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [87.3, 58.3], 'player': {'id': 6932, 'name': 'Dani Castellano Betancor'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [81.0, 55.9], 'player': {'id': 26448, 'name': 'Javier Garrido Behovide'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [86.5, 59.6], 'player': {'id': 6630, 'name': 'Jorge Molina Vidal'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,296.159
fc2d7e27-1002-4cc1-8b98-03e7f7ee598b,224,1,00:04:57.834,4,57,10,0.0,23,Goal Keeper,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['1f8a33f0-c898-4f90-9702-fdbd0834a625'],,"[13.8, 34.8]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,Saved Twice,45.0,Diving,42.0,Moving,35.0,Both Hands,33.0,Shot Saved,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,297.834
2b8840fe-8ec9-41a4-992f-99e78c996338,225,1,00:05:02.539,5,2,11,1.474233,30,Pass,208,Las Palmas,8,From Keeper,208,Las Palmas,,,['953b3f27-fe2f-4f4d-8456-a736f0ee6cda'],,"[11.4, 41.9]",26753.0,Javier Varas Herrera,1.0,Goalkeeper,15805.0,Hernán Daniel Santana Trujillo,12.614278,1.1284221,1.0,Ground Pass,"[16.8, 53.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,302.539
953b3f27-fe2f-4f4d-8456-a736f0ee6cda,226,1,00:05:04.013,5,4,11,,42,Ball Receipt*,208,Las Palmas,8,From Keeper,208,Las Palmas,,,['2b8840fe-8ec9-41a4-992f-99e78c996338'],,"[16.8, 53.3]",15805.0,Hernán Daniel Santana Trujillo,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,304.013
