id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,out,off_camera,interception_outcome_id,interception_outcome_name,pass_switch,duel_type_id,duel_type_name,pass_aerial_won,miscontrol_aerial_won,duel_outcome_id,duel_outcome_name,dribble_overrun,dribble_outcome_id,dribble_outcome_name,ball_recovery_offensive,pass_no_touch,pass_cross,pass_technique_id,pass_technique_name,pass_outswinging,clearance_body_part_id,clearance_body_part_name,clearance_head,pass_inswinging,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,50_50_outcome_id,50_50_outcome_name,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_first_time,goalkeeper_end_location,goalkeeper_punched_out,shot_aerial_won,foul_won_defensive,block_offensive,foul_committed_card_id,foul_committed_card_name,clearance_left_foot,clearance_aerial_won,pass_deflected,block_deflection,foul_won_advantage,pass_through_ball,pass_cut_back,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,pass_goal_assist,shot_deflected,dribble_nutmeg,timestamp_seconds
0e7a2690-70c3-4fbc-a2c7-a5f2316a91b6,2332,2,00:19:06.306,64,6,139,,42,Ball Receipt*,223,Málaga,4,From Throw In,223,Málaga,,,['4e9b88d9-2c6c-41bd-8893-2d4ae52cb28c'],"[71.9, 35.7]",6878.0,Miguel Torres Gómez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.306
c32fa37d-03ce-41bc-8ae5-ed108f64895d,2333,2,00:19:06.306,64,6,139,2.223588,43,Carry,223,Málaga,4,From Throw In,223,Málaga,,,"['0e7a2690-70c3-4fbc-a2c7-a5f2316a91b6', 'a5eb4bda-b8d8-428b-806d-9c6261f5c636']","[71.9, 35.7]",6878.0,Miguel Torres Gómez,6.0,Left Back,,,,,,,,,,,,"[70.0, 29.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1146.306
a5eb4bda-b8d8-428b-806d-9c6261f5c636,2334,2,00:19:08.529,64,8,139,1.36303,30,Pass,223,Málaga,4,From Throw In,223,Málaga,,,['b2e3728e-c478-461e-b269-62649d258c10'],"[70.0, 29.5]",6878.0,Miguel Torres Gómez,6.0,Left Back,6740.0,Gonzalo Castro Irizábal,20.256603,-1.0142901,1.0,Ground Pass,"[80.7, 12.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1148.529
b2e3728e-c478-461e-b269-62649d258c10,2335,2,00:19:09.892,64,9,139,,42,Ball Receipt*,223,Málaga,4,From Throw In,223,Málaga,,,['a5eb4bda-b8d8-428b-806d-9c6261f5c636'],"[80.7, 12.3]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.892
636dadfe-d104-477d-8f4e-791c73cdb402,2336,2,00:19:09.892,64,9,139,0.236366,43,Carry,223,Málaga,4,From Throw In,223,Málaga,,,"['b2e3728e-c478-461e-b269-62649d258c10', 'eb197b89-6ac7-4cb5-978e-ab93e8a25d2f']","[80.7, 12.3]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,"[80.7, 11.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1149.892
eb197b89-6ac7-4cb5-978e-ab93e8a25d2f,2337,2,00:19:10.129,64,10,139,0.0,38,Miscontrol,223,Málaga,4,From Throw In,223,Málaga,,,,"[80.7, 11.9]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.129
ee41589c-480b-479d-8fcd-c59a4a0b6e2a,2338,2,00:19:13.745,64,13,139,0.502001,17,Pressure,223,Málaga,4,From Throw In,223,Málaga,,,"['5b24af5a-a945-48c4-a4a4-7281990e86b8', 'a11ef16b-00c8-495b-a80e-d1cd5f89f913']","[89.5, 4.6]",6740.0,Gonzalo Castro Irizábal,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.745
a11ef16b-00c8-495b-a80e-d1cd5f89f913,2339,2,00:19:13.934,64,13,139,0.0,2,Ball Recovery,223,Málaga,4,From Throw In,212,Atlético Madrid,,,['ee41589c-480b-479d-8fcd-c59a4a0b6e2a'],"[27.4, 75.9]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.934
5b24af5a-a945-48c4-a4a4-7281990e86b8,2340,2,00:19:13.934,64,13,139,0.375106,43,Carry,223,Málaga,4,From Throw In,212,Atlético Madrid,,,"['a11ef16b-00c8-495b-a80e-d1cd5f89f913', 'e898a32e-5f02-4e96-989b-1d7e4a45bad0', 'ee41589c-480b-479d-8fcd-c59a4a0b6e2a']","[27.4, 75.9]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,"[25.5, 76.3]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1153.934
e898a32e-5f02-4e96-989b-1d7e4a45bad0,2341,2,00:19:14.309,64,14,139,1.76573,30,Pass,223,Málaga,4,From Throw In,212,Atlético Madrid,,,['c1d8eb60-0e49-4d70-8a79-617dea64386b'],"[25.5, 76.3]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,5259.0,José María Giménez de Vargas,13.200378,-2.7118304,1.0,Ground Pass,"[13.5, 70.8]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1154.309
