id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_switch,miscontrol_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,out,pass_technique_id,pass_technique_name,pass_outswinging,pass_assisted_shot_id,pass_goal_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,pass_cross,clearance_aerial_won,pass_deflected,pass_straight,interception_outcome_id,interception_outcome_name,pass_no_touch,block_deflection,foul_won_defensive,pass_through_ball,50_50_outcome_id,50_50_outcome_name,clearance_left_foot,pass_shot_assist,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,goalkeeper_end_location,shot_first_time,foul_committed_card_id,foul_committed_card_name,clearance_other,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,injury_stoppage_in_chain,pass_cut_back,dribble_nutmeg,shot_open_goal,dribble_overrun,timestamp_seconds
6521b908-e0ce-4170-b453-81da7e7a31f5,476,1,00:11:32.473,11,32,30,1.815093,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['e1e244f7-b5d6-4daa-8df1-a77b1afafc1f'],,"[82.4, 2.2]",7577.0,Carles Planas Antolínez,6.0,Left Back,6804.0,Sergi Gómez Solà,23.732046,3.0360541,1.0,Ground Pass,"[58.8, 4.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,692.473
e1e244f7-b5d6-4daa-8df1-a77b1afafc1f,477,1,00:11:34.288,11,34,30,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['6521b908-e0ce-4170-b453-81da7e7a31f5'],,"[58.8, 4.7]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.288
3b700846-b5e3-4c15-9b31-0a8f85902bfd,478,1,00:11:34.288,11,34,30,0.676777,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['857ce130-e80f-4e28-a105-28e01337bad5', 'e1e244f7-b5d6-4daa-8df1-a77b1afafc1f']",,"[58.8, 4.7]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,,,,,,,,,,,,"[58.0, 5.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.288
857ce130-e80f-4e28-a105-28e01337bad5,479,1,00:11:34.965,11,34,30,2.227879,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['f4e12fd9-b322-447b-ac41-fe134f11b445'],,"[58.0, 5.2]",6804.0,Sergi Gómez Solà,5.0,Left Center Back,6794.0,Gustavo Daniel Cabral Cáceres,37.08598,1.7634325,1.0,Ground Pass,"[50.9, 41.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,694.965
f4e12fd9-b322-447b-ac41-fe134f11b445,480,1,00:11:37.193,11,37,30,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['857ce130-e80f-4e28-a105-28e01337bad5'],,"[50.9, 41.6]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.193
feb7a661-741f-4f2d-a7c2-513ac69e4946,481,1,00:11:37.193,11,37,30,0.164844,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['b1a90b91-174c-4bbc-92c6-288d93225c7e', 'f4e12fd9-b322-447b-ac41-fe134f11b445']",,"[50.9, 41.6]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,"[50.9, 41.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.193
b1a90b91-174c-4bbc-92c6-288d93225c7e,482,1,00:11:37.357,11,37,30,1.032491,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['ab5ce6f2-19a9-4895-acbf-44a8dc75c027'],,"[50.9, 41.6]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,19668.0,Augusto Matías Fernández,10.700467,0.27444857,1.0,Ground Pass,"[61.2, 44.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,697.357
ab5ce6f2-19a9-4895-acbf-44a8dc75c027,483,1,00:11:38.390,11,38,30,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['b1a90b91-174c-4bbc-92c6-288d93225c7e'],,"[61.2, 44.5]",19668.0,Augusto Matías Fernández,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.39
bfc6325b-1a8f-4014-ba8e-e2bb39cfefe8,484,1,00:11:38.390,11,38,30,0.835463,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['67bc2193-f7e1-4920-991d-8441f2c4576b', 'ab5ce6f2-19a9-4895-acbf-44a8dc75c027']",,"[61.2, 44.5]",19668.0,Augusto Matías Fernández,13.0,Right Center Midfield,,,,,,,,,,,,"[61.2, 43.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,698.39
67bc2193-f7e1-4920-991d-8441f2c4576b,485,1,00:11:39.225,11,39,30,0.941125,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['4df2b6b4-ad87-4b1f-a701-f25f36ffba38'],,"[61.2, 43.8]",19668.0,Augusto Matías Fernández,13.0,Right Center Midfield,6796.0,Nemanja Radoja,9.806121,-1.3654009,1.0,Ground Pass,"[63.2, 34.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699.225
