id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,pass_aerial_won,pass_cross,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_technique_id,pass_technique_name,pass_outswinging,clearance_right_foot,pass_switch,goalkeeper_outcome_id,goalkeeper_outcome_name,counterpress,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,interception_outcome_id,interception_outcome_name,shot_deflected,block_deflection,block_offensive,off_camera,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_through_ball,pass_deflected,pass_goal_assist,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,dribble_no_touch,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,dribble_overrun,dribble_nutmeg,pass_inswinging,pass_no_touch,pass_straight,timestamp_seconds
1d1e2e59-339b-4512-81ef-be1affa0fe13,422,1,00:16:52.228,16,52,39,0.314499,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,"['01628494-8e53-4967-9661-78a9c127ebe4', 'cdb0d92d-57d1-444a-87a0-78441c9f47b9']","[64.1, 76.4]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,4.726521,-0.10598436,1.0,Ground Pass,"[68.8, 75.9]",,,40.0,Right Foot,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.228
cdb0d92d-57d1-444a-87a0-78441c9f47b9,423,1,00:16:52.543,16,52,39,0.0,6,Block,216,Getafe,4,From Throw In,222,Villarreal,,,['1d1e2e59-339b-4512-81ef-be1affa0fe13'],"[51.3, 4.2]",6829.0,Samuel Castillejo Azuaga,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1012.543
3ba44a6c-1e63-473b-9fd4-5c2011d909d7,424,1,00:16:53.689,16,53,39,0.0,2,Ball Recovery,216,Getafe,4,From Throw In,216,Getafe,,,,"[65.6, 70.5]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.689
df4cf0f7-c38c-4870-bb46-120cf950c2e4,425,1,00:16:53.689,16,53,39,1.254723,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['3ba44a6c-1e63-473b-9fd4-5c2011d909d7', '44fd2152-6627-402a-b4df-40bd80a6ee83']","[65.6, 70.5]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,"[63.8, 68.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1013.689
44fd2152-6627-402a-b4df-40bd80a6ee83,426,1,00:16:54.944,16,54,39,1.752079,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['d6d31ced-1fa5-4dfe-b318-68d420c030e6'],"[63.8, 68.4]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,6614.0,Alexis Ruano Delgado,27.911646,-2.417033,1.0,Ground Pass,"[42.9, 49.9]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1014.944
d6d31ced-1fa5-4dfe-b318-68d420c030e6,427,1,00:16:56.696,16,56,39,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['44fd2152-6627-402a-b4df-40bd80a6ee83'],"[42.9, 49.9]",6614.0,Alexis Ruano Delgado,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.696
69656e1c-cdc9-4b3d-9edc-59f67b15ff1c,428,1,00:16:56.696,16,56,39,2.029202,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['44b02a04-39b1-4939-8472-ef9d73fc96e8', 'd6d31ced-1fa5-4dfe-b318-68d420c030e6']","[42.9, 49.9]",6614.0,Alexis Ruano Delgado,5.0,Left Center Back,,,,,,,,,,,,"[43.8, 49.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1016.696
44b02a04-39b1-4939-8472-ef9d73fc96e8,429,1,00:16:58.725,16,58,39,2.696047,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,"['30edc116-060c-408a-a69a-0f01a5fff968', '8a2ad8bd-5a94-4fc0-b4a7-69fb2dc4bf99']","[43.8, 49.4]",6614.0,Alexis Ruano Delgado,5.0,Left Center Back,23416.0,Stefan Šćepović,60.02966,-0.33966222,3.0,High Pass,"[100.4, 29.4]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1018.725
8a2ad8bd-5a94-4fc0-b4a7-69fb2dc4bf99,430,1,00:17:01.421,17,1,39,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['44b02a04-39b1-4939-8472-ef9d73fc96e8'],"[94.2, 31.5]",23416.0,Stefan Šćepović,22.0,Right Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.421
30edc116-060c-408a-a69a-0f01a5fff968,431,1,00:17:01.421,17,1,39,0.0,9,Clearance,216,Getafe,4,From Throw In,222,Villarreal,,,['44b02a04-39b1-4939-8472-ef9d73fc96e8'],"[19.7, 50.7]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,,,,,,True,,,,,38.0,Left Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1021.421
