id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,pass_straight,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,pass_switch,ball_receipt_outcome_id,ball_receipt_outcome_name,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,counterpress,off_camera,dribble_overrun,ball_recovery_offensive,pass_cross,pass_goal_assist,clearance_aerial_won,goalkeeper_end_location,pass_aerial_won,interception_outcome_id,interception_outcome_name,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_outswinging,pass_inswinging,foul_committed_card_id,foul_committed_card_name,pass_through_ball,shot_deflected,block_deflection,pass_no_touch,shot_aerial_won,pass_deflected,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,miscontrol_aerial_won,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
b2b40560-398b-4877-9ab0-577d7fadae10,312,1,00:07:16.475,7,16,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['5626b4c3-741c-4543-b2d9-99bd7aeb0131'],"[47.6, 58.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.475
d3a028ea-5e62-4908-be83-9197e374a9c5,313,1,00:07:16.475,7,16,21,0.1833,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['460db2f3-ae0d-4802-982f-4ac13931e4d1'],"[47.7, 58.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,1.9646883,-0.2573237,3.0,High Pass,"[49.6, 58.0]",37.0,Head,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.475
460db2f3-ae0d-4802-982f-4ac13931e4d1,314,1,00:07:16.658,7,16,21,0.0,6,Block,217,Barcelona,1,Regular Play,210,Real Sociedad,,,['d3a028ea-5e62-4908-be83-9197e374a9c5'],"[70.5, 22.1]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,436.658
13be2bdc-9a94-4aa7-9ae1-5ccf10427f7f,315,1,00:07:18.401,7,18,21,1.502,30,Pass,217,Barcelona,1,Regular Play,210,Real Sociedad,,,['69ab0389-7d06-428c-bb5a-c54164c7315e'],"[78.4, 33.4]",6671.0,Asier Illarramendi Andonegi,13.0,Right Center Midfield,6669.0,David Zurutuza Veillet,13.313527,-2.5431738,2.0,Low Pass,"[67.4, 25.9]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,438.401
69ab0389-7d06-428c-bb5a-c54164c7315e,316,1,00:07:19.903,7,19,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,210,Real Sociedad,,,['13be2bdc-9a94-4aa7-9ae1-5ccf10427f7f'],"[67.4, 25.9]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.903
53b45fa8-581a-4796-be24-6d5b34b482ec,317,1,00:07:19.903,7,19,21,2.2628,43,Carry,217,Barcelona,1,Regular Play,210,Real Sociedad,,,"['69ab0389-7d06-428c-bb5a-c54164c7315e', 'f107a139-19eb-4399-8dc1-e875a407fd6a']","[67.4, 25.9]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,,,,,,,,,,,,"[67.4, 25.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439.903
f107a139-19eb-4399-8dc1-e875a407fd6a,318,1,00:07:22.165,7,22,21,1.0937,30,Pass,217,Barcelona,1,Regular Play,210,Real Sociedad,,,['86df5145-d6e9-449a-841b-060cf130ddcb'],"[67.4, 25.9]",6669.0,David Zurutuza Veillet,15.0,Left Center Midfield,5560.0,Carlos Alberto Vela Garrido,18.497837,0.102896184,1.0,Ground Pass,"[85.8, 27.8]",40.0,Right Foot,,,,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442.165
86df5145-d6e9-449a-841b-060cf130ddcb,319,1,00:07:23.259,7,23,21,,42,Ball Receipt*,217,Barcelona,1,Regular Play,210,Real Sociedad,,,['f107a139-19eb-4399-8dc1-e875a407fd6a'],"[85.8, 27.8]",5560.0,Carlos Alberto Vela Garrido,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,443.259
30c30d94-ae46-4123-813c-d7e56af902cb,320,1,00:07:39.180,7,39,22,1.664222,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['df92f947-0acf-418a-8dd1-307187d8d19d'],"[31.1, 53.1]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,5203.0,Sergio Busquets i Burgos,18.73019,-0.5569015,1.0,Ground Pass,"[47.0, 43.2]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,459.18
df92f947-0acf-418a-8dd1-307187d8d19d,321,1,00:07:40.844,7,40,22,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['30c30d94-ae46-4123-813c-d7e56af902cb'],"[47.0, 43.2]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460.844
9b242c05-3573-462b-9f5d-4048084065dc,322,1,00:07:41.443,7,41,22,1.186759,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['1a9b9435-6e0a-4479-ad00-d9d35a20ed3f'],"[47.6, 43.2]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,4320.0,Neymar da Silva Santos Junior,21.198112,-0.45942822,1.0,Ground Pass,"[66.6, 33.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.443
1a9b9435-6e0a-4479-ad00-d9d35a20ed3f,323,1,00:07:42.629,7,42,22,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['9b242c05-3573-462b-9f5d-4048084065dc'],"[66.6, 33.8]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462.629
