id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,foul_committed_advantage,foul_won_advantage,pass_switch,pass_cross,counterpress,out,off_camera,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_committed_offensive,dribble_overrun,shot_first_time,goalkeeper_end_location,clearance_aerial_won,ball_recovery_recovery_failure,clearance_left_foot,clearance_right_foot,pass_inswinging,pass_technique_id,pass_technique_name,pass_through_ball,pass_deflected,shot_open_goal,foul_committed_card_id,foul_committed_card_name,clearance_other,pass_outswinging,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,pass_cut_back,pass_goal_assist,timestamp_seconds
5196c145-97cd-4156-9213-5304fe0deba8,1652,2,00:00:33.326,45,33,107,0.835513,17,Pressure,210,Real Sociedad,4,From Throw In,214,Espanyol,,,"['c2f5774a-65cb-42c8-a08f-0c2fac7314ea', 'da68e140-8aea-42ea-a1cf-d8b9ad22bd82']","[14.0, 9.9]",4741.0,Juan Rafael Fuentes Hernández,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.326
da68e140-8aea-42ea-a1cf-d8b9ad22bd82,1653,2,00:00:33.344,45,33,107,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['5196c145-97cd-4156-9213-5304fe0deba8', 'f5397afc-4041-4a64-9a2f-6c3f6bbe3dff']","[107.7, 70.9]",6673.0,Sergio Canales Madrazo,19.0,Center Attacking Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.344
c2f5774a-65cb-42c8-a08f-0c2fac7314ea,1654,2,00:00:33.344,45,33,107,4.442095,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['2232c79a-b0cb-476c-8e10-d66857b3da95', '5196c145-97cd-4156-9213-5304fe0deba8', '63de6da8-aef9-43ff-97fe-5bee7f56fa10', 'da68e140-8aea-42ea-a1cf-d8b9ad22bd82']","[107.7, 70.9]",6673.0,Sergio Canales Madrazo,19.0,Center Attacking Midfield,,,,,,,,,,,,"[97.1, 70.7]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.344
2232c79a-b0cb-476c-8e10-d66857b3da95,1655,2,00:00:34.932,45,34,107,2.053956,17,Pressure,210,Real Sociedad,4,From Throw In,214,Espanyol,,,['c2f5774a-65cb-42c8-a08f-0c2fac7314ea'],"[17.2, 9.2]",27241.0,Víctor Guillermo Álvarez Delgado,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.932
63de6da8-aef9-43ff-97fe-5bee7f56fa10,1656,2,00:00:37.786,45,37,107,1.390569,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['1416d983-66ca-40e9-a4ab-ea9d200f1525', '6edb0fed-0a81-46e2-8c1a-dc3bf3280b8d']","[97.1, 70.7]",6673.0,Sergio Canales Madrazo,19.0,Center Attacking Midfield,6677.0,Imanol Agirretxe Arruti,37.320904,-1.3739263,3.0,High Pass,"[104.4, 34.1]",,,38.0,Left Foot,,,9.0,Incomplete,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.786
6edb0fed-0a81-46e2-8c1a-dc3bf3280b8d,1657,2,00:00:39.176,45,39,107,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['63de6da8-aef9-43ff-97fe-5bee7f56fa10'],"[105.5, 31.7]",6677.0,Imanol Agirretxe Arruti,23.0,Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.176
1416d983-66ca-40e9-a4ab-ea9d200f1525,1658,2,00:00:39.176,45,39,107,0.0,9,Clearance,210,Real Sociedad,4,From Throw In,214,Espanyol,,,['63de6da8-aef9-43ff-97fe-5bee7f56fa10'],"[15.7, 46.0]",6762.0,Álvaro González Soberón,3.0,Right Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.176
a86d1f21-c1fe-48bf-acb1-cfc85773d837,1659,2,00:00:41.250,45,41,107,2.411934,30,Pass,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['a5caffb4-5935-423c-b13a-5d4335720e78'],"[83.0, 34.1]",6671.0,Asier Illarramendi Andonegi,11.0,Left Defensive Midfield,6674.0,Alberto De La Bella Madureño,20.408821,-1.9949907,1.0,Ground Pass,"[74.6, 15.5]",66.0,Recovery,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.25
a5caffb4-5935-423c-b13a-5d4335720e78,1660,2,00:00:43.661,45,43,107,,42,Ball Receipt*,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,['a86d1f21-c1fe-48bf-acb1-cfc85773d837'],"[74.6, 15.5]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.661
8521d56d-5fd0-489f-9ae6-ac4ea9496a5e,1661,2,00:00:43.661,45,43,107,0.996764,43,Carry,210,Real Sociedad,4,From Throw In,210,Real Sociedad,,,"['1288cacf-8fb7-4779-ac71-f671de366599', 'a5caffb4-5935-423c-b13a-5d4335720e78']","[74.6, 15.5]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,"[74.6, 15.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.661
