id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,counterpress,pass_aerial_won,duel_type_id,duel_type_name,foul_won_defensive,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,clearance_left_foot,pass_switch,foul_committed_advantage,foul_won_advantage,pass_no_touch,miscontrol_aerial_won,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_success_in_play,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_overrun,dribble_no_touch,ball_recovery_recovery_failure,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_aerial_won,block_deflection,clearance_aerial_won,shot_first_time,pass_cut_back,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,ball_recovery_offensive,shot_one_on_one,50_50_outcome_id,50_50_outcome_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_inswinging,foul_committed_offensive,timestamp_seconds
e559e4c5-3053-43d6-a8d0-619bd04c8fa2,1943,2,00:04:41.093,49,41,138,0.951861,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['baa5266b-2d3f-4ced-9b54-0b6be3c37bb3', 'd1bb2fc6-1140-4a68-b819-0405b8fbe0e0']","[53.7, 10.9]",6736.0,Álvaro Medrán Just,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[53.5, 10.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.093
baa5266b-2d3f-4ced-9b54-0b6be3c37bb3,1944,2,00:04:42.045,49,42,138,0.993382,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['1565d5f3-cf92-4fb4-9a3c-5dcc78287bd0'],"[53.5, 10.8]",6736.0,Álvaro Medrán Just,19.0,Center Attacking Midfield,6861.0,Juan Torres Ruiz,17.026155,-2.8923404,1.0,Ground Pass,"[37.0, 6.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.045
1565d5f3-cf92-4fb4-9a3c-5dcc78287bd0,1945,2,00:04:43.038,49,43,138,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['baa5266b-2d3f-4ced-9b54-0b6be3c37bb3'],"[37.0, 6.6]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.038
8fe9a9ef-cc16-4f77-a9d6-967ea94ba56a,1946,2,00:04:43.038,49,43,138,1.352823,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['1565d5f3-cf92-4fb4-9a3c-5dcc78287bd0', '97fc1484-ca31-41c5-b9e5-413c79f4d851']","[37.0, 6.6]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,,,,,,,,,,,,,"[33.1, 8.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.038
97fc1484-ca31-41c5-b9e5-413c79f4d851,1947,2,00:04:44.391,49,44,138,2.341585,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['15f5f145-b24b-43aa-b88c-3967764687a9'],"[33.1, 8.8]",6861.0,Juan Torres Ruiz,5.0,Left Center Back,6625.0,Vicente Guaita Panadero,29.542004,2.1756988,1.0,Ground Pass,"[16.3, 33.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.391
15f5f145-b24b-43aa-b88c-3967764687a9,1948,2,00:04:46.733,49,46,138,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['97fc1484-ca31-41c5-b9e5-413c79f4d851'],"[16.3, 33.1]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.733
8ffa965a-b3a3-458b-965e-442dbb705c8d,1949,2,00:04:46.733,49,46,138,3.38156,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['15f5f145-b24b-43aa-b88c-3967764687a9', '8c573703-ef05-4157-918c-1eb6a040ac13']","[16.3, 33.1]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,"[23.1, 30.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.733
8c573703-ef05-4157-918c-1eb6a040ac13,1950,2,00:04:50.114,49,50,138,3.502482,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['3c833fb3-f94e-4d84-b47b-a0bf7e6d8616'],"[23.1, 30.2]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,56.074684,0.33810556,3.0,High Pass,"[76.0, 48.8]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.114
4b6958b1-7da6-4839-a9ee-56115d6749d6,1951,2,00:04:53.617,49,53,138,0.0,4,Duel,216,Getafe,4,From Throw In,216,Getafe,,,['3c833fb3-f94e-4d84-b47b-a0bf7e6d8616'],"[76.0, 48.8]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,True,,,,,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.617
3c833fb3-f94e-4d84-b47b-a0bf7e6d8616,1952,2,00:04:53.617,49,53,139,1.998341,30,Pass,213,Sevilla,6,From Counter,213,Sevilla,,,"['4b6958b1-7da6-4839-a9ee-56115d6749d6', '8c573703-ef05-4157-918c-1eb6a040ac13', 'c50d2569-7d1a-4d12-b42a-0291b88d18b6']","[44.1, 31.3]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,6841.0,Víctor Machín Pérez,23.77751,-0.1222684,2.0,Low Pass,"[67.7, 28.4]",64.0,Interception,,,True,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,293.617
