id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,off_camera,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,out,counterpress,dribble_outcome_id,dribble_outcome_name,interception_outcome_id,interception_outcome_name,pass_cross,pass_cut_back,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_switch,clearance_head,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_right_foot,miscontrol_aerial_won,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,pass_shot_assist,goalkeeper_end_location,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_open_goal,foul_committed_card_id,foul_committed_card_name,dribble_nutmeg,ball_recovery_recovery_failure,pass_no_touch,goalkeeper_body_part_id,goalkeeper_body_part_name,foul_committed_type_id,foul_committed_type_name,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,pass_deflected,block_deflection,pass_miscommunication,timestamp_seconds
73754a95-8128-4fdd-aa84-24bb40db6061,1041,1,00:33:07.185,33,7,85,0.92,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['350d1153-e3aa-426e-afaf-37df1b513c7f'],"[61.0, 40.1]",27109.0,Youssef El-Arabi,23.0,Center Forward,6918.0,Isaac Ajayi Success,2.1377559,1.7590178,1.0,Ground Pass,"[60.6, 42.2]",40.0,Right Foot,65.0,Kick Off,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1987.185
350d1153-e3aa-426e-afaf-37df1b513c7f,1042,1,00:33:08.105,33,8,85,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['73754a95-8128-4fdd-aa84-24bb40db6061'],"[60.6, 42.2]",6918.0,Isaac Ajayi Success,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.105
0d7f9ea3-318b-48a3-8cd2-82265c84043b,1043,1,00:33:08.913,33,8,85,3.24,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['30761a24-6cbc-4b48-92e6-56308d127d9c'],"[60.6, 41.8]",6918.0,Isaac Ajayi Success,17.0,Right Wing,3160.0,Rene Krhin,9.391485,-2.6779451,1.0,Ground Pass,"[52.2, 37.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1988.913
30761a24-6cbc-4b48-92e6-56308d127d9c,1044,1,00:33:12.153,33,12,85,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['0d7f9ea3-318b-48a3-8cd2-82265c84043b'],"[52.2, 37.6]",3160.0,Rene Krhin,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.153
721d05dc-529e-4179-8eed-6b892cc22d5d,1045,1,00:33:12.153,33,12,85,1.645402,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['30761a24-6cbc-4b48-92e6-56308d127d9c', '4a86b8db-bf67-48be-af6d-b44fc743a689']","[52.2, 37.6]",3160.0,Rene Krhin,9.0,Right Defensive Midfield,,,,,,,,,,,,"[53.6, 48.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1992.153
4a86b8db-bf67-48be-af6d-b44fc743a689,1046,1,00:33:13.798,33,13,85,1.550152,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['c5bbc203-bf33-4c4b-89e2-8bd52f867803'],"[53.6, 48.3]",3160.0,Rene Krhin,9.0,Right Defensive Midfield,20064.0,Hugo Miguel Almeida Costa Lopes,23.025639,1.9117752,1.0,Ground Pass,"[45.9, 70.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1993.798
c5bbc203-bf33-4c4b-89e2-8bd52f867803,1047,1,00:33:15.348,33,15,85,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['4a86b8db-bf67-48be-af6d-b44fc743a689'],"[45.9, 70.0]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.348
962bf8c0-a740-4c99-972f-afcc583dc621,1048,1,00:33:15.348,33,15,85,2.649822,43,Carry,1049,Granada,9,From Kick Off,1049,Granada,,,"['26aea623-d1ba-4d87-ac5a-089e3a953d4f', 'c5bbc203-bf33-4c4b-89e2-8bd52f867803']","[45.9, 70.0]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,,,,,,,,,,,,"[53.6, 71.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995.348
26aea623-d1ba-4d87-ac5a-089e3a953d4f,1049,1,00:33:17.998,33,17,85,5.057764,30,Pass,1049,Granada,9,From Kick Off,1049,Granada,,,['510c86b3-9d48-4653-8220-3951ff65cda0'],"[53.6, 71.4]",20064.0,Hugo Miguel Almeida Costa Lopes,2.0,Right Back,26387.0,Edgar Antonio Méndez Ortega,66.698204,0.09459634,3.0,High Pass,"[120.0, 77.7]",40.0,Right Foot,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997.998
510c86b3-9d48-4653-8220-3951ff65cda0,1050,1,00:33:23.056,33,23,85,,42,Ball Receipt*,1049,Granada,9,From Kick Off,1049,Granada,,,['26aea623-d1ba-4d87-ac5a-089e3a953d4f'],"[107.3, 77.7]",26387.0,Edgar Antonio Méndez Ortega,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003.056
