id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,out,off_camera,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_cross,clearance_right_foot,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_end_location,pass_technique_id,pass_technique_name,pass_outswinging,shot_first_time,shot_deflected,block_deflection,goalkeeper_punched_out,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_goal_assist,pass_miscommunication,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_recovery_failure,pass_inswinging,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_type_id,foul_committed_type_name,dribble_overrun,pass_cut_back,pass_straight,pass_deflected,foul_committed_offensive,block_offensive,pass_no_touch,timestamp_seconds
09b79768-68b1-463d-bdf1-a2a5ffe9e64f,274,1,00:06:25.199,6,25,22,1.113967,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['6a2f5892-4f0a-4815-b152-d17e39a4b07a'],"[66.2, 24.7]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,8523.0,Yevhen Konoplyanka,16.831518,-0.8022033,1.0,Ground Pass,"[77.9, 12.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,385.199
6a2f5892-4f0a-4815-b152-d17e39a4b07a,275,1,00:06:26.313,6,26,22,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['09b79768-68b1-463d-bdf1-a2a5ffe9e64f'],"[77.9, 12.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.313
65633e5e-4d7f-4a00-a1d0-94ffa9f6c032,276,1,00:06:26.313,6,26,22,3.617692,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['6a2f5892-4f0a-4815-b152-d17e39a4b07a', 'd34bb9ec-cf9b-4fb3-b336-6d861f13e43e']","[77.9, 12.6]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,,,,,,,,,,,,"[103.2, 10.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,386.313
d34bb9ec-cf9b-4fb3-b336-6d861f13e43e,277,1,00:06:29.931,6,29,23,1.216102,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['7abd9e75-831e-4209-9d6a-a0dce2e29ed1'],"[103.2, 10.4]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,27483.0,Benoît Trémoulinas,9.885848,-0.6779005,1.0,Ground Pass,"[110.9, 4.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389.931
7abd9e75-831e-4209-9d6a-a0dce2e29ed1,278,1,00:06:31.147,6,31,23,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['d34bb9ec-cf9b-4fb3-b336-6d861f13e43e'],"[110.9, 4.2]",27483.0,Benoît Trémoulinas,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.147
615033b8-bc9d-47bc-a1cd-80aa32b511ed,279,1,00:06:31.147,6,31,24,0.854223,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['607b0750-0b37-4621-90b6-157b809d7fc1'],"[110.4, 4.4]",27483.0,Benoît Trémoulinas,6.0,Left Back,5504.0,Éver Maximiliano David Banega,18.305191,2.1618292,1.0,Ground Pass,"[100.2, 19.6]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,391.147
607b0750-0b37-4621-90b6-157b809d7fc1,280,1,00:06:32.001,6,32,24,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['615033b8-bc9d-47bc-a1cd-80aa32b511ed'],"[100.2, 19.6]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.001
0b138163-152f-421c-9bb0-995fc4735897,281,1,00:06:32.001,6,32,24,0.085994,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['607b0750-0b37-4621-90b6-157b809d7fc1', 'eaa5e9d2-231b-4961-88ed-a1d32a7dabb3']","[100.2, 19.6]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,"[99.7, 19.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.001
eaa5e9d2-231b-4961-88ed-a1d32a7dabb3,282,1,00:06:32.087,6,32,24,0.0,38,Miscontrol,213,Sevilla,1,Regular Play,213,Sevilla,,,,"[99.7, 19.4]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.087
dd29ec48-e12a-42f6-97e1-e63c225fc2a3,283,1,00:06:33.569,6,33,24,0.569377,17,Pressure,213,Sevilla,1,Regular Play,213,Sevilla,,,"['3a23b578-0ae3-4740-a646-abdc5b318dd7', 'ff21d8a4-201b-4669-8469-949cc6e12d36']","[92.3, 26.5]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.569
