id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,pass_switch,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,pass_technique_id,pass_technique_name,pass_straight,foul_won_defensive,counterpress,pass_assisted_shot_id,pass_goal_assist,pass_through_ball,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_overrun,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_one_on_one,pass_shot_assist,dribble_nutmeg,shot_first_time,clearance_left_foot,ball_recovery_recovery_failure,clearance_right_foot,shot_aerial_won,clearance_aerial_won,pass_aerial_won,block_offensive,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_deflected,dribble_no_touch,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,pass_no_touch,pass_cut_back,injury_stoppage_in_chain,timestamp_seconds
d00bbe7a-106c-403b-be49-d202705977e8,3297,2,00:29:04.884,74,4,161,1.281537,30,Pass,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['8f6a79fe-f8c3-4fc7-b4e3-7f0b5c62f6e8'],,"[85.4, 32.1]",5207.0,Cristiano Ronaldo dos Santos Aveiro,23.0,Center Forward,5552.0,Marcelo Vieira da Silva Júnior,9.192389,-1.1801893,1.0,Ground Pass,"[88.9, 23.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1744.884
8d6d38c5-7300-4dfe-92fb-452bfb1d66eb,3298,2,00:29:05.859,74,5,161,0.426152,17,Pressure,220,Real Madrid,3,From Free Kick,208,Las Palmas,,,"['5550efe1-f9ed-4d57-a177-16919ad64320', '8f6a79fe-f8c3-4fc7-b4e3-7f0b5c62f6e8']",,"[31.2, 56.5]",26689.0,Nauzet Alemán Viera,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.859
8f6a79fe-f8c3-4fc7-b4e3-7f0b5c62f6e8,3299,2,00:29:06.166,74,6,161,,42,Ball Receipt*,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,"['8d6d38c5-7300-4dfe-92fb-452bfb1d66eb', 'd00bbe7a-106c-403b-be49-d202705977e8']",,"[88.9, 23.6]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.166
5550efe1-f9ed-4d57-a177-16919ad64320,3300,2,00:29:06.166,74,6,161,0.130503,43,Carry,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,"['8d6d38c5-7300-4dfe-92fb-452bfb1d66eb', '8f6a79fe-f8c3-4fc7-b4e3-7f0b5c62f6e8', '96f92d63-539a-4d9a-97b0-908e57cf5237']",,"[88.9, 23.6]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,"[88.9, 23.6]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.166
96f92d63-539a-4d9a-97b0-908e57cf5237,3301,2,00:29:06.296,74,6,161,0.0,3,Dispossessed,220,Real Madrid,3,From Free Kick,220,Real Madrid,,,['8976515d-fd7c-4d11-9b1e-934654cb5eb0'],,"[88.9, 23.6]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.296
8976515d-fd7c-4d11-9b1e-934654cb5eb0,3302,2,00:29:06.296,74,6,162,0.0,4,Duel,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['96f92d63-539a-4d9a-97b0-908e57cf5237'],,"[31.2, 56.5]",26689.0,Nauzet Alemán Viera,12.0,Right Midfield,,,,,,,,,,,,,True,,,,,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1746.296
178e8fba-7d4f-4a96-af7c-56c0c1b23616,3303,2,00:29:07.419,74,7,162,0.962648,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['05445422-abd7-47bd-8c9a-ce4c99430baa'],,"[26.9, 51.3]",8440.0,Aythami Artiles Oliva,3.0,Right Center Back,6929.0,José Vicente Gómez Umpiérrez,6.7535176,-0.47689188,1.0,Ground Pass,"[32.9, 48.2]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1747.419
05445422-abd7-47bd-8c9a-ce4c99430baa,3304,2,00:29:08.381,74,8,162,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['178e8fba-7d4f-4a96-af7c-56c0c1b23616'],,"[32.9, 48.2]",6929.0,José Vicente Gómez Umpiérrez,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.381
6f0b5b7e-383b-40c7-9750-09188b1522a4,3305,2,00:29:08.381,74,8,162,0.067852,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['05445422-abd7-47bd-8c9a-ce4c99430baa', '195cbb50-19a4-405a-8ced-04d723caa385']",,"[32.9, 48.2]",6929.0,José Vicente Gómez Umpiérrez,10.0,Center Defensive Midfield,,,,,,,,,,,,"[32.9, 48.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.381
195cbb50-19a4-405a-8ced-04d723caa385,3306,2,00:29:08.449,74,8,162,0.715199,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['f7bbba57-a7c3-4807-9801-a8827baa9180'],,"[32.9, 48.2]",6929.0,José Vicente Gómez Umpiérrez,10.0,Center Defensive Midfield,3610.0,Roque Mesa Quevedo,9.202173,-1.5490606,1.0,Ground Pass,"[33.1, 39.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1748.449
