id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,foul_committed_type_id,foul_committed_type_name,interception_outcome_id,interception_outcome_name,pass_cross,pass_switch,out,pass_technique_id,pass_technique_name,pass_inswinging,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,clearance_left_foot,foul_won_defensive,shot_statsbomb_xg,shot_end_location,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_nutmeg,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,pass_outswinging,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,pass_cut_back,shot_deflected,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,clearance_other,pass_straight,pass_through_ball,block_offensive,shot_redirect,timestamp_seconds
d2387954-e638-407d-8e1c-247d3e773e17,920,1,00:22:28.858,22,28,57,0.217098,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,"['c951cc20-e13c-44b2-8447-7d048a51a3de', 'c9e02e86-f0a6-4a63-a07f-f0c05ad844e4']",,"[87.3, 9.0]",8523.0,Yevhen Konoplyanka,21.0,Left Wing,6718.0,Sergio Escudero Palomo,2.7,0.0,2.0,Low Pass,"[90.0, 9.0]",40.0,Right Foot,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1348.858
c951cc20-e13c-44b2-8447-7d048a51a3de,921,1,00:22:29.075,22,29,57,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['d2387954-e638-407d-8e1c-247d3e773e17'],,"[95.1, 13.1]",6718.0,Sergio Escudero Palomo,6.0,Left Back,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349.075
c9e02e86-f0a6-4a63-a07f-f0c05ad844e4,922,1,00:22:29.075,22,29,57,0.0,6,Block,213,Sevilla,9,From Kick Off,1041,Sporting Gijón,,,['d2387954-e638-407d-8e1c-247d3e773e17'],,"[30.1, 71.1]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349.075
1249c180-8b69-4584-86ef-0489e0c9af93,923,1,00:22:29.885,22,29,57,0.0,9,Clearance,213,Sevilla,9,From Kick Off,1041,Sporting Gijón,,,,,"[32.0, 72.0]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,40.0,Right Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1349.885
a88e11b0-9356-442a-a1ee-a8828b28265a,924,1,00:22:30.937,22,30,57,0.0,2,Ball Recovery,213,Sevilla,9,From Kick Off,213,Sevilla,,,,,"[72.9, 19.6]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,1350.937
8b3e68fe-3a29-4ed6-8685-271c1d4b38c2,925,1,00:22:33.235,22,33,57,0.15871,30,Pass,213,Sevilla,9,From Kick Off,1041,Sporting Gijón,,,['0047f6fb-71e0-4ab1-8020-2c1999a6b5be'],,"[46.7, 50.8]",18925.0,Ignacio Cases Mora,11.0,Left Defensive Midfield,,,1.7,0.0,2.0,Low Pass,"[48.4, 50.8]",40.0,Right Foot,66.0,Recovery,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1353.235
0047f6fb-71e0-4ab1-8020-2c1999a6b5be,926,1,00:22:33.393,22,33,57,0.0,33,50/50,213,Sevilla,9,From Kick Off,213,Sevilla,,,['8b3e68fe-3a29-4ed6-8685-271c1d4b38c2'],,"[71.7, 29.3]",7154.0,Sebastián Carlos Cristóforo Pepe,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,Lost,,,,,,,,,,,,,,,,,,,,,,,,1353.393
ed3ed39f-3a91-4e49-9928-19b162d8cc27,927,1,00:22:34.305,22,34,57,0.0,2,Ball Recovery,213,Sevilla,9,From Kick Off,213,Sevilla,,,,,"[68.4, 26.0]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.305
b3070664-b3d8-41d8-8fcb-70fbddef98d2,928,1,00:22:34.305,22,34,57,6.023958,43,Carry,213,Sevilla,9,From Kick Off,213,Sevilla,,,"['ed3ed39f-3a91-4e49-9928-19b162d8cc27', 'f10eec9e-a5a5-420d-b59a-0349779c645e']",,"[68.4, 26.0]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,,,,,,,,,,,,"[84.2, 54.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1354.305
f10eec9e-a5a5-420d-b59a-0349779c645e,929,1,00:22:40.329,22,40,57,1.70745,30,Pass,213,Sevilla,9,From Kick Off,213,Sevilla,,,['8695e4c9-1dfd-4771-94e2-4560bed3e7de'],,"[84.2, 54.3]",3637.0,Grzegorz Krychowiak,9.0,Right Defensive Midfield,21210.0,Mariano Ferreira Filho,24.018744,1.0903906,1.0,Ground Pass,"[95.3, 75.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360.329
8695e4c9-1dfd-4771-94e2-4560bed3e7de,930,1,00:22:42.037,22,42,57,,42,Ball Receipt*,213,Sevilla,9,From Kick Off,213,Sevilla,,,['f10eec9e-a5a5-420d-b59a-0349779c645e'],,"[95.3, 75.6]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.037
f9e651c0-4d22-427f-aa2f-5d4b4fecc603,931,1,00:22:42.037,22,42,57,0.005870001,43,Carry,213,Sevilla,9,From Kick Off,213,Sevilla,,,"['8695e4c9-1dfd-4771-94e2-4560bed3e7de', 'f7ba83e9-4149-4524-9dc6-519114e871d6']",,"[95.3, 75.6]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,"[96.2, 75.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1362.037
