id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,duel_type_id,duel_type_name,pass_outcome_id,pass_outcome_name,pass_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,carry_end_location,counterpress,interception_outcome_id,interception_outcome_name,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,duel_outcome_id,duel_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,out,clearance_left_foot,pass_inswinging,pass_technique_id,pass_technique_name,foul_won_defensive,pass_through_ball,shot_first_time,pass_switch,pass_deflected,block_deflection,shot_one_on_one,pass_outswinging,miscontrol_aerial_won,pass_cross,dribble_nutmeg,dribble_overrun,foul_committed_type_id,foul_committed_type_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_card_id,foul_committed_card_name,pass_cut_back,foul_committed_penalty,shot_aerial_won,block_save_block,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,timestamp_seconds
364f837e-7624-4c2f-987b-789ab0be4312,2519,2,00:20:49.396,65,49,140,1.131551,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['b47dbd82-c5a6-44ce-b47a-a49a4a9365e7'],,"[40.9, 22.0]",7161.0,Germán Alejandro Pezzella,5.0,Left Center Back,5671.0,Alfred John Momar N''Diaye,12.014991,0.049958397,1.0,Ground Pass,"[52.9, 22.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1249.396
b47dbd82-c5a6-44ce-b47a-a49a4a9365e7,2520,2,00:20:50.527,65,50,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['364f837e-7624-4c2f-987b-789ab0be4312'],,"[52.9, 22.6]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.527
01a60bc2-c5fa-4afc-a7f7-385a93988cc5,2521,2,00:20:50.527,65,50,140,1.746622,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['366055a0-2845-4507-92f9-5b6038dd1da4', '9accb6ed-03ef-479b-bc56-923bab8d9b8e', 'b47dbd82-c5a6-44ce-b47a-a49a4a9365e7']",,"[52.9, 22.6]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,,,,,,,,,,,,True,,,,,,,,,,,,"[53.3, 39.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.527
9accb6ed-03ef-479b-bc56-923bab8d9b8e,2522,2,00:20:50.618,65,50,140,1.623647,17,Pressure,218,Real Betis,1,Regular Play,1049,Granada,,,['01a60bc2-c5fa-4afc-a7f7-385a93988cc5'],,"[65.1, 47.2]",6599.0,Rubén Salvador Pérez Del Mármol,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1250.618
366055a0-2845-4507-92f9-5b6038dd1da4,2523,2,00:20:52.274,65,52,140,1.313768,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['123ace8a-7183-4386-8e82-d2e645e6d261'],,"[53.3, 39.3]",5671.0,Alfred John Momar N''Diaye,9.0,Right Defensive Midfield,27346.0,Petros Matheus dos Santos Araújo,14.3178215,2.0656838,1.0,Ground Pass,"[46.5, 51.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1252.274
123ace8a-7183-4386-8e82-d2e645e6d261,2524,2,00:20:53.588,65,53,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['366055a0-2845-4507-92f9-5b6038dd1da4'],,"[46.5, 51.9]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.588
54c7624e-cab1-4db2-b530-41783a229745,2525,2,00:20:53.588,65,53,140,2.28809,43,Carry,218,Real Betis,1,Regular Play,218,Real Betis,,,"['123ace8a-7183-4386-8e82-d2e645e6d261', 'a7f3d6a4-b6d3-4ef9-9524-7c377e7576ad']",,"[46.5, 51.9]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,"[46.5, 51.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1253.588
a7f3d6a4-b6d3-4ef9-9524-7c377e7576ad,2526,2,00:20:55.876,65,55,140,1.426729,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['63ec63b0-5ccf-4dd9-8cd4-c594c3f374e7'],,"[46.5, 51.7]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,6872.0,Bruno González Cabrera,10.167104,-2.4607074,1.0,Ground Pass,"[38.6, 45.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1255.876
63ec63b0-5ccf-4dd9-8cd4-c594c3f374e7,2527,2,00:20:57.302,65,57,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['a7f3d6a4-b6d3-4ef9-9524-7c377e7576ad'],,"[38.6, 45.3]",6872.0,Bruno González Cabrera,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257.302
740a1475-9a08-441d-9023-6b47b1c1e3bc,2528,2,00:20:57.302,65,57,140,1.886647,30,Pass,218,Real Betis,1,Regular Play,218,Real Betis,,,['f9fa1edd-e54a-479f-91f1-4f3d86e3ce57'],,"[36.2, 45.7]",6872.0,Bruno González Cabrera,3.0,Right Center Back,7161.0,Germán Alejandro Pezzella,32.518612,-1.6046295,2.0,Low Pass,"[35.1, 13.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1257.302
f9fa1edd-e54a-479f-91f1-4f3d86e3ce57,2529,2,00:20:59.189,65,59,140,,42,Ball Receipt*,218,Real Betis,1,Regular Play,218,Real Betis,,,['740a1475-9a08-441d-9023-6b47b1c1e3bc'],,"[35.1, 13.2]",7161.0,Germán Alejandro Pezzella,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1259.189
