id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,under_pressure,counterpress,clearance_body_part_id,clearance_body_part_name,clearance_head,ball_recovery_recovery_failure,clearance_left_foot,duel_type_id,duel_type_name,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_right_foot,pass_switch,duel_outcome_id,duel_outcome_name,pass_cross,pass_technique_id,pass_technique_name,pass_through_ball,pass_goal_assist,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_won_defensive,out,clearance_aerial_won,shot_first_time,dribble_outcome_id,dribble_outcome_name,foul_committed_advantage,foul_won_advantage,pass_deflected,block_deflection,block_offensive,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,miscontrol_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_inswinging,pass_cut_back,pass_straight,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,dribble_overrun,shot_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,timestamp_seconds
ddab6f4f-25ab-4e89-88f2-d3928f3141a8,2873,2,00:34:26.239,79,26,176,1.488509,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['cd9f0e9f-f1e2-439d-b117-69d29ba46761'],"[68.7, 54.7]",6899.0,Rubén Pardo Gutiérrez,9.0,Right Defensive Midfield,6665.0,Íñigo Martínez Berridi,29.841248,-1.7221718,1.0,Ground Pass,"[64.2, 25.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2066.239
cd9f0e9f-f1e2-439d-b117-69d29ba46761,2874,2,00:34:27.728,79,27,176,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['ddab6f4f-25ab-4e89-88f2-d3928f3141a8'],"[64.2, 25.2]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.728
e1fc26cb-0f77-46a9-b7f1-e00ea66686c3,2875,2,00:34:27.728,79,27,176,0.039998002,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['2dcdfb7a-c068-4af4-84c2-f99ea03261c4', 'cd9f0e9f-f1e2-439d-b117-69d29ba46761']","[64.2, 25.2]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,,,,,,,,,,,,"[64.2, 25.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.728
2dcdfb7a-c068-4af4-84c2-f99ea03261c4,2876,2,00:34:27.768,79,27,176,1.517724,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['090f92f4-2e9b-4233-869d-429d9aefd65e'],"[64.2, 25.2]",6665.0,Íñigo Martínez Berridi,5.0,Left Center Back,5560.0,Carlos Alberto Vela Garrido,16.914492,-0.88589877,1.0,Ground Pass,"[74.9, 12.1]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.768
090f92f4-2e9b-4233-869d-429d9aefd65e,2877,2,00:34:29.285,79,29,176,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['2dcdfb7a-c068-4af4-84c2-f99ea03261c4'],"[74.9, 12.1]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.285
146c7c76-e64b-44ba-a771-3b0e94cefd8f,2878,2,00:34:29.285,79,29,176,2.394149,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['090f92f4-2e9b-4233-869d-429d9aefd65e', 'c024f472-1387-4812-816b-3b7d2de97495']","[74.9, 12.1]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,"[80.1, 11.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.285
c024f472-1387-4812-816b-3b7d2de97495,2879,2,00:34:31.679,79,31,176,1.389055,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['7d4fecdf-96de-4cc0-b486-462b80c4a085'],"[80.1, 11.7]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,6674.0,Alberto De La Bella Madureño,15.976233,-0.5984189,1.0,Ground Pass,"[93.3, 2.7]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071.679
7d4fecdf-96de-4cc0-b486-462b80c4a085,2880,2,00:34:33.069,79,33,176,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['c024f472-1387-4812-816b-3b7d2de97495'],"[93.3, 2.7]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.069
55c645e3-78ef-4cd1-a0ec-bf22907662cd,2881,2,00:34:33.069,79,33,176,1.173766,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['243eb543-8552-4211-be27-7061dadebc40', '7d4fecdf-96de-4cc0-b486-462b80c4a085']","[93.3, 2.7]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,,,,,,,,,,,,"[95.5, 3.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2073.069
243eb543-8552-4211-be27-7061dadebc40,2882,2,00:34:34.242,79,34,176,2.131852,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['18ce9ceb-cc0e-410d-8095-364687838b2c'],"[95.5, 3.6]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,6677.0,Imanol Agirretxe Arruti,47.945175,1.2635566,3.0,High Pass,"[110.0, 49.3]",,,38.0,Left Foot,,76.0,Pass Offside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2074.242
