id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,under_pressure,off_camera,counterpress,interception_outcome_id,interception_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_deflected,foul_won_defensive,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,clearance_head,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,foul_committed_card_id,foul_committed_card_name,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_miscommunication,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,shot_one_on_one,clearance_left_foot,pass_goal_assist,pass_inswinging,pass_cut_back,shot_aerial_won,pass_outswinging,dribble_overrun,pass_no_touch,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,block_save_block,timestamp_seconds
699594ec-2190-42c7-b2d2-37cb02589ee7,1525,1,00:35:38.259,35,38,77,0.901144,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['602ec7f5-d281-417d-ae92-e9bbc919a4b6'],"[105.9, 66.4]",5721.0,Daniel Carvajal Ramos,2.0,Right Back,5200.0,Lucas Vázquez Iglesias,10.309219,-1.2551807,1.0,Ground Pass,"[109.1, 56.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2138.259
602ec7f5-d281-417d-ae92-e9bbc919a4b6,1526,1,00:35:39.160,35,39,77,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['699594ec-2190-42c7-b2d2-37cb02589ee7'],"[109.1, 56.6]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.16
55283bbc-0ef6-4951-a08d-73d22eccbb4d,1527,1,00:35:39.160,35,39,77,0.187482,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['58e1179e-239e-4696-99da-f2f65a8f3e62', '602ec7f5-d281-417d-ae92-e9bbc919a4b6', 'dc5ac94a-b085-4ce5-8ac6-5cf18a331f3d']","[109.1, 56.6]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,"[108.2, 57.2]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.16
dc5ac94a-b085-4ce5-8ac6-5cf18a331f3d,1528,1,00:35:39.186,35,39,77,0.136638,17,Pressure,220,Real Madrid,1,Regular Play,208,Las Palmas,,,['55283bbc-0ef6-4951-a08d-73d22eccbb4d'],"[11.7, 26.7]",6934.0,Jerónimo Figueroa Cabrera,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.186
58e1179e-239e-4696-99da-f2f65a8f3e62,1529,1,00:35:39.347,35,39,77,0.0,38,Miscontrol,220,Real Madrid,1,Regular Play,220,Real Madrid,,,,"[108.2, 57.2]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.347
d2f1a91f-a17d-4bb2-8bca-c5c5ad2213c7,1530,1,00:35:39.944,35,39,78,0.0,2,Ball Recovery,208,Las Palmas,1,Regular Play,208,Las Palmas,,,,"[7.8, 22.0]",6934.0,Jerónimo Figueroa Cabrera,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.944
a85eb1a9-9f48-42d1-8894-f769bb84462c,1531,1,00:35:39.944,35,39,78,8.926665,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['c92f1c04-add9-4a3d-a278-ab7cc699dfd6', 'd2f1a91f-a17d-4bb2-8bca-c5c5ad2213c7', 'dd04c2f4-0057-45fb-a50f-28a65705ee94']","[7.8, 22.0]",6934.0,Jerónimo Figueroa Cabrera,16.0,Left Midfield,,,,,,,,,,,,"[4.0, 4.1]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.944
c92f1c04-add9-4a3d-a278-ab7cc699dfd6,1532,1,00:35:39.981,35,39,78,8.975344,17,Pressure,208,Las Palmas,1,Regular Play,220,Real Madrid,,,"['a85eb1a9-9f48-42d1-8894-f769bb84462c', 'dd04c2f4-0057-45fb-a50f-28a65705ee94']","[110.1, 59.3]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.981
4fc4597a-ae17-4fec-90fe-f4959c7179cd,1533,1,00:35:48.870,35,48,78,0.0,22,Foul Committed,208,Las Palmas,1,Regular Play,220,Real Madrid,,,['dd04c2f4-0057-45fb-a50f-28a65705ee94'],"[116.1, 76.0]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148.87
dd04c2f4-0057-45fb-a50f-28a65705ee94,1534,1,00:35:48.870,35,48,78,0.0,21,Foul Won,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['4fc4597a-ae17-4fec-90fe-f4959c7179cd', 'c92f1c04-add9-4a3d-a278-ab7cc699dfd6']","[4.0, 4.1]",6934.0,Jerónimo Figueroa Cabrera,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2148.87
