id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,counterpress,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,under_pressure,foul_committed_advantage,foul_won_advantage,pass_switch,out,foul_won_defensive,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,off_camera,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,pass_cut_back,clearance_left_foot,pass_technique_id,pass_technique_name,pass_inswinging,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_punched_out,block_offensive,pass_through_ball,pass_assisted_shot_id,pass_shot_assist,pass_outswinging,shot_key_pass_id,shot_aerial_won,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,dribble_overrun,shot_deflected,block_deflection,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_straight,shot_one_on_one,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,pass_goal_assist,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
23007346-af8e-4abb-9f7e-0c1c8309ef7c,1084,1,00:31:20.498,31,20,70,0.0,2,Ball Recovery,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['2a3e695b-e85b-4304-b368-4c681eca25b0'],"[24.8, 24.7]",6914.0,Roberto Román Triguero,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.498
a48567d0-6ee6-474d-a734-604ae60e2e32,1085,1,00:31:20.498,31,20,70,1.98079,43,Carry,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['23007346-af8e-4abb-9f7e-0c1c8309ef7c', 'c64ffc5b-f019-488f-9d79-e5b3ec66205f']","[24.8, 24.7]",6914.0,Roberto Román Triguero,5.0,Left Center Back,,,,,,,,,,,,"[25.3, 23.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880.498
c64ffc5b-f019-488f-9d79-e5b3ec66205f,1086,1,00:31:22.479,31,22,70,1.100803,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['d759d964-df56-4309-8595-912e16f104fa'],"[25.3, 23.1]",6914.0,Roberto Román Triguero,5.0,Left Center Back,27144.0,Antonio Amaya Carazo,13.37535,2.0110369,1.0,Ground Pass,"[19.6, 35.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882.479
d759d964-df56-4309-8595-912e16f104fa,1087,1,00:31:23.580,31,23,70,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['c64ffc5b-f019-488f-9d79-e5b3ec66205f'],"[19.6, 35.2]",27144.0,Antonio Amaya Carazo,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.58
27b00797-636f-4688-9200-0685a80270dd,1088,1,00:31:23.580,31,23,70,2.437086,43,Carry,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['64e63573-76b8-44ce-a446-f52e423bdaf8', 'b1b0a07e-f46c-49d6-917f-ee7d935c3852', 'd759d964-df56-4309-8595-912e16f104fa']","[19.6, 35.2]",27144.0,Antonio Amaya Carazo,3.0,Right Center Back,,,,,,,,,,,,"[15.3, 42.5]",,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883.58
64e63573-76b8-44ce-a446-f52e423bdaf8,1089,1,00:31:25.396,31,25,70,0.841981,17,Pressure,360,Rayo Vallecano,4,From Throw In,221,Levante UD,,,"['27b00797-636f-4688-9200-0685a80270dd', 'b1b0a07e-f46c-49d6-917f-ee7d935c3852']","[102.2, 40.0]",23943.0,Rubén García Santos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1885.396
b1b0a07e-f46c-49d6-917f-ee7d935c3852,1090,1,00:31:26.017,31,26,70,1.165922,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['64e63573-76b8-44ce-a446-f52e423bdaf8', 'f12cdc9b-9ea0-452d-bce5-705dc3e7a432']","[15.3, 42.5]",27144.0,Antonio Amaya Carazo,3.0,Right Center Back,26848.0,Roberto Trashorras Gayoso,20.831947,0.14936467,3.0,High Pass,"[35.9, 45.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1886.017
f12cdc9b-9ea0-452d-bce5-705dc3e7a432,1091,1,00:31:27.183,31,27,70,,42,Ball Receipt*,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,['b1b0a07e-f46c-49d6-917f-ee7d935c3852'],"[35.9, 45.6]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.183
64e38741-a117-468a-aec5-fab4af800b3a,1092,1,00:31:27.263,31,27,70,3.1692,30,Pass,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,,"[35.9, 45.6]",26848.0,Roberto Trashorras Gayoso,9.0,Right Defensive Midfield,,,34.470276,1.2398717,2.0,Low Pass,"[47.1, 78.2]",37.0,Head,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1887.263
004cd08e-e101-4355-8902-b9f96d2c1ce9,1093,1,00:31:30.373,31,30,70,1.053553,17,Pressure,360,Rayo Vallecano,4,From Throw In,360,Rayo Vallecano,,,"['5ae72e75-56c9-4548-9fab-f4b175bad7e2', '7a8d2c1b-e835-4499-b5c2-ca01a772330e']","[44.2, 77.5]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.373
5ae72e75-56c9-4548-9fab-f4b175bad7e2,1094,1,00:31:30.902,31,30,71,0.0,2,Ball Recovery,221,Levante UD,1,Regular Play,221,Levante UD,,,['004cd08e-e101-4355-8902-b9f96d2c1ce9'],"[73.8, 2.3]",5678.0,Jefferson Andrés Lerma Solís,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.902
7a8d2c1b-e835-4499-b5c2-ca01a772330e,1095,1,00:31:30.902,31,30,71,0.979448,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['004cd08e-e101-4355-8902-b9f96d2c1ce9', '40a29559-5e06-4666-88b9-32d44c601826', '5ae72e75-56c9-4548-9fab-f4b175bad7e2', 'f823529c-7d20-4aae-8432-4ce07109f22b']","[73.8, 2.3]",5678.0,Jefferson Andrés Lerma Solís,15.0,Left Center Midfield,,,,,,,,,,,,"[72.8, 1.4]",,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1890.902
40a29559-5e06-4666-88b9-32d44c601826,1096,1,00:31:31.881,31,31,71,0.0,22,Foul Committed,221,Levante UD,1,Regular Play,360,Rayo Vallecano,,,"['7a8d2c1b-e835-4499-b5c2-ca01a772330e', 'f823529c-7d20-4aae-8432-4ce07109f22b']","[47.3, 78.7]",24138.0,Joaquín José Marín Ruiz,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891.881
f823529c-7d20-4aae-8432-4ce07109f22b,1097,1,00:31:31.881,31,31,71,0.0,21,Foul Won,221,Levante UD,1,Regular Play,221,Levante UD,,,['40a29559-5e06-4666-88b9-32d44c601826'],"[72.8, 1.4]",5678.0,Jefferson Andrés Lerma Solís,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1891.881
01741cda-de24-45f0-b546-b7c8d64654f0,1098,1,00:31:42.925,31,42,72,2.309405,30,Pass,221,Levante UD,3,From Free Kick,221,Levante UD,,,['34282b92-044a-423d-91a8-29f130f0014e'],"[69.8, 2.1]",26023.0,Juan Francisco García García,6.0,Left Back,26012.0,David Navarro Pedrós,31.964043,2.342921,1.0,Ground Pass,"[47.5, 25.0]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1902.925
34282b92-044a-423d-91a8-29f130f0014e,1099,1,00:31:45.234,31,45,72,,42,Ball Receipt*,221,Levante UD,3,From Free Kick,221,Levante UD,,,['01741cda-de24-45f0-b546-b7c8d64654f0'],"[47.5, 25.0]",26012.0,David Navarro Pedrós,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1905.234
