id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,out,pass_through_ball,pass_technique_id,pass_technique_name,interception_outcome_id,interception_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,dribble_overrun,pass_aerial_won,block_deflection,block_offensive,pass_switch,foul_committed_advantage,foul_won_defensive,foul_won_advantage,pass_straight,pass_cross,clearance_aerial_won,goalkeeper_end_location,ball_recovery_recovery_failure,pass_inswinging,clearance_right_foot,miscontrol_aerial_won,pass_cut_back,pass_goal_assist,shot_first_time,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,pass_outswinging,shot_aerial_won,pass_miscommunication,block_save_block,shot_one_on_one,shot_saved_to_post,goalkeeper_shot_saved_to_post,timestamp_seconds
6292b829-9436-4909-b3ec-91cdfde28afd,2806,2,00:32:19.044,77,19,163,2.247413,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['514189df-c18c-4cb3-ac3d-0cfc7f488b88', '69edd303-7a20-4702-bdf4-96907986623e']",,"[67.6, 26.4]",25859.0,Sérgio Paulo Barbosa Valente,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[65.0, 32.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1939.044
69edd303-7a20-4702-bdf4-96907986623e,2807,2,00:32:21.292,77,21,163,1.130802,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['8e2aaade-3047-4f45-8dd3-1899403f69c0'],,"[65.0, 32.0]",25859.0,Sérgio Paulo Barbosa Valente,19.0,Center Attacking Midfield,6764.0,Pablo Fornals Malla,15.081446,1.7642907,1.0,Ground Pass,"[62.1, 46.8]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1941.292
8e2aaade-3047-4f45-8dd3-1899403f69c0,2808,2,00:32:22.422,77,22,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['69edd303-7a20-4702-bdf4-96907986623e'],,"[62.1, 46.8]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.422
ec0d8d9c-97d5-4892-b066-19d0b12b7738,2809,2,00:32:22.422,77,22,163,1.079148,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['8e2aaade-3047-4f45-8dd3-1899403f69c0', 'a75af174-843e-486c-96da-240a7d50eff0']",,"[62.1, 46.8]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,,,,,,,,,,,,,"[64.5, 49.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942.422
a75af174-843e-486c-96da-240a7d50eff0,2810,2,00:32:23.501,77,23,163,1.854085,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,"['8a1b2618-023a-48cd-84f9-21d98997634a', 'a71876b6-f43c-4cfc-9f89-d2cac384c382']",,"[64.5, 49.5]",6764.0,Pablo Fornals Malla,11.0,Left Defensive Midfield,6569.0,Roberto José Rosales Altuve,25.314226,0.47601447,3.0,High Pass,"[87.0, 61.1]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1943.501
a71876b6-f43c-4cfc-9f89-d2cac384c382,2811,2,00:32:25.356,77,25,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['a75af174-843e-486c-96da-240a7d50eff0'],,"[92.7, 62.2]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.356
8a1b2618-023a-48cd-84f9-21d98997634a,2812,2,00:32:25.356,77,25,163,0.751544,30,Pass,223,Málaga,7,From Goal Kick,1041,Sporting Gijón,,,"['1abae25b-a7f3-46d5-9335-5b466c342d43', '669e959e-3e93-4416-b645-190ce23bb161', 'a75af174-843e-486c-96da-240a7d50eff0']",,"[33.1, 19.0]",24263.0,Ismael López Blanco,21.0,Left Wing,6926.0,Alen Halilović,10.937093,0.082381934,2.0,Low Pass,"[44.0, 19.9]",64.0,Interception,37.0,Head,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1945.356
1abae25b-a7f3-46d5-9335-5b466c342d43,2813,2,00:32:26.107,77,26,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,1041,Sporting Gijón,,,['8a1b2618-023a-48cd-84f9-21d98997634a'],,"[48.7, 21.7]",6926.0,Alen Halilović,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.107
669e959e-3e93-4416-b645-190ce23bb161,2814,2,00:32:26.107,77,26,163,0.0,10,Interception,223,Málaga,7,From Goal Kick,223,Málaga,,,['8a1b2618-023a-48cd-84f9-21d98997634a'],,"[76.1, 60.2]",11212.0,Fábio Ricardo Gomes Fonseca,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.107
09df29c4-2e7b-4b47-a7b8-b9798af210b7,2815,2,00:32:26.107,77,26,163,1.260767,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['669e959e-3e93-4416-b645-190ce23bb161', 'a3d3b0ba-1ded-45e1-b3ce-1970e1ad17a1']",,"[76.1, 60.2]",11212.0,Fábio Ricardo Gomes Fonseca,17.0,Right Wing,,,,,,,,,,,,,"[76.9, 61.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1946.107
a3d3b0ba-1ded-45e1-b3ce-1970e1ad17a1,2816,2,00:32:27.368,77,27,163,0.731295,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['d95648e6-fd96-4b15-a7e4-465a804ddb02'],,"[76.9, 61.1]",11212.0,Fábio Ricardo Gomes Fonseca,17.0,Right Wing,6569.0,Roberto José Rosales Altuve,9.708244,-0.43600488,1.0,Ground Pass,"[85.7, 57.0]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1947.368
d95648e6-fd96-4b15-a7e4-465a804ddb02,2817,2,00:32:28.099,77,28,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['a3d3b0ba-1ded-45e1-b3ce-1970e1ad17a1'],,"[85.7, 57.0]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.099
b291b0c4-603c-4495-9814-1a07d52e8656,2818,2,00:32:28.099,77,28,163,0.073214,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['786d616f-3582-4128-8736-2232cc730ab6', 'd95648e6-fd96-4b15-a7e4-465a804ddb02']",,"[85.7, 57.0]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,"[85.1, 57.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.099
786d616f-3582-4128-8736-2232cc730ab6,2819,2,00:32:28.172,77,28,163,1.01756,30,Pass,223,Málaga,7,From Goal Kick,223,Málaga,,,['a7bb39d1-8ef0-4a9d-8acb-f8fd5d123123'],,"[85.1, 57.0]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,25859.0,Sérgio Paulo Barbosa Valente,8.70919,-3.095648,2.0,Low Pass,"[76.4, 56.6]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1948.172
a7bb39d1-8ef0-4a9d-8acb-f8fd5d123123,2820,2,00:32:29.190,77,29,163,,42,Ball Receipt*,223,Málaga,7,From Goal Kick,223,Málaga,,,['786d616f-3582-4128-8736-2232cc730ab6'],,"[76.4, 56.6]",25859.0,Sérgio Paulo Barbosa Valente,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.19
28bbf27d-da7d-4ec1-af94-0e2a4b765f39,2821,2,00:32:29.190,77,29,163,0.637917,43,Carry,223,Málaga,7,From Goal Kick,223,Málaga,,,"['62b749a5-eb72-4c98-a1fd-4121c5ac38be', 'a7bb39d1-8ef0-4a9d-8acb-f8fd5d123123']",,"[76.4, 56.6]",25859.0,Sérgio Paulo Barbosa Valente,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[76.0, 56.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1949.19
