id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,carry_end_location,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,duel_outcome_id,duel_outcome_name,out,interception_outcome_id,interception_outcome_name,clearance_aerial_won,pass_cut_back,clearance_right_foot,block_offensive,dribble_nutmeg,dribble_overrun,foul_committed_offensive,ball_recovery_recovery_failure,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_advantage,foul_won_advantage,goalkeeper_body_part_id,goalkeeper_body_part_name,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,pass_inswinging,shot_first_time,50_50_outcome_id,50_50_outcome_name,goalkeeper_punched_out,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,timestamp_seconds
b4efce3c-12f4-44c1-934e-5d9f306a0bae,1634,2,00:03:54.436,48,54,95,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['446298da-1582-4986-bf2a-fae20bc35c14'],,"[92.7, 17.8]",6838.0,Hernán Arsenio Pérez González,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.436
91636c4f-b4f5-4e3c-b0ff-eba08dca22d0,1635,2,00:03:54.436,48,54,95,1.052048,43,Carry,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['9dde8669-dde0-40d2-b363-b203def2c899', 'b4efce3c-12f4-44c1-934e-5d9f306a0bae']",,"[92.7, 17.8]",6838.0,Hernán Arsenio Pérez González,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,"[97.1, 13.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.436
9dde8669-dde0-40d2-b363-b203def2c899,1636,2,00:03:55.488,48,55,95,0.857883,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,['56467c0a-fcf8-41e4-86ca-759b2ddabef6'],,"[97.1, 13.3]",6838.0,Hernán Arsenio Pérez González,12.0,Right Midfield,6624.0,Jorge Franco Alviz,10.564564,-2.2825027,1.0,Ground Pass,"[90.2, 5.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.488
56467c0a-fcf8-41e4-86ca-759b2ddabef6,1637,2,00:03:56.346,48,56,95,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['9dde8669-dde0-40d2-b363-b203def2c899'],,"[90.2, 5.3]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.346
38d63d41-872a-4106-bce8-aa244498eed4,1638,2,00:03:56.346,48,56,95,2.361156,43,Carry,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['56467c0a-fcf8-41e4-86ca-759b2ddabef6', 'd86c02b8-392e-4ec8-a846-8d70bcd7ae5e']",,"[90.2, 5.3]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,"[90.6, 9.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236.346
d86c02b8-392e-4ec8-a846-8d70bcd7ae5e,1639,2,00:03:58.707,48,58,95,1.107978,30,Pass,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['d871a7af-6128-45b5-bf25-df5cf4d545d1', 'eddb4074-b2c7-40f6-8b6e-08a544dbcc8c']",,"[90.6, 9.0]",6624.0,Jorge Franco Alviz,16.0,Left Midfield,6766.0,Gerard Moreno Balaguero,25.988651,0.97425604,3.0,High Pass,"[105.2, 30.5]",40.0,Right Foot,,,9.0,Incomplete,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.707
d871a7af-6128-45b5-bf25-df5cf4d545d1,1640,2,00:03:59.815,48,59,95,,42,Ball Receipt*,214,Espanyol,3,From Free Kick,214,Espanyol,,,['d86c02b8-392e-4ec8-a846-8d70bcd7ae5e'],,"[107.3, 34.5]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.815
eddb4074-b2c7-40f6-8b6e-08a544dbcc8c,1641,2,00:03:59.815,48,59,95,0.0,9,Clearance,214,Espanyol,3,From Free Kick,1049,Granada,,,['d86c02b8-392e-4ec8-a846-8d70bcd7ae5e'],,"[14.9, 49.6]",6702.0,David Rodríguez Lombán,3.0,Right Center Back,,,,,,,,,,,,,,,,True,,,,,,True,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.815
88480495-653e-4bfd-b1a7-242884b1dc36,1642,2,00:04:01.404,49,1,95,0.83864,17,Pressure,214,Espanyol,3,From Free Kick,214,Espanyol,,,"['2ce6b7db-ed8e-4dcd-85b9-bb455154c878', '67c0d545-8dcf-4886-a841-a741df9fe35c']",,"[84.9, 35.1]",5598.0,Óscar Esau Duarte Gaitán,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.404
2ce6b7db-ed8e-4dcd-85b9-bb455154c878,1643,2,00:04:01.678,49,1,96,0.0,2,Ball Recovery,1049,Granada,1,Regular Play,1049,Granada,,,['88480495-653e-4bfd-b1a7-242884b1dc36'],,"[36.1, 46.6]",27109.0,Youssef El-Arabi,22.0,Right Center Forward,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.678
