id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_through_ball,pass_technique_id,pass_technique_name,interception_outcome_id,interception_outcome_name,under_pressure,pass_cross,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_deflected,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,foul_won_defensive,off_camera,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,dribble_outcome_id,dribble_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_first_time,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,clearance_head,pass_aerial_won,clearance_left_foot,goalkeeper_end_location,pass_outswinging,clearance_aerial_won,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_goal_assist,pass_cut_back,pass_straight,shot_aerial_won,injury_stoppage_in_chain,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,foul_committed_card_id,foul_committed_card_name,block_offensive,foul_committed_penalty,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,shot_one_on_one,timestamp_seconds
967a9d7b-0f01-4391-9fb3-f7081355d1e3,2673,2,00:36:20.145,81,20,185,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['d4914ded-b9e9-420d-b09c-fd794d6a3d89'],"[86.5, 36.0]",6566.0,Borja González Tomás,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.145
fd28ca9d-bb51-48de-bccc-db0ebdf5109c,2674,2,00:36:20.145,81,20,185,0.985659,43,Carry,322,Eibar,7,From Goal Kick,322,Eibar,,,"['8258bdbe-e23e-4641-b21e-0f53784800c4', '967a9d7b-0f01-4391-9fb3-f7081355d1e3']","[86.5, 36.0]",6566.0,Borja González Tomás,22.0,Right Center Forward,,,,,,,,,,,,"[87.1, 36.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2180.145
8258bdbe-e23e-4641-b21e-0f53784800c4,2675,2,00:36:21.130,81,21,185,0.73598,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,['34e63ec8-5f6e-4dba-a186-c4ab5b9b8693'],"[87.1, 36.0]",6566.0,Borja González Tomás,22.0,Right Center Forward,197493.0,Mikel Arruabarrena Aranbide,7.4,1.5707964,1.0,Ground Pass,"[87.1, 43.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.13
34e63ec8-5f6e-4dba-a186-c4ab5b9b8693,2676,2,00:36:21.866,81,21,185,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['8258bdbe-e23e-4641-b21e-0f53784800c4'],"[87.1, 43.4]",197493.0,Mikel Arruabarrena Aranbide,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.866
ea690ac0-a625-4b8c-8e64-edd3241eeee5,2677,2,00:36:21.866,81,21,185,1.152912,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,['fb063199-87d6-4f23-9a50-2ebd1c801291'],"[87.1, 46.7]",197493.0,Mikel Arruabarrena Aranbide,24.0,Left Center Forward,6742.0,Sergio Gontán Gallardo,17.232527,1.19029,1.0,Ground Pass,"[93.5, 62.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2181.866
fb063199-87d6-4f23-9a50-2ebd1c801291,2678,2,00:36:23.019,81,23,185,,42,Ball Receipt*,322,Eibar,7,From Goal Kick,322,Eibar,,,['ea690ac0-a625-4b8c-8e64-edd3241eeee5'],"[93.5, 62.7]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183.019
5fb0216c-2797-4b10-bc6f-dd8b45af8f3c,2679,2,00:36:23.019,81,23,185,3.435665,43,Carry,322,Eibar,7,From Goal Kick,322,Eibar,,,"['1215fd45-f9da-42ad-80e8-958a54d60e45', 'fb063199-87d6-4f23-9a50-2ebd1c801291']","[93.5, 62.7]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,"[98.8, 67.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2183.019
1215fd45-f9da-42ad-80e8-958a54d60e45,2680,2,00:36:26.455,81,26,185,1.730627,30,Pass,322,Eibar,7,From Goal Kick,322,Eibar,,,['2945056e-4a67-4fac-96a8-caf5a7fa6a20'],"[98.8, 67.0]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,34.3984,-1.2113452,3.0,High Pass,"[110.9, 34.8]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2186.455
2945056e-4a67-4fac-96a8-caf5a7fa6a20,2681,2,00:36:28.186,81,28,186,0.0,23,Goal Keeper,216,Getafe,8,From Keeper,216,Getafe,,,['1215fd45-f9da-42ad-80e8-958a54d60e45'],"[9.2, 45.3]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,Success,25.0,Collected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188.186
84026b7c-3534-4912-a94a-2de2487e0759,2682,2,00:36:28.186,81,28,186,3.868747,43,Carry,216,Getafe,8,From Keeper,216,Getafe,,,"['2945056e-4a67-4fac-96a8-caf5a7fa6a20', '361d49b0-7708-4cb0-b4ea-6344a123a45c']","[9.2, 45.3]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,"[16.2, 38.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2188.186
