id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,off_camera,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,interception_outcome_id,interception_outcome_name,pass_switch,miscontrol_aerial_won,out,pass_inswinging,pass_technique_id,pass_technique_name,clearance_right_foot,pass_cross,ball_recovery_recovery_failure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_goal_assist,shot_first_time,foul_won_defensive,clearance_head,clearance_aerial_won,pass_aerial_won,pass_no_touch,foul_committed_type_id,foul_committed_type_name,goalkeeper_end_location,pass_through_ball,shot_one_on_one,dribble_nutmeg,dribble_overrun,shot_aerial_won,ball_recovery_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,50_50_outcome_id,50_50_outcome_name,pass_straight,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,shot_open_goal,pass_outswinging,pass_deflected,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
c26a631b-d6ae-4e48-81d7-5fdc4a2ff7f4,314,1,00:07:27.673,7,27,12,,42,Ball Receipt*,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['d8a81414-d94e-4690-b6a3-c80930cbd903'],"[59.5, 43.3]",19677.0,Karim Benzema,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.673
3f11fd37-731b-477f-9380-5b02a3adedd6,315,1,00:07:27.673,7,27,12,0.846723,30,Pass,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['122b481e-edc4-444f-8a75-e95d2bdaff1d'],"[58.7, 43.3]",19677.0,Karim Benzema,23.0,Center Forward,5574.0,Toni Kroos,11.808895,-3.0056837,1.0,Ground Pass,"[47.0, 41.7]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,447.673
122b481e-edc4-444f-8a75-e95d2bdaff1d,316,1,00:07:28.520,7,28,12,,42,Ball Receipt*,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['3f11fd37-731b-477f-9380-5b02a3adedd6'],"[47.0, 41.7]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.52
97a3a4c0-fa0b-4f03-b14c-86de74c35f36,317,1,00:07:29.088,7,29,12,1.709713,30,Pass,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['48ee5e4b-5fcf-417c-a5d2-1de9c2469bdc'],"[45.0, 34.4]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,5463.0,Luka Modrić,30.564358,1.2821599,1.0,Ground Pass,"[53.7, 63.7]",40.0,Right Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449.088
48ee5e4b-5fcf-417c-a5d2-1de9c2469bdc,318,1,00:07:30.798,7,30,12,,42,Ball Receipt*,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['97a3a4c0-fa0b-4f03-b14c-86de74c35f36'],"[53.7, 63.7]",5463.0,Luka Modrić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450.798
6bd3bd73-1f80-463d-8c4e-3a4f2b65a906,319,1,00:07:33.710,7,33,12,0.77785,30,Pass,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['792cd639-b26d-4522-8bc1-8323bd48c7cf'],"[52.2, 66.2]",5463.0,Luka Modrić,13.0,Right Center Midfield,5574.0,Toni Kroos,17.280336,-1.7511674,1.0,Ground Pass,"[49.1, 49.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.71
792cd639-b26d-4522-8bc1-8323bd48c7cf,320,1,00:07:34.488,7,34,12,,42,Ball Receipt*,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['6bd3bd73-1f80-463d-8c4e-3a4f2b65a906'],"[49.1, 49.2]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.488
9981577c-31bf-4cb3-9e72-57a862ee0255,321,1,00:07:34.488,7,34,12,4.21496,43,Carry,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,"['759ed43c-3d25-4ae4-929c-5bd01530ae75', '792cd639-b26d-4522-8bc1-8323bd48c7cf']","[49.1, 49.2]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[48.5, 49.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,454.488
759ed43c-3d25-4ae4-929c-5bd01530ae75,322,1,00:07:38.703,7,38,12,2.561728,30,Pass,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['ccbc5db6-063c-47b1-9a03-454912f6f210'],"[48.5, 49.6]",5574.0,Toni Kroos,10.0,Center Defensive Midfield,5485.0,Raphaël Varane,28.602797,-1.5568112,1.0,Ground Pass,"[48.9, 21.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,458.703
ccbc5db6-063c-47b1-9a03-454912f6f210,323,1,00:07:41.264,7,41,12,,42,Ball Receipt*,220,Real Madrid,9,From Kick Off,220,Real Madrid,,,['759ed43c-3d25-4ae4-929c-5bd01530ae75'],"[48.9, 21.0]",5485.0,Raphaël Varane,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461.264
