id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,pass_switch,off_camera,foul_won_defensive,out,pass_cross,clearance_head,clearance_body_part_id,clearance_body_part_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,pass_inswinging,pass_technique_id,pass_technique_name,pass_cut_back,clearance_left_foot,clearance_right_foot,dribble_nutmeg,clearance_aerial_won,dribble_overrun,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,ball_recovery_offensive,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,pass_through_ball,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_deflected,shot_saved_to_post,goalkeeper_shot_saved_to_post,pass_outswinging,timestamp_seconds
acc6d370-9528-48a9-a7ec-e768996fde61,2362,2,00:17:47.741,62,47,139,0.0,4,Duel,322,Eibar,4,From Throw In,322,Eibar,,,['3dda830c-18c8-458e-b582-226f93271094'],"[65.1, 65.4]",6700.0,Sergio Enrich Ametller,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,True,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.741
3dda830c-18c8-458e-b582-226f93271094,2363,2,00:17:47.741,62,47,140,1.627989,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['56ee3e7e-c733-423e-ab4a-f35aba281c21', 'acc6d370-9528-48a9-a7ec-e768996fde61', 'e4638911-e84f-484a-8318-ae5929dae172']","[55.0, 14.7]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,24263.0,Ismael López Blanco,15.532225,-0.70792794,2.0,Low Pass,"[66.8, 4.6]",,,64.0,Interception,,,,,,,,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.741
e4638911-e84f-484a-8318-ae5929dae172,2364,2,00:17:49.369,62,49,140,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['3dda830c-18c8-458e-b582-226f93271094'],"[66.8, 4.6]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.369
c4eaa423-988c-4baa-b3ad-2ae0beff247f,2365,2,00:17:49.369,62,49,140,5.078086,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['9f4994fc-e517-4082-835c-f5ec087b022b', 'e4638911-e84f-484a-8318-ae5929dae172']","[66.8, 4.6]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,"[92.5, 6.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1069.369
9f4994fc-e517-4082-835c-f5ec087b022b,2366,2,00:17:54.448,62,54,140,0.57414,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['c8016b01-a974-4ecd-bc1d-4f4997966892'],"[92.5, 6.6]",24263.0,Ismael López Blanco,6.0,Left Back,6581.0,Jonathan Rodríguez Menéndez,9.538343,-0.51524496,1.0,Ground Pass,"[100.8, 1.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1074.448
c8016b01-a974-4ecd-bc1d-4f4997966892,2367,2,00:17:55.022,62,55,140,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['9f4994fc-e517-4082-835c-f5ec087b022b'],"[100.8, 1.9]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.022
d041830e-1611-40b7-a726-300398ceb09f,2368,2,00:17:55.022,62,55,140,3.484274,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['5070f64b-7cdc-44ab-b486-4c1a5d4814c6', 'c8016b01-a974-4ecd-bc1d-4f4997966892']","[100.8, 1.9]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,,,,,,,,,,,,"[91.6, 3.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075.022
5070f64b-7cdc-44ab-b486-4c1a5d4814c6,2369,2,00:17:58.506,62,58,140,1.901125,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['5b0b8654-3131-4169-973a-283a1e144e54'],"[91.6, 3.8]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,8818.0,Jorge Meré Pérez,28.73082,2.7449274,1.0,Ground Pass,"[65.1, 14.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1078.506
5b0b8654-3131-4169-973a-283a1e144e54,2370,2,00:18:00.407,63,0,140,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['5070f64b-7cdc-44ab-b486-4c1a5d4814c6'],"[65.1, 14.9]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.407
58c23213-09c1-41fa-8c7f-ac21139ece74,2371,2,00:18:00.407,63,0,140,0.881785,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['22a61ddd-7296-4e85-a54b-2526d049a256', '5b0b8654-3131-4169-973a-283a1e144e54']","[65.1, 14.9]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,"[65.1, 14.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1080.407
