id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,pass_aerial_won,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,foul_won_defensive,pass_switch,interception_outcome_id,interception_outcome_name,counterpress,out,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,pass_through_ball,pass_technique_id,pass_technique_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,dribble_outcome_id,dribble_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,dribble_overrun,clearance_left_foot,clearance_aerial_won,clearance_right_foot,shot_aerial_won,pass_inswinging,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,foul_committed_card_id,foul_committed_card_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_miscommunication,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,pass_goal_assist,block_offensive,pass_outswinging,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
05e39472-9e50-4f6a-b673-3806700543cb,2032,2,00:10:14.867,55,14,120,,42,Ball Receipt*,219,RC Deportivo La Coruña,4,From Throw In,219,RC Deportivo La Coruña,,,['e034d53e-d3e0-445c-8466-ed68e16d577d'],,"[89.4, 47.2]",26288.0,Jonathan Javier Rodríguez Portillo,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.867
aa587ec8-6fcb-40b8-8d76-2d2050c50cf0,2033,2,00:10:14.867,55,14,121,0.0,2,Ball Recovery,218,Real Betis,6,From Counter,218,Real Betis,,,['e034d53e-d3e0-445c-8466-ed68e16d577d'],,"[17.0, 41.5]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.867
2fd40752-d245-47c0-9cea-0f003e404145,2034,2,00:10:14.867,55,14,121,2.635185,43,Carry,218,Real Betis,6,From Counter,218,Real Betis,,,"['37e45044-b2f5-49bd-b6f7-dbcc27516d01', 'aa587ec8-6fcb-40b8-8d76-2d2050c50cf0']",,"[17.0, 41.5]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,,,,,,,,,,,,"[15.8, 39.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,614.867
37e45044-b2f5-49bd-b6f7-dbcc27516d01,2035,2,00:10:17.503,55,17,121,1.304944,30,Pass,218,Real Betis,6,From Counter,218,Real Betis,,,['26ece5cd-f3db-43d1-bfbc-cc26ad74bada'],,"[15.8, 39.1]",6654.0,Antonio Adán Garrido,1.0,Goalkeeper,24162.0,Xavier Torres Buigues,17.893295,-0.5663006,1.0,Ground Pass,"[30.9, 29.5]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,617.503
26ece5cd-f3db-43d1-bfbc-cc26ad74bada,2036,2,00:10:18.808,55,18,121,,42,Ball Receipt*,218,Real Betis,6,From Counter,218,Real Betis,,,['37e45044-b2f5-49bd-b6f7-dbcc27516d01'],,"[30.9, 29.5]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.808
def3e460-d319-41be-9fae-c3473af0bd10,2037,2,00:10:18.808,55,18,121,5.858335,43,Carry,218,Real Betis,6,From Counter,218,Real Betis,,,"['26ece5cd-f3db-43d1-bfbc-cc26ad74bada', '3b5b6d99-bbbe-4576-b68e-4d069bf6d5d7']",,"[30.9, 29.5]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,,,,,,,,,,,,"[56.8, 29.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.808
3b5b6d99-bbbe-4576-b68e-4d069bf6d5d7,2038,2,00:10:24.666,55,24,121,1.274886,30,Pass,218,Real Betis,6,From Counter,218,Real Betis,,,['6d415fac-c4cf-460c-90ad-9ef7963a4942'],,"[56.8, 29.1]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,27346.0,Petros Matheus dos Santos Araújo,25.253317,0.89481854,1.0,Ground Pass,"[72.6, 48.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,624.666
eadad6d6-e60b-44f4-88b2-7f773ea2920c,2039,2,00:10:25.689,55,25,121,1.86388,17,Pressure,218,Real Betis,6,From Counter,219,RC Deportivo La Coruña,,,"['3b1a3dd7-081f-4415-ac2c-a07863a55e94', '6d415fac-c4cf-460c-90ad-9ef7963a4942']",,"[50.9, 32.6]",24234.0,Juan Domínguez Lamas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.689
6d415fac-c4cf-460c-90ad-9ef7963a4942,2040,2,00:10:25.941,55,25,121,,42,Ball Receipt*,218,Real Betis,6,From Counter,218,Real Betis,,,"['3b5b6d99-bbbe-4576-b68e-4d069bf6d5d7', 'eadad6d6-e60b-44f4-88b2-7f773ea2920c']",,"[72.6, 48.8]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.941
3b1a3dd7-081f-4415-ac2c-a07863a55e94,2041,2,00:10:25.941,55,25,121,1.612023,43,Carry,218,Real Betis,6,From Counter,218,Real Betis,,,"['6d415fac-c4cf-460c-90ad-9ef7963a4942', 'a7331af2-247c-4d31-8685-26ffc59adffb', 'b94c687f-b6d8-44dc-96f2-6208be7ef4e6', 'eadad6d6-e60b-44f4-88b2-7f773ea2920c']",,"[72.6, 48.8]",27346.0,Petros Matheus dos Santos Araújo,11.0,Left Defensive Midfield,,,,,,,,,,,,"[78.9, 53.6]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,625.941
