id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,pass_aerial_won,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_inswinging,pass_technique_id,pass_technique_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_cross,interception_outcome_id,interception_outcome_name,clearance_left_foot,foul_won_defensive,off_camera,goalkeeper_end_location,pass_through_ball,pass_cut_back,clearance_right_foot,pass_goal_assist,shot_one_on_one,dribble_overrun,pass_switch,pass_miscommunication,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,shot_first_time,clearance_aerial_won,shot_open_goal,shot_aerial_won,pass_outswinging,injury_stoppage_in_chain,ball_recovery_offensive,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_recovery_failure,block_deflection,pass_straight,block_offensive,timestamp_seconds
3de4f5d9-760d-4ee9-8810-ff957568ccc7,2991,2,00:30:52.766,75,52,147,0.0,4,Duel,220,Real Madrid,1,Regular Play,214,Espanyol,,,['13bc8bc5-a304-494c-b4e9-b08064bcd9ad'],"[40.3, 36.1]",18407.0,José Alberto Cañas Ruiz Herrera,11.0,Left Defensive Midfield,,,,,,,,,,,,,True,,,,,11.0,Tackle,,True,,,,13.0,Lost In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1852.766
8a5a0e39-0408-4432-ab1b-7e8d8ea64295,2992,2,00:30:54.948,75,54,147,0.0,2,Ball Recovery,220,Real Madrid,1,Regular Play,220,Real Madrid,,,,"[83.5, 73.0]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.948
37870fde-e5e5-4015-897b-cdc799d07423,2993,2,00:30:54.948,75,54,147,0.235995,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['34255210-ad2b-403a-abb3-0551f386737e', '8a5a0e39-0408-4432-ab1b-7e8d8ea64295']","[83.5, 73.0]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,,,,,,,,,,,,"[84.2, 74.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1854.948
34255210-ad2b-403a-abb3-0551f386737e,2994,2,00:30:55.184,75,55,147,0.969166,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['992d495f-1a72-4991-94b1-458e20a4ba70'],"[84.2, 74.4]",5200.0,Lucas Vázquez Iglesias,17.0,Right Wing,5539.0,Carlos Henrique Casimiro,22.063545,-2.3433747,1.0,Ground Pass,"[68.8, 58.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855.184
992d495f-1a72-4991-94b1-458e20a4ba70,2995,2,00:30:56.153,75,56,147,,42,Ball Receipt*,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['34255210-ad2b-403a-abb3-0551f386737e'],"[68.8, 58.6]",5539.0,Carlos Henrique Casimiro,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856.153
c38e380e-b3a5-4c3d-a1be-24cef7555a8b,2996,2,00:30:56.153,75,56,147,1.521577,43,Carry,220,Real Madrid,1,Regular Play,220,Real Madrid,,,"['8909b006-43e1-4162-9cd3-1098de5aa5ab', '992d495f-1a72-4991-94b1-458e20a4ba70']","[68.8, 58.6]",5539.0,Carlos Henrique Casimiro,11.0,Left Defensive Midfield,,,,,,,,,,,,"[73.7, 58.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1856.153
8909b006-43e1-4162-9cd3-1098de5aa5ab,2997,2,00:30:57.675,75,57,147,3.232177,30,Pass,220,Real Madrid,1,Regular Play,220,Real Madrid,,,['1a22b1b2-5245-4950-a3e8-3c5236fe1df6'],"[73.7, 58.3]",5539.0,Carlos Henrique Casimiro,11.0,Left Defensive Midfield,,,40.92652,-0.55885834,3.0,High Pass,"[108.4, 36.6]",40.0,Right Foot,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1857.675
1a22b1b2-5245-4950-a3e8-3c5236fe1df6,2998,2,00:31:00.907,76,0,148,0.0,2,Ball Recovery,214,Espanyol,1,Regular Play,214,Espanyol,,,['8909b006-43e1-4162-9cd3-1098de5aa5ab'],"[11.7, 43.5]",6792.0,Pau López Sabata,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860.907
cd5aa78b-4a0d-496f-8479-2c8a9417a349,2999,2,00:31:00.907,76,0,148,0.43847,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['1a22b1b2-5245-4950-a3e8-3c5236fe1df6', 'a88f060f-ab79-42bf-95bc-b9204195db3c']","[11.7, 43.5]",6792.0,Pau López Sabata,1.0,Goalkeeper,,,,,,,,,,,,"[12.3, 44.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1860.907
a88f060f-ab79-42bf-95bc-b9204195db3c,3000,2,00:31:01.345,76,1,148,1.393063,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['3f49c302-e0a3-44a5-8bf7-089fb050e9f5'],"[12.3, 44.3]",6792.0,Pau López Sabata,1.0,Goalkeeper,18407.0,José Alberto Cañas Ruiz Herrera,18.516209,-0.3644596,1.0,Ground Pass,"[29.6, 37.7]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.345
3f49c302-e0a3-44a5-8bf7-089fb050e9f5,3001,2,00:31:02.739,76,2,148,,42,Ball Receipt*,214,Espanyol,1,Regular Play,214,Espanyol,,,['a88f060f-ab79-42bf-95bc-b9204195db3c'],"[29.6, 37.7]",18407.0,José Alberto Cañas Ruiz Herrera,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862.739
a9743ab0-3c2f-478f-8fb3-4f5bc8e172fa,3002,2,00:31:02.739,76,2,148,3.599999,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['3f49c302-e0a3-44a5-8bf7-089fb050e9f5', '7cf7850d-1c28-445c-ae43-07769116533a']","[29.6, 37.7]",18407.0,José Alberto Cañas Ruiz Herrera,11.0,Left Defensive Midfield,,,,,,,,,,,,"[40.3, 30.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1862.739
7cf7850d-1c28-445c-ae43-07769116533a,3003,2,00:31:06.339,76,6,148,1.2,30,Pass,214,Espanyol,1,Regular Play,214,Espanyol,,,['bd12ec7e-897a-4466-8a74-bb31fc492de2'],"[40.3, 30.1]",18407.0,José Alberto Cañas Ruiz Herrera,11.0,Left Defensive Midfield,24072.0,Salvador Sevilla López,23.598728,-0.887452,1.0,Ground Pass,"[55.2, 11.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1866.339
