id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,off_camera,pass_switch,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_right_foot,out,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_technique_id,pass_technique_name,pass_outswinging,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_aerial_won,ball_recovery_recovery_failure,foul_won_defensive,pass_through_ball,foul_committed_card_id,foul_committed_card_name,dribble_overrun,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_no_touch,goalkeeper_punched_out,bad_behaviour_card_id,bad_behaviour_card_name,pass_straight,shot_first_time,shot_aerial_won,block_save_block,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_type_id,foul_committed_type_name,dribble_no_touch,pass_cut_back,block_deflection,pass_goal_assist,shot_one_on_one,dribble_nutmeg,timestamp_seconds
1604d0e6-c826-4088-a72c-5339fb88268e,2958,2,00:40:54.082,85,54,165,1.159507,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['66d9f93d-6394-4769-8abb-e8be6adfbbae'],"[55.9, 25.8]",16426.0,Wanderson Maciel Sousa Campos,15.0,Left Center Midfield,6745.0,Mehdi Lacen,8.005623,2.7842839,1.0,Ground Pass,"[48.4, 28.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2454.082
66d9f93d-6394-4769-8abb-e8be6adfbbae,2959,2,00:40:55.242,85,55,165,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['1604d0e6-c826-4088-a72c-5339fb88268e'],"[48.4, 28.6]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.242
20afbfd9-9e45-4f70-ace3-984b9b80beed,2960,2,00:40:55.242,85,55,165,3.119062,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['12a75773-11ac-4755-b7ae-8df4387165c4', '66d9f93d-6394-4769-8abb-e8be6adfbbae']","[48.4, 28.6]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,,,,,,,,,,,,"[61.5, 28.6]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2455.242
12a75773-11ac-4755-b7ae-8df4387165c4,2961,2,00:40:58.361,85,58,165,0.720978,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['7e21b8f9-e0d1-49f7-ad70-16b2fedbbf12'],"[61.5, 28.6]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,11675.0,Moisés Gómez Bordonado,9.1268835,1.4940244,1.0,Ground Pass,"[62.2, 37.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2458.361
7e21b8f9-e0d1-49f7-ad70-16b2fedbbf12,2962,2,00:40:59.082,85,59,165,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['12a75773-11ac-4755-b7ae-8df4387165c4'],"[62.2, 37.7]",11675.0,Moisés Gómez Bordonado,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459.082
1b838952-e783-43d2-92fc-042a079c3105,2963,2,00:40:59.082,85,59,165,1.433031,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['7e21b8f9-e0d1-49f7-ad70-16b2fedbbf12', 'cd05aaf4-0b65-4998-b702-d87ae563d494']","[62.2, 37.7]",11675.0,Moisés Gómez Bordonado,13.0,Right Center Midfield,,,,,,,,,,,,"[62.3, 33.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2459.082
cd05aaf4-0b65-4998-b702-d87ae563d494,2964,2,00:41:00.515,86,0,165,0.732886,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['ec25d875-0037-4841-a9e5-feaf307419de'],"[62.3, 33.9]",11675.0,Moisés Gómez Bordonado,13.0,Right Center Midfield,6745.0,Mehdi Lacen,9.2439165,-2.1167817,1.0,Ground Pass,"[57.5, 26.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2460.515
ec25d875-0037-4841-a9e5-feaf307419de,2965,2,00:41:01.248,86,1,165,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['cd05aaf4-0b65-4998-b702-d87ae563d494'],"[57.5, 26.0]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.248
a031e525-4dba-470f-ab3d-e4166a1be033,2966,2,00:41:01.248,86,1,165,1.469878,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['e8ef027c-d324-41d5-acf1-af4b9f09409d', 'ec25d875-0037-4841-a9e5-feaf307419de']","[57.5, 26.0]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,,,,,,,,,,,,"[59.0, 25.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2461.248
e8ef027c-d324-41d5-acf1-af4b9f09409d,2967,2,00:41:02.717,86,2,165,1.806894,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['1f66021e-ca81-440e-a6b4-65b260c49ce8'],"[59.0, 25.3]",6745.0,Mehdi Lacen,10.0,Center Defensive Midfield,6720.0,Pablo Sarabia García,30.27243,-0.76203793,3.0,High Pass,"[80.9, 4.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462.717
1f66021e-ca81-440e-a6b4-65b260c49ce8,2968,2,00:41:04.524,86,4,165,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['e8ef027c-d324-41d5-acf1-af4b9f09409d'],"[80.9, 4.4]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2464.524
