id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,counterpress,duel_type_id,duel_type_name,miscontrol_aerial_won,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,pass_no_touch,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_right_foot,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,shot_first_time,ball_recovery_recovery_failure,foul_won_defensive,pass_switch,pass_through_ball,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,dribble_outcome_id,dribble_outcome_name,50_50_outcome_id,50_50_outcome_name,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_save_block,clearance_left_foot,pass_goal_assist,dribble_overrun,foul_committed_advantage,foul_won_advantage,dribble_nutmeg,pass_deflected,pass_outswinging,block_offensive,shot_one_on_one,shot_saved_to_post,goalkeeper_shot_saved_to_post,shot_aerial_won,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
87d512ee-8505-4417-bcd6-10879e35a879,1085,1,00:28:31.051,28,31,53,0.0,2,Ball Recovery,208,Las Palmas,1,Regular Play,208,Las Palmas,,,,,"[33.7, 51.9]",15805.0,Hernán Daniel Santana Trujillo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.051
0935d558-8005-4579-9596-6f3e2ff26f22,1086,1,00:28:31.051,28,31,53,3.075612,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['2b96ec3c-e851-4971-9d89-885ed5b6837e', '87d512ee-8505-4417-bcd6-10879e35a879', 'c89e03b2-a293-4a10-9d8e-47f2cdd33f9d']",,"[33.7, 51.9]",15805.0,Hernán Daniel Santana Trujillo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[39.4, 47.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1711.051
c89e03b2-a293-4a10-9d8e-47f2cdd33f9d,1087,1,00:28:33.029,28,33,53,0.676814,17,Pressure,208,Las Palmas,1,Regular Play,209,Celta Vigo,,,['0935d558-8005-4579-9596-6f3e2ff26f22'],,"[82.3, 28.8]",6802.0,Jonathan Castro Otto,6.0,Left Back,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1713.029
2b96ec3c-e851-4971-9d89-885ed5b6837e,1088,1,00:28:34.127,28,34,53,0.525911,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['7b68b84a-8149-4514-93c8-639f5c996605'],,"[39.4, 47.0]",15805.0,Hernán Daniel Santana Trujillo,9.0,Right Defensive Midfield,10755.0,Jonathan Viera Ramos,20.757648,-1.133005,1.0,Ground Pass,"[48.2, 28.2]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.127
7b68b84a-8149-4514-93c8-639f5c996605,1089,1,00:28:34.653,28,34,53,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['2b96ec3c-e851-4971-9d89-885ed5b6837e'],,"[48.2, 28.2]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.653
5cbc9aa4-d1d3-4558-9ba6-55bf205e97d0,1090,1,00:28:34.653,28,34,53,0.061032,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['524611d2-9c1e-4986-b243-c217c6f7ccd2', '7b68b84a-8149-4514-93c8-639f5c996605']",,"[48.2, 28.2]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,,,,,,,,,,,,"[48.2, 28.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.653
524611d2-9c1e-4986-b243-c217c6f7ccd2,1091,1,00:28:34.714,28,34,53,0.715635,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['5e8dbc0b-e0da-4b79-beec-edfe87447836'],,"[48.2, 28.2]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,15805.0,Hernán Daniel Santana Trujillo,3.847077,2.9849908,1.0,Ground Pass,"[44.4, 28.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1714.714
5e8dbc0b-e0da-4b79-beec-edfe87447836,1092,1,00:28:35.429,28,35,53,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['524611d2-9c1e-4986-b243-c217c6f7ccd2'],,"[44.4, 28.8]",15805.0,Hernán Daniel Santana Trujillo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715.429
d62ccfce-8697-4d87-8746-142c0bd3dca0,1093,1,00:28:35.429,28,35,53,0.880859,43,Carry,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['5e8dbc0b-e0da-4b79-beec-edfe87447836', 'bddc55ba-9ee3-4e2d-b205-94bd9cd2f408', 'f93d099b-0cd4-48b0-adc6-2b1584e7c506']",,"[44.4, 28.8]",15805.0,Hernán Daniel Santana Trujillo,9.0,Right Defensive Midfield,,,,,,,,,,,,"[44.4, 28.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1715.429
bddc55ba-9ee3-4e2d-b205-94bd9cd2f408,1094,1,00:28:36.310,28,36,53,0.0,22,Foul Committed,208,Las Palmas,1,Regular Play,209,Celta Vigo,,,"['d62ccfce-8697-4d87-8746-142c0bd3dca0', 'f93d099b-0cd4-48b0-adc6-2b1584e7c506']",,"[75.7, 51.3]",6805.0,Hugo Mallo Novegil,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1716.31
