id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,pass_switch,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,clearance_left_foot,pass_goal_assist,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_open_goal,shot_aerial_won,goalkeeper_technique_id,goalkeeper_technique_name,block_deflection,shot_first_time,50_50_outcome_id,50_50_outcome_name,foul_committed_advantage,foul_won_advantage,block_offensive,pass_miscommunication,duel_outcome_id,duel_outcome_name,pass_aerial_won,pass_through_ball,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_cut_back,foul_won_defensive,pass_inswinging,foul_committed_type_id,foul_committed_type_name,pass_deflected,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,clearance_other,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,timestamp_seconds
151092b0-5186-472f-bdc7-7d459f1e76f3,3519,2,00:35:30.415,80,30,164,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['e68e970b-f108-4527-b4e0-73c97781bd94'],"[62.2, 1.6]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.415
15684bce-7961-4878-868e-756fe361e384,3520,2,00:35:30.415,80,30,164,1.028272,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['1151cec5-a5d5-4407-a148-c0d82f1d8a20', '151092b0-5186-472f-bdc7-7d459f1e76f3', 'e975790a-f293-4299-8253-54736f3f787f']","[62.2, 1.6]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,,,,,,,,,,,,"[58.7, 2.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.415
1151cec5-a5d5-4407-a148-c0d82f1d8a20,3521,2,00:35:30.908,80,30,164,0.523135,17,Pressure,1041,Sporting Gijón,4,From Throw In,220,Real Madrid,,,['15684bce-7961-4878-868e-756fe361e384'],"[57.2, 78.2]",5456.0,Mateo Kovačić,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2130.908
e975790a-f293-4299-8253-54736f3f787f,3522,2,00:35:31.443,80,31,164,0.0,3,Dispossessed,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['b5660834-8cb5-482c-821a-03f636c8a222'],"[58.7, 2.5]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2131.443
b5660834-8cb5-482c-821a-03f636c8a222,3523,2,00:35:31.443,80,31,164,0.0,4,Duel,1041,Sporting Gijón,4,From Throw In,220,Real Madrid,,,['e975790a-f293-4299-8253-54736f3f787f'],"[61.4, 77.6]",5456.0,Mateo Kovačić,17.0,Right Wing,,,,,,,,,,,,,True,,,,,,,,,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,2131.443
dfe08dee-169e-474d-91dc-ddcaab71957c,3524,2,00:35:33.047,80,33,164,0.0,28,Shield,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,,"[47.9, 3.3]",6581.0,Jonathan Rodríguez Menéndez,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.047
d67344b2-001a-4097-8d19-166b58aeb13d,3525,2,00:35:33.052,80,33,164,0.645275,17,Pressure,1041,Sporting Gijón,4,From Throw In,220,Real Madrid,,,,"[72.2, 76.8]",5456.0,Mateo Kovačić,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2133.052
cb2d8a7b-52f2-48ae-8567-d3659b971ea4,3526,2,00:35:41.040,80,41,165,3.552357,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['c2ba2730-df3d-4a3f-8e7a-61bee684c3b9'],"[47.9, 0.1]",23994.0,Alejandro Menéndez Díez,21.0,Left Wing,8818.0,Jorge Meré Pérez,22.328905,2.712,3.0,High Pass,"[27.6, 9.4]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2141.04
c2ba2730-df3d-4a3f-8e7a-61bee684c3b9,3527,2,00:35:44.592,80,44,165,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['cb2d8a7b-52f2-48ae-8567-d3659b971ea4'],"[27.6, 9.4]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144.592
5a812690-2028-4347-a4ee-0e3e9401dda2,3528,2,00:35:44.592,80,44,165,0.594108,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['b27ce59c-43fd-424f-86eb-6f324b23af0c', 'c2ba2730-df3d-4a3f-8e7a-61bee684c3b9']","[27.6, 9.4]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,"[27.8, 11.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2144.592
b27ce59c-43fd-424f-86eb-6f324b23af0c,3529,2,00:35:45.186,80,45,165,1.687417,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['775ce2b1-449b-4bef-b26a-3ec0666d8cb6'],"[27.8, 11.7]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,27526.0,Rachid Aït-Atmane,19.80707,0.8139618,1.0,Ground Pass,"[41.4, 26.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2145.186
775ce2b1-449b-4bef-b26a-3ec0666d8cb6,3530,2,00:35:46.874,80,46,165,,42,Ball Receipt*,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['b27ce59c-43fd-424f-86eb-6f324b23af0c'],"[41.4, 26.1]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146.874
c2c34980-8d2c-4fe0-94cc-33ae760e4ec6,3531,2,00:35:46.874,80,46,165,5.932825,43,Carry,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,"['16285641-1db1-4b17-8112-a83cda460bae', '775ce2b1-449b-4bef-b26a-3ec0666d8cb6', 'eff92011-0724-4e16-b979-a0344a2804d6']","[41.4, 26.1]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,,,,,,,,,,,,"[44.7, 45.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2146.874
16285641-1db1-4b17-8112-a83cda460bae,3532,2,00:35:49.548,80,49,165,1.996859,17,Pressure,1041,Sporting Gijón,4,From Throw In,220,Real Madrid,,,['c2c34980-8d2c-4fe0-94cc-33ae760e4ec6'],"[78.3, 46.8]",5207.0,Cristiano Ronaldo dos Santos Aveiro,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2149.548
eff92011-0724-4e16-b979-a0344a2804d6,3533,2,00:35:52.806,80,52,165,1.893687,30,Pass,1041,Sporting Gijón,4,From Throw In,1041,Sporting Gijón,,,['0d7f7cb3-9bd9-4fd8-a27c-adf4e3275812'],"[44.7, 45.5]",27526.0,Rachid Aït-Atmane,9.0,Right Defensive Midfield,24263.0,Ismael López Blanco,27.970163,0.8385127,1.0,Ground Pass,"[63.4, 66.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2152.806
27969e40-206b-462c-9dbe-e5bc98c3c1fa,3534,2,00:35:54.421,80,54,165,0.576767,17,Pressure,1041,Sporting Gijón,4,From Throw In,220,Real Madrid,,,"['0d7f7cb3-9bd9-4fd8-a27c-adf4e3275812', '194e2d69-8c34-435f-b5d1-ada167312fc6']","[52.2, 12.4]",5552.0,Marcelo Vieira da Silva Júnior,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2154.421
