id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,out,dribble_outcome_id,dribble_outcome_name,dribble_nutmeg,off_camera,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,duel_outcome_id,duel_outcome_name,miscontrol_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_deflected,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_technique_id,pass_technique_name,pass_inswinging,pass_cross,clearance_head,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_straight,pass_no_touch,pass_cut_back,pass_switch,foul_committed_type_id,foul_committed_type_name,pass_through_ball,dribble_overrun,pass_outswinging,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_aerial_won,shot_first_time,pass_goal_assist,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_one_on_one,block_deflection,clearance_left_foot,bad_behaviour_card_id,bad_behaviour_card_name,shot_aerial_won,timestamp_seconds
0359c9d5-f9e7-4895-b6cc-adfb7b6a56c9,858,1,00:23:30.887,23,30,58,0.0,3,Dispossessed,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['89a53a00-d559-4522-bddc-8a2e6eafadd1'],"[94.4, 7.4]",6724.0,Manuel Agudo Durán,21.0,Left Wing,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.887
89a53a00-d559-4522-bddc-8a2e6eafadd1,859,1,00:23:30.887,23,30,58,0.0,4,Duel,209,Celta Vigo,4,From Throw In,214,Espanyol,,,['0359c9d5-f9e7-4895-b6cc-adfb7b6a56c9'],"[25.7, 72.7]",6791.0,Javier López Rodríguez,2.0,Right Back,,,,,,,,,,,,,,,True,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410.887
67d07023-6e6a-41b7-935c-852f7b41a568,860,1,00:23:39.470,23,39,59,1.02145,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['f07a231d-43e6-4bcc-9081-4e8dd659c6f1'],"[91.6, 0.1]",7577.0,Carles Planas Antolínez,6.0,Left Back,19668.0,Augusto Matías Fernández,23.384825,2.7833226,2.0,Low Pass,"[69.7, 8.3]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.47
f07a231d-43e6-4bcc-9081-4e8dd659c6f1,861,1,00:23:40.491,23,40,59,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['67d07023-6e6a-41b7-935c-852f7b41a568'],"[69.7, 8.3]",19668.0,Augusto Matías Fernández,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.491
e57be03e-8c31-489d-8633-6e0446677fc1,862,1,00:23:40.660,23,40,59,1.118952,17,Pressure,209,Celta Vigo,4,From Throw In,214,Espanyol,,,,"[51.1, 70.1]",6766.0,Gerard Moreno Balaguero,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.66
d57cb667-f232-4123-8e64-5e504985a452,863,1,00:23:43.575,23,43,59,1.562075,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['8695d67f-da93-47c2-afe1-1346eefd5fb9'],"[66.6, 26.7]",19668.0,Augusto Matías Fernández,9.0,Right Defensive Midfield,6805.0,Hugo Mallo Novegil,21.50279,1.668614,1.0,Ground Pass,"[64.5, 48.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.575
8695d67f-da93-47c2-afe1-1346eefd5fb9,864,1,00:23:45.137,23,45,59,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['d57cb667-f232-4123-8e64-5e504985a452'],"[64.5, 48.1]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.137
3dceb9fe-55f6-495a-86c6-6ae3a76e4030,865,1,00:23:45.137,23,45,59,1.591291,43,Carry,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,"['6757666c-fa5a-4ada-bc29-c8eff05bc8c3', '8695d67f-da93-47c2-afe1-1346eefd5fb9']","[64.5, 48.1]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,,,,,,,,,,,,"[62.8, 60.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.137
6757666c-fa5a-4ada-bc29-c8eff05bc8c3,866,1,00:23:46.728,23,46,59,1.004691,30,Pass,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['c9c11d17-3241-43ac-902d-6727440fa110'],"[62.8, 60.2]",6805.0,Hugo Mallo Novegil,3.0,Right Center Back,6797.0,Daniel Wass,25.316002,0.7742255,1.0,Ground Pass,"[80.9, 77.9]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1426.728
c9c11d17-3241-43ac-902d-6727440fa110,867,1,00:23:47.733,23,47,59,,42,Ball Receipt*,209,Celta Vigo,4,From Throw In,209,Celta Vigo,,,['6757666c-fa5a-4ada-bc29-c8eff05bc8c3'],"[80.9, 77.9]",6797.0,Daniel Wass,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.733
