id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_aerial_won,pass_outcome_id,pass_outcome_name,duel_type_id,duel_type_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,clearance_aerial_won,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_type_id,goalkeeper_type_name,pass_technique_id,pass_technique_name,pass_inswinging,clearance_left_foot,out,miscontrol_aerial_won,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_switch,off_camera,clearance_right_foot,foul_won_defensive,dribble_overrun,foul_committed_advantage,foul_won_advantage,shot_first_time,goalkeeper_end_location,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,shot_one_on_one,shot_aerial_won,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,block_offensive,50_50_outcome_id,50_50_outcome_name,goalkeeper_punched_out,pass_outswinging,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,pass_no_touch,ball_recovery_offensive,injury_stoppage_in_chain,foul_committed_offensive,pass_cut_back,timestamp_seconds
f8f9d6b8-6eec-4c22-80b1-5eee5c17f500,2751,2,00:23:39.269,68,39,152,0.0,2,Ball Recovery,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['c096fbc5-34aa-4a18-93b0-0fa2ff75f650'],"[14.6, 30.5]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.269
00d0e7db-a523-4f47-9742-d09545387ae8,2752,2,00:23:40.383,68,40,152,3.486138,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['c1d45f0c-0241-4597-bddb-22bcf5fa668a'],"[14.6, 29.2]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,24263.0,Ismael López Blanco,8.910667,-0.7695265,1.0,Ground Pass,"[21.0, 23.0]",69.0,Keeper Arm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.383
c1d45f0c-0241-4597-bddb-22bcf5fa668a,2753,2,00:23:43.869,68,43,152,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['00d0e7db-a523-4f47-9742-d09545387ae8'],"[21.0, 23.0]",24263.0,Ismael López Blanco,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1423.869
dc50d7a4-49ba-49e0-84db-2563547aac42,2754,2,00:23:45.581,68,45,152,1.425925,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['cbead919-5b5a-4c5e-bb80-982dcb274f24'],"[21.2, 22.8]",24263.0,Ismael López Blanco,6.0,Left Back,13107.0,Sergio Álvarez Díaz,16.38658,0.348771,1.0,Ground Pass,"[36.6, 28.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1425.581
cbead919-5b5a-4c5e-bb80-982dcb274f24,2755,2,00:23:47.006,68,47,152,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['dc50d7a4-49ba-49e0-84db-2563547aac42'],"[36.6, 28.4]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.006
01359bf5-30d6-4b1e-8d34-03f18da80ba3,2756,2,00:23:47.201,68,47,152,1.337793,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['37c370d3-be92-4f85-9a6f-989de0cd7db5'],"[36.2, 28.6]",13107.0,Sergio Álvarez Díaz,9.0,Right Defensive Midfield,6581.0,Jonathan Rodríguez Menéndez,22.165062,-0.73113835,1.0,Ground Pass,"[52.7, 13.8]",38.0,Left Foot,,,,,,77.0,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427.201
b108c5b8-78ca-4a07-9714-72b7af8c2965,2757,2,00:23:48.072,68,48,152,0.848191,17,Pressure,1041,Sporting Gijón,1,Regular Play,223,Málaga,,,"['37c370d3-be92-4f85-9a6f-989de0cd7db5', '4d329b8a-89eb-4b58-9cbc-dbb062a11f9d']","[66.6, 65.6]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428.0720000000001
37c370d3-be92-4f85-9a6f-989de0cd7db5,2758,2,00:23:48.539,68,48,152,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['01359bf5-30d6-4b1e-8d34-03f18da80ba3', 'b108c5b8-78ca-4a07-9714-72b7af8c2965']","[51.8, 14.1]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428.539
3812c780-3c05-40e8-b0af-f3ce40c9addb,2759,2,00:23:48.723,68,48,152,0.0,22,Foul Committed,1041,Sporting Gijón,1,Regular Play,223,Málaga,,,['4d329b8a-89eb-4b58-9cbc-dbb062a11f9d'],"[66.1, 64.3]",6569.0,Roberto José Rosales Altuve,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Yellow Card,,,,,,,,,,,,,,,,,,,,,,1428.723
4d329b8a-89eb-4b58-9cbc-dbb062a11f9d,2760,2,00:23:48.723,68,48,152,0.0,21,Foul Won,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['3812c780-3c05-40e8-b0af-f3ce40c9addb', 'b108c5b8-78ca-4a07-9714-72b7af8c2965']","[54.0, 15.8]",6581.0,Jonathan Rodríguez Menéndez,21.0,Left Wing,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1428.723
31529e38-2e30-40fe-9241-0587bbfdfd52,2761,2,00:24:15.154,69,15,153,2.8,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['930c3ecc-26ef-4829-8b77-f0e8a995ad7a'],"[53.3, 15.3]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,6561.0,Luis Hernández Rodríguez,41.44032,1.6990423,1.0,Ground Pass,"[48.0, 56.4]",38.0,Left Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.154
930c3ecc-26ef-4829-8b77-f0e8a995ad7a,2762,2,00:24:17.954,69,17,153,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['31529e38-2e30-40fe-9241-0587bbfdfd52'],"[48.0, 56.4]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1457.954
0b172669-6d41-441c-aa9f-573e9c5d7546,2763,2,00:24:18.270,69,18,153,1.693954,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['ae43db5c-d8d5-462b-b36c-4c4468297e66'],"[48.0, 57.7]",6561.0,Luis Hernández Rodríguez,3.0,Right Center Back,26633.0,Alberto Lora Ramos,18.294535,1.0875913,1.0,Ground Pass,"[56.5, 73.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458.27
ae43db5c-d8d5-462b-b36c-4c4468297e66,2764,2,00:24:19.964,69,19,153,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['0b172669-6d41-441c-aa9f-573e9c5d7546'],"[56.5, 73.9]",26633.0,Alberto Lora Ramos,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1459.964
92153be9-f51b-43cf-b533-139700e45212,2765,2,00:24:20.878,69,20,153,0.594142,30,Pass,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['6ab1172d-e20b-4938-8bbb-1b861a7bf3bb'],"[56.7, 73.9]",26633.0,Alberto Lora Ramos,2.0,Right Back,6926.0,Alen Halilović,14.106027,-0.33968586,1.0,Ground Pass,"[70.0, 69.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1460.878
6ab1172d-e20b-4938-8bbb-1b861a7bf3bb,2766,2,00:24:21.472,69,21,153,,42,Ball Receipt*,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['92153be9-f51b-43cf-b533-139700e45212'],"[70.0, 69.2]",6926.0,Alen Halilović,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.472
701ff25f-a7fc-44bb-a6cb-7546e779066f,2767,2,00:24:21.472,69,21,153,2.323726,43,Carry,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,"['6ab1172d-e20b-4938-8bbb-1b861a7bf3bb', 'fbd6f897-cfc9-4865-b565-a87b9427fb28']","[70.0, 69.2]",6926.0,Alen Halilović,23.0,Center Forward,,,,,,,,,,,,"[70.0, 69.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1461.472
