id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,off_camera,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,out,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,clearance_head,clearance_left_foot,pass_technique_id,pass_technique_name,pass_through_ball,pass_inswinging,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,foul_committed_offensive,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_miscommunication,shot_one_on_one,shot_open_goal,block_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,block_deflection,shot_aerial_won,ball_recovery_recovery_failure,dribble_overrun,foul_committed_advantage,foul_won_advantage,pass_goal_assist,block_save_block,pass_cut_back,pass_straight,dribble_nutmeg,timestamp_seconds
5f828394-b4c1-4168-bb32-555c0554b9db,279,1,00:04:28.187,4,28,12,0.0,4,Duel,217,Barcelona,1,Regular Play,212,Atlético Madrid,,,['cb71b022-589b-46e9-be58-7523b197681b'],"[18.2, 26.8]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,True,,,,,,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.187
ba39fd33-c909-460f-8a43-77e842827ea3,280,1,00:04:28.821,4,28,12,0.0,9,Clearance,217,Barcelona,1,Regular Play,212,Atlético Madrid,,,,"[12.6, 27.7]",5249.0,Diego Roberto Godín Leal,5.0,Left Center Back,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,Left Foot,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.821
86d75161-9267-46cc-a7a5-c23f145d68cc,281,1,00:04:31.818,4,31,12,3.636657,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['ce540606-dfa9-4f12-ab3c-6edd15c3423c'],"[72.9, 56.7]",5506.0,Javier Alejandro Mascherano,3.0,Right Center Back,6379.0,Sergi Roberto Carnicer,22.230835,1.8911244,3.0,High Pass,"[65.9, 77.8]",37.0,Head,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,271.818
ce540606-dfa9-4f12-ab3c-6edd15c3423c,282,1,00:04:35.455,4,35,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['86d75161-9267-46cc-a7a5-c23f145d68cc'],"[65.9, 77.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.455
a03d14bd-a77f-4515-8b3c-2f6780df3b5e,283,1,00:04:35.455,4,35,12,1.662202,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['4c8f22da-790c-4d85-af5b-9c481d244289', 'ce540606-dfa9-4f12-ab3c-6edd15c3423c']","[65.9, 77.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,"[66.4, 76.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,275.455
4c8f22da-790c-4d85-af5b-9c481d244289,284,1,00:04:37.117,4,37,12,0.988638,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['e6b35b4f-264e-418f-8627-a8613cb66f6f'],"[66.4, 76.8]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,5470.0,Ivan Rakitić,8.9196415,-2.3086114,1.0,Ground Pass,"[60.4, 70.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,277.117
e6b35b4f-264e-418f-8627-a8613cb66f6f,285,1,00:04:38.106,4,38,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['4c8f22da-790c-4d85-af5b-9c481d244289'],"[60.4, 70.2]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.106
3654eaaa-6fa9-4939-ac6b-eae792b75380,286,1,00:04:38.106,4,38,12,1.891194,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['87badcc5-3f85-4340-9cdd-bd82d6f99d40', 'e6b35b4f-264e-418f-8627-a8613cb66f6f']","[60.4, 70.2]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,,,,,,,,,,,,"[62.5, 70.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.106
87badcc5-3f85-4340-9cdd-bd82d6f99d40,287,1,00:04:39.997,4,39,12,2.754331,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['5e7cbed6-2de4-4e1e-adce-b0242121ee63'],"[62.5, 70.4]",5470.0,Ivan Rakitić,13.0,Right Center Midfield,5211.0,Jordi Alba Ramos,57.854042,-1.614022,3.0,High Pass,"[60.0, 12.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279.997
5e7cbed6-2de4-4e1e-adce-b0242121ee63,288,1,00:04:42.751,4,42,12,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['87badcc5-3f85-4340-9cdd-bd82d6f99d40'],"[60.0, 12.6]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.751
