id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,out,duel_type_id,duel_type_name,pass_aerial_won,duel_outcome_id,duel_outcome_name,off_camera,interception_outcome_id,interception_outcome_name,pass_switch,pass_outswinging,pass_technique_id,pass_technique_name,clearance_head,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,counterpress,dribble_outcome_id,dribble_outcome_name,pass_cross,ball_recovery_recovery_failure,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_goal_assist,dribble_nutmeg,bad_behaviour_card_id,bad_behaviour_card_name,pass_inswinging,shot_aerial_won,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_straight,foul_committed_card_id,foul_committed_card_name,pass_through_ball,clearance_aerial_won,pass_cut_back,shot_one_on_one,clearance_right_foot,foul_committed_advantage,foul_won_advantage,pass_deflected,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_deflection,dribble_overrun,miscontrol_aerial_won,foul_committed_penalty,clearance_other,timestamp_seconds
f3899f1e-3609-474c-b00c-87d88ab9ab46,1044,1,00:28:14.463,28,14,72,0.60867,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['01b43f3c-146a-4d0b-83f9-e1cba34d9a11', '806e541c-09b9-477e-9463-590069717cc5']","[74.5, 23.1]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,,,,,,,,,,"[77.8, 20.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1694.463
806e541c-09b9-477e-9463-590069717cc5,1045,1,00:28:15.072,28,15,72,0.488842,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['7fcde56f-5d4f-4c80-b020-a0d195e92020'],"[77.8, 20.8]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,6697.0,Daniel Ceballos Fernández,8.3,1.5707964,1.0,Ground Pass,"[77.8, 29.1]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.072
7fcde56f-5d4f-4c80-b020-a0d195e92020,1046,1,00:28:15.561,28,15,72,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['806e541c-09b9-477e-9463-590069717cc5'],"[77.8, 29.1]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.561
fd327014-b76a-4f9b-85f4-a1e026a015f5,1047,1,00:28:15.561,28,15,72,0.114344,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['7fcde56f-5d4f-4c80-b020-a0d195e92020', '9d6ed11c-8633-40ef-b419-8b0e68e2370b']","[77.8, 29.1]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,,,,,,,,,,,,"[77.9, 29.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.561
9d6ed11c-8633-40ef-b419-8b0e68e2370b,1048,1,00:28:15.675,28,15,72,0.813191,30,Pass,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['f75ed224-6f78-47b3-a2f6-5d644557d963'],"[77.9, 29.2]",6697.0,Daniel Ceballos Fernández,11.0,Left Defensive Midfield,6832.0,Rubén Castro Martín,4.8010416,-0.62267077,1.0,Ground Pass,"[81.8, 26.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,3dbf3180-8661-41b1-89c1-7c27bb89e508,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1695.675
f75ed224-6f78-47b3-a2f6-5d644557d963,1049,1,00:28:16.488,28,16,72,,42,Ball Receipt*,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['9d6ed11c-8633-40ef-b419-8b0e68e2370b'],"[81.8, 26.4]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.488
54ae1b46-d12b-4560-8164-88e244c3a4a7,1050,1,00:28:16.488,28,16,72,0.753624,43,Carry,218,Real Betis,7,From Goal Kick,218,Real Betis,,,"['2746ec57-5a61-4baf-8293-8b35494af30d', '50bede52-5781-4633-bfc8-cac256ba0b88', 'f75ed224-6f78-47b3-a2f6-5d644557d963']","[81.8, 26.4]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,"[83.2, 27.7]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.488
2746ec57-5a61-4baf-8293-8b35494af30d,1051,1,00:28:16.682,28,16,72,0.479996,17,Pressure,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,['54ae1b46-d12b-4560-8164-88e244c3a4a7'],"[37.6, 51.8]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1696.682
31e1c343-41a2-4fcd-9115-0c57b163b354,1052,1,00:28:17.242,28,17,72,0.0,39,Dribbled Past,218,Real Betis,7,From Goal Kick,215,Athletic Club,,,"['50bede52-5781-4633-bfc8-cac256ba0b88', 'c5fad9f0-9c53-4b5d-9020-67299e67f4d8']","[36.9, 52.4]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.242
50bede52-5781-4633-bfc8-cac256ba0b88,1053,1,00:28:17.242,28,17,72,0.0,14,Dribble,218,Real Betis,7,From Goal Kick,218,Real Betis,,,['31e1c343-41a2-4fcd-9115-0c57b163b354'],"[83.2, 27.7]",6832.0,Rubén Castro Martín,24.0,Left Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1697.242
