id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_first_time,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,clearance_aerial_won,clearance_head,duel_outcome_id,duel_outcome_name,dribble_overrun,miscontrol_aerial_won,pass_aerial_won,injury_stoppage_in_chain,pass_miscommunication,pass_through_ball,pass_technique_id,pass_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,pass_cut_back,clearance_left_foot,pass_inswinging,pass_goal_assist,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,ball_recovery_recovery_failure,pass_outswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,block_offensive,foul_committed_advantage,foul_won_advantage,ball_recovery_offensive,timestamp_seconds
d7b034ba-a3ef-4b48-9fcf-d52cba0d5260,1711,1,00:40:14.460,40,14,96,1.431656,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['3fa46b8f-94fa-4560-a8cb-000471f279d0', 'cdf8148f-e3bd-401e-80ae-2e8f2d81cc6e']",,"[44.0, 8.9]",10609.0,Jérémy Mathieu,5.0,Left Center Back,,,,,,,,,,,,"[43.7, 9.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2414.46
3fa46b8f-94fa-4560-a8cb-000471f279d0,1712,1,00:40:15.891,40,15,96,1.04478,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['6b417904-9c14-4b5b-9615-bff707ccaf36'],,"[43.7, 9.1]",10609.0,Jérémy Mathieu,5.0,Left Center Back,5211.0,Jordi Alba Ramos,7.5179787,-0.49934673,1.0,Ground Pass,"[50.3, 5.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2415.891
6b417904-9c14-4b5b-9615-bff707ccaf36,1713,1,00:40:16.936,40,16,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['3fa46b8f-94fa-4560-a8cb-000471f279d0'],,"[50.3, 5.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416.936
1ab585ad-6e17-4beb-80a2-5c0965932e8c,1714,1,00:40:16.936,40,16,96,0.211056,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['6b417904-9c14-4b5b-9615-bff707ccaf36', '82a22050-1ca0-4cc2-b1b9-4661aa789796']",,"[50.3, 5.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,,,,,,,,,,,,"[50.3, 5.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2416.936
82a22050-1ca0-4cc2-b1b9-4661aa789796,1715,1,00:40:17.147,40,17,96,1.722821,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['d4d4ba46-ad57-4bcb-a78e-c70a4f2bc066'],,"[50.3, 5.5]",5211.0,Jordi Alba Ramos,6.0,Left Back,10609.0,Jérémy Mathieu,15.263355,2.5190582,1.0,Ground Pass,"[37.9, 14.4]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2417.147
d4d4ba46-ad57-4bcb-a78e-c70a4f2bc066,1716,1,00:40:18.870,40,18,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['82a22050-1ca0-4cc2-b1b9-4661aa789796'],,"[37.9, 14.4]",10609.0,Jérémy Mathieu,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.87
73247d5b-6a94-49c5-8ef2-78bf7ad30c67,1717,1,00:40:18.870,40,18,96,2.176209,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['b08ff279-b3d3-4a46-8973-116ee562ac22'],,"[38.1, 14.4]",10609.0,Jérémy Mathieu,5.0,Left Center Back,5213.0,Gerard Piqué Bernabéu,35.005142,1.5536551,1.0,Ground Pass,"[38.7, 49.4]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2418.87
b08ff279-b3d3-4a46-8973-116ee562ac22,1718,1,00:40:21.046,40,21,96,,42,Ball Receipt*,217,Barcelona,4,From Throw In,217,Barcelona,,,['73247d5b-6a94-49c5-8ef2-78bf7ad30c67'],,"[38.7, 49.4]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421.046
2e7847e3-dd59-4801-ad4c-32c485d46d37,1719,1,00:40:21.046,40,21,96,1.307454,43,Carry,217,Barcelona,4,From Throw In,217,Barcelona,,,"['46ca6bec-c641-4275-a760-772c84542b9a', 'b08ff279-b3d3-4a46-8973-116ee562ac22']",,"[38.7, 49.4]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,,,,,,,,,,,,"[42.5, 57.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2421.046
46ca6bec-c641-4275-a760-772c84542b9a,1720,1,00:40:22.354,40,22,96,1.668738,30,Pass,217,Barcelona,4,From Throw In,217,Barcelona,,,['cd4563b0-bb58-4cd8-b124-89cf04a9a198'],,"[42.5, 57.8]",5213.0,Gerard Piqué Bernabéu,3.0,Right Center Back,4324.0,Daniel Alves da Silva,22.634487,0.810393,1.0,Ground Pass,"[58.1, 74.2]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.354
