id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,dribble_outcome_id,dribble_outcome_name,out,pass_aerial_won,duel_type_id,duel_type_name,counterpress,off_camera,clearance_left_foot,clearance_body_part_id,clearance_body_part_name,pass_cross,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,clearance_head,clearance_right_foot,interception_outcome_id,interception_outcome_name,pass_no_touch,pass_goal_assist,shot_one_on_one,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,shot_first_time,pass_through_ball,pass_technique_id,pass_technique_name,miscontrol_aerial_won,pass_deflected,dribble_overrun,block_deflection,ball_recovery_recovery_failure,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,clearance_aerial_won,pass_cut_back,pass_inswinging,foul_committed_advantage,foul_won_advantage,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,goalkeeper_body_part_id,goalkeeper_body_part_name,dribble_nutmeg,shot_open_goal,timestamp_seconds
adcb3c3f-6225-46c8-8a74-b67eaf6764be,1171,1,00:30:28.143,30,28,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['3f04242d-4255-41a4-bfd5-5ec2a7408233'],"[62.5, 23.5]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.143
8aefc4ee-2abd-4c89-b79f-c5cc87f36211,1172,1,00:30:28.143,30,28,66,1.748547,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['adcb3c3f-6225-46c8-8a74-b67eaf6764be', 'faeb16f0-d7db-439f-8321-1361413e1167']","[62.5, 23.5]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,,,,,,,,,,,,"[62.1, 23.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1828.143
faeb16f0-d7db-439f-8321-1361413e1167,1173,1,00:30:29.891,30,29,66,1.401974,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['1d330804-290f-4bda-afa8-7a444d5767ce'],"[62.1, 23.8]",5199.0,Jorge Resurrección Merodio,16.0,Left Midfield,20669.0,Tiago Cardoso Mendes,7.340981,2.720602,1.0,Ground Pass,"[55.4, 26.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1829.891
1d330804-290f-4bda-afa8-7a444d5767ce,1174,1,00:30:31.293,30,31,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['faeb16f0-d7db-439f-8321-1361413e1167'],"[55.4, 26.8]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.293
a7fb137c-5c0a-48e1-bd69-4eb1485e8e66,1175,1,00:30:31.293,30,31,66,1.435278,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['1d330804-290f-4bda-afa8-7a444d5767ce', '75a3e6e0-3bd6-4c45-8804-4e7c91ae37fd']","[55.4, 26.8]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,,,,,,,,,,,,"[52.2, 26.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1831.293
75a3e6e0-3bd6-4c45-8804-4e7c91ae37fd,1176,1,00:30:32.728,30,32,66,0.653712,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['3d6faebe-4f00-4367-b4c3-e60aba274e32'],"[52.2, 26.8]",20669.0,Tiago Cardoso Mendes,11.0,Left Defensive Midfield,6384.0,Gabriel Fernández Arenas,10.462314,0.5535335,1.0,Ground Pass,"[61.1, 32.3]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1832.728
3d6faebe-4f00-4367-b4c3-e60aba274e32,1177,1,00:30:33.382,30,33,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['75a3e6e0-3bd6-4c45-8804-4e7c91ae37fd'],"[61.1, 32.3]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.382
d539fac3-bbb5-4509-bc55-a64aee9d26d6,1178,1,00:30:33.382,30,33,66,0.815735,43,Carry,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['3d6faebe-4f00-4367-b4c3-e60aba274e32', 'aabc5a75-3cbe-43e6-b1cb-564cf06f3823', 'd6727cf0-5cbc-48d6-9870-3cb62dd902f8']","[61.1, 32.3]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,"[59.9, 31.2]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.382
aabc5a75-3cbe-43e6-b1cb-564cf06f3823,1179,1,00:30:33.898,30,33,66,0.519998,17,Pressure,212,Atlético Madrid,4,From Throw In,210,Real Sociedad,,,"['d539fac3-bbb5-4509-bc55-a64aee9d26d6', 'd6727cf0-5cbc-48d6-9870-3cb62dd902f8']","[56.8, 48.2]",6671.0,Asier Illarramendi Andonegi,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1833.898
d6727cf0-5cbc-48d6-9870-3cb62dd902f8,1180,1,00:30:34.198,30,34,66,0.740626,30,Pass,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,"['4011eb33-266c-44b1-bd02-54f7fb792141', '52bc9b67-4a73-455e-bd92-9290d7afb1a0', 'aabc5a75-3cbe-43e6-b1cb-564cf06f3823']","[59.9, 31.2]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,5487.0,Antoine Griezmann,12.731065,-0.8076167,1.0,Ground Pass,"[68.7, 22.0]",40.0,Right Foot,,,,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.198
52bc9b67-4a73-455e-bd92-9290d7afb1a0,1181,1,00:30:34.938,30,34,66,,42,Ball Receipt*,212,Atlético Madrid,4,From Throw In,212,Atlético Madrid,,,['d6727cf0-5cbc-48d6-9870-3cb62dd902f8'],"[71.2, 15.3]",5487.0,Antoine Griezmann,22.0,Right Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.938
4011eb33-266c-44b1-bd02-54f7fb792141,1182,1,00:30:34.938,30,34,67,0.0,2,Ball Recovery,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['d6727cf0-5cbc-48d6-9870-3cb62dd902f8'],"[51.4, 58.1]",6633.0,Markel Bergara Larrañaga,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.938
74df50de-c899-4d88-8182-1d66ca16a873,1183,1,00:30:34.938,30,34,67,0.959998,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['4011eb33-266c-44b1-bd02-54f7fb792141', 'e39d40e3-6a68-4410-a952-8b60185ae763']","[51.4, 58.1]",6633.0,Markel Bergara Larrañaga,9.0,Right Defensive Midfield,,,,,,,,,,,,"[53.4, 60.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1834.938
e39d40e3-6a68-4410-a952-8b60185ae763,1184,1,00:30:35.898,30,35,67,1.679999,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['fb208519-64a0-4e98-8555-4628ab26a117'],"[53.4, 60.1]",6633.0,Markel Bergara Larrañaga,9.0,Right Defensive Midfield,5560.0,Carlos Alberto Vela Garrido,28.211523,0.5398116,1.0,Ground Pass,"[77.6, 74.6]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1835.898
fb208519-64a0-4e98-8555-4628ab26a117,1185,1,00:30:37.578,30,37,67,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['e39d40e3-6a68-4410-a952-8b60185ae763'],"[77.6, 74.6]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.578
cc874323-42b4-4bf7-a219-e1ea3850ee5b,1186,1,00:30:37.578,30,37,67,5.289423,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['32f66c1d-8919-4ea2-8a17-5ac76c6f2d70', '637abe73-9046-49ea-8a29-937a5f27ad15', 'fb208519-64a0-4e98-8555-4628ab26a117']","[77.6, 74.6]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,"[102.1, 71.2]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1837.578
32f66c1d-8919-4ea2-8a17-5ac76c6f2d70,1187,1,00:30:41.046,30,41,67,0.913639,17,Pressure,210,Real Sociedad,1,Regular Play,212,Atlético Madrid,,,['cc874323-42b4-4bf7-a219-e1ea3850ee5b'],"[24.0, 8.9]",6384.0,Gabriel Fernández Arenas,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1841.046
