id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,counterpress,out,clearance_left_foot,pass_aerial_won,clearance_right_foot,interception_outcome_id,interception_outcome_name,off_camera,foul_won_defensive,duel_outcome_id,duel_outcome_name,pass_cross,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,foul_committed_card_id,foul_committed_card_name,miscontrol_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_goal_assist,goalkeeper_technique_id,goalkeeper_technique_name,dribble_outcome_id,dribble_outcome_name,pass_deflected,goalkeeper_body_part_id,goalkeeper_body_part_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_advantage,foul_won_advantage,injury_stoppage_in_chain,shot_one_on_one,pass_inswinging,pass_technique_id,pass_technique_name,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,shot_deflected,shot_saved_to_post,shot_first_time,block_deflection,goalkeeper_shot_saved_to_post,shot_open_goal,dribble_overrun,bad_behaviour_card_id,bad_behaviour_card_name,pass_outswinging,pass_through_ball,clearance_other,pass_cut_back,foul_committed_offensive,timestamp_seconds
a2d1450b-dcb8-41a1-9428-c06eda532292,1039,1,00:27:19.076,27,19,58,1.334456,17,Pressure,213,Sevilla,1,Regular Play,221,Levante UD,,,"['34312593-45aa-41e2-8809-d51a1f3d3432', '765bb8df-8385-48cf-8e1b-fa9e7d123b70', 'be1f8136-98ff-4a13-8c07-4f4d1744ae06']","[62.1, 64.6]",25824.0,Ángel Trujillo Canorea,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.076
be1f8136-98ff-4a13-8c07-4f4d1744ae06,1040,1,00:27:19.252,27,19,58,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,"['5c7ec764-c745-453f-9300-1a13b80a3eb4', 'a2d1450b-dcb8-41a1-9428-c06eda532292']","[53.4, 14.0]",3486.0,Fernando Llorente Torres,22.0,Right Center Forward,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.252
34312593-45aa-41e2-8809-d51a1f3d3432,1041,1,00:27:19.252,27,19,58,0.957578,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['765bb8df-8385-48cf-8e1b-fa9e7d123b70', 'a2d1450b-dcb8-41a1-9428-c06eda532292', 'be1f8136-98ff-4a13-8c07-4f4d1744ae06']","[53.4, 14.0]",3486.0,Fernando Llorente Torres,22.0,Right Center Forward,,,,,,,,,,,,"[51.1, 13.3]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.252
765bb8df-8385-48cf-8e1b-fa9e7d123b70,1042,1,00:27:20.210,27,20,58,0.624429,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['3910cf27-8df3-41da-a0ba-e54cc778ff18', 'a2d1450b-dcb8-41a1-9428-c06eda532292']","[51.1, 13.3]",3486.0,Fernando Llorente Torres,22.0,Right Center Forward,3130.0,Gaël Kakuta,9.1,-1.5707964,1.0,Ground Pass,"[51.1, 4.2]",,,40.0,Right Foot,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.21
3910cf27-8df3-41da-a0ba-e54cc778ff18,1043,1,00:27:20.834,27,20,58,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['765bb8df-8385-48cf-8e1b-fa9e7d123b70'],"[51.1, 4.2]",3130.0,Gaël Kakuta,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.834
11fd6d37-ebe9-4f3d-beaf-9eb17eba5bea,1044,1,00:27:20.834,27,20,58,0.04,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['3910cf27-8df3-41da-a0ba-e54cc778ff18', 'a7ff527b-8c7d-4bc7-9ec6-8a7bd03a473a']","[51.1, 4.2]",3130.0,Gaël Kakuta,16.0,Left Midfield,,,,,,,,,,,,"[51.1, 4.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.834
a7ff527b-8c7d-4bc7-9ec6-8a7bd03a473a,1045,1,00:27:20.874,27,20,58,1.258647,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['4e8dc60d-b8bc-4450-8080-596ad301cc6c'],"[51.1, 4.2]",3130.0,Gaël Kakuta,16.0,Left Midfield,6841.0,Víctor Machín Pérez,13.446933,0.7433178,1.0,Ground Pass,"[61.0, 13.3]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1640.874
4e8dc60d-b8bc-4450-8080-596ad301cc6c,1046,1,00:27:22.133,27,22,58,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['a7ff527b-8c7d-4bc7-9ec6-8a7bd03a473a'],"[61.0, 13.3]",6841.0,Víctor Machín Pérez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.133
52953aa4-e7d6-421b-9ddf-802b9851f5bc,1047,1,00:27:22.133,27,22,58,0.081328005,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['3a4c57cc-061e-442b-8a9f-203b157df453', '4e8dc60d-b8bc-4450-8080-596ad301cc6c']","[61.0, 13.3]",6841.0,Víctor Machín Pérez,12.0,Right Midfield,,,,,,,,,,,,"[63.4, 12.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.133
3a4c57cc-061e-442b-8a9f-203b157df453,1048,1,00:27:22.214,27,22,58,0.229144,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['84438f9e-4fc7-4ab2-a302-8eb06a689950', 'd3e0bbdd-7bc2-47b9-9110-ffc530ab2711']","[63.4, 12.3]",6841.0,Víctor Machín Pérez,12.0,Right Midfield,3486.0,Fernando Llorente Torres,4.382921,2.0446477,1.0,Ground Pass,"[61.4, 16.2]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.214
84438f9e-4fc7-4ab2-a302-8eb06a689950,1049,1,00:27:22.443,27,22,58,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['3a4c57cc-061e-442b-8a9f-203b157df453'],"[57.1, 25.7]",3486.0,Fernando Llorente Torres,22.0,Right Center Forward,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.443
d3e0bbdd-7bc2-47b9-9110-ffc530ab2711,1050,1,00:27:22.443,27,22,58,0.0,10,Interception,213,Sevilla,1,Regular Play,221,Levante UD,,,['3a4c57cc-061e-442b-8a9f-203b157df453'],"[58.7, 63.9]",24149.0,José Antonio García Rabasco,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,Lost Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.443
d45ab9b5-1099-43ac-981e-a82bc58df788,1051,1,00:27:37.108,27,37,58,0.0,27,Player Off,213,Sevilla,1,Regular Play,213,Sevilla,,,['fad5104c-ef68-426e-9965-17353fd8d30d'],,3130.0,Gaël Kakuta,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1657.108
f81bed52-2e1d-4c9e-ae49-536d5ab2ea2a,1052,1,00:27:58.144,27,58,59,0.070245,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['a12b2c57-b454-490e-9ac6-462190f97956'],"[89.5, 0.1]",10476.0,Timothée Kolodziejczak,5.0,Left Center Back,,,21.84033,0.6489956,2.0,Low Pass,"[106.9, 13.3]",67.0,Throw-in,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.144
a12b2c57-b454-490e-9ac6-462190f97956,1053,1,00:27:58.214,27,58,60,0.0,2,Ball Recovery,221,Levante UD,1,Regular Play,221,Levante UD,,,['f81bed52-2e1d-4c9e-ae49-536d5ab2ea2a'],"[13.2, 66.8]",23970.0,José María Martín-Bejarano Serrano,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1678.214
