id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,out,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_aerial_won,duel_type_id,duel_type_name,counterpress,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,pass_cross,pass_switch,miscontrol_aerial_won,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,foul_won_defensive,foul_committed_card_id,foul_committed_card_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,clearance_right_foot,dribble_overrun,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_inswinging,50_50_outcome_id,50_50_outcome_name,dribble_nutmeg,pass_deflected,block_deflection,ball_recovery_recovery_failure,pass_outswinging,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,shot_aerial_won,pass_cut_back,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,ball_recovery_offensive,shot_deflected,timestamp_seconds
ed055560-ad3d-40fa-aea3-c56f7c24b704,747,1,00:18:30.594,18,30,38,0.342692,17,Pressure,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,['3bec6da1-1f9d-46fa-8edc-8ec6be9e2972'],,"[44.0, 22.9]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110.594
ca68b853-348d-4cf3-8d9f-91c28621d1cc,748,1,00:18:31.271,18,31,38,0.0,39,Dribbled Past,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,['0f1a0c82-b0ae-4d53-84c9-48aafa6e53b4'],,"[45.0, 20.7]",6389.0,Mikel San José Domínguez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1111.271
0f1a0c82-b0ae-4d53-84c9-48aafa6e53b4,749,1,00:18:31.271,18,31,38,0.0,14,Dribble,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['ca68b853-348d-4cf3-8d9f-91c28621d1cc'],,"[75.1, 59.4]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,1111.271
c1301cba-f65f-47e6-ad02-30d5ed866b53,750,1,00:18:32.219,18,32,38,0.0,2,Ball Recovery,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,,,"[44.0, 30.2]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.219
8c3bd2b6-4aa5-4066-85cd-6216702ff59b,751,1,00:18:32.219,18,32,38,3.48934,43,Carry,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,"['3894fb14-ba6f-43d7-b0ed-3cc50e541034', '41a79ee2-802b-48ff-9638-5a2c07ab0038', 'c1301cba-f65f-47e6-ad02-30d5ed866b53']",,"[44.0, 30.2]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,,,,,,,,,,,,True,"[51.6, 20.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.219
3894fb14-ba6f-43d7-b0ed-3cc50e541034,752,1,00:18:32.259,18,32,38,1.015182,17,Pressure,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['8c3bd2b6-4aa5-4066-85cd-6216702ff59b'],,"[77.7, 48.1]",5560.0,Carlos Alberto Vela Garrido,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1112.259
41a79ee2-802b-48ff-9638-5a2c07ab0038,753,1,00:18:35.708,18,35,38,1.010995,30,Pass,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,['503e5ca7-9960-4d80-a19f-2b9445077d88'],,"[51.6, 20.1]",6391.0,Raúl García Escudero,19.0,Center Attacking Midfield,6666.0,Sabin Merino Zuloaga,11.359577,-1.1150225,1.0,Ground Pass,"[56.6, 9.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115.708
503e5ca7-9960-4d80-a19f-2b9445077d88,754,1,00:18:36.719,18,36,38,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,['41a79ee2-802b-48ff-9638-5a2c07ab0038'],,"[56.6, 9.9]",6666.0,Sabin Merino Zuloaga,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.719
36f18978-7a43-44d2-8169-9d2b93c0630e,755,1,00:18:36.719,18,36,38,2.398709,43,Carry,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,"['503e5ca7-9960-4d80-a19f-2b9445077d88', '7e2f40c5-1e05-40d2-8cf3-d3aa8c61f610', 'e83c359b-3b12-4794-af68-32437d052ea6']",,"[56.6, 9.9]",6666.0,Sabin Merino Zuloaga,21.0,Left Wing,,,,,,,,,,,,True,"[69.5, 8.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1116.719
7e2f40c5-1e05-40d2-8cf3-d3aa8c61f610,756,1,00:18:38.016,18,38,38,1.101741,17,Pressure,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['36f18978-7a43-44d2-8169-9d2b93c0630e'],,"[56.2, 71.2]",6899.0,Rubén Pardo Gutiérrez,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1118.016
e83c359b-3b12-4794-af68-32437d052ea6,757,1,00:18:39.118,18,39,38,0.0,3,Dispossessed,210,Real Sociedad,1,Regular Play,215,Athletic Club,,,['49790605-647a-4afc-96bf-1f91d5441520'],,"[69.5, 8.1]",6666.0,Sabin Merino Zuloaga,21.0,Left Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.118
49790605-647a-4afc-96bf-1f91d5441520,758,1,00:18:39.118,18,39,38,0.0,4,Duel,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['e83c359b-3b12-4794-af68-32437d052ea6'],,"[50.6, 72.0]",6899.0,Rubén Pardo Gutiérrez,9.0,Right Defensive Midfield,,,,,,,,,,,,True,,,,,,,,11.0,Tackle,True,,,,,,,,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1119.118
