id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,foul_won_defensive,duel_type_id,duel_type_name,pass_aerial_won,out,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_advantage,foul_won_advantage,pass_switch,duel_outcome_id,duel_outcome_name,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,dribble_overrun,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,pass_through_ball,shot_first_time,foul_committed_card_id,foul_committed_card_name,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,pass_no_touch,pass_deflected,shot_aerial_won,pass_outswinging,clearance_aerial_won,clearance_head,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,pass_miscommunication,pass_straight,ball_recovery_recovery_failure,timestamp_seconds
b89ef27c-818a-4d7e-aa99-3542330fbe00,2337,2,00:17:35.440,62,35,124,4.754645,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['3d53ba9b-41b5-4c9a-a339-0fabe259079d', '67052593-ef34-4888-be81-1fbc57fad336', 'db54575b-73b1-4b39-b9c1-10abacf2eefc']",,"[93.6, 75.6]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,True,"[91.0, 67.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1055.44
db54575b-73b1-4b39-b9c1-10abacf2eefc,2338,2,00:17:38.604,62,38,124,0.68905,17,Pressure,218,Real Betis,3,From Free Kick,207,Valencia,,,['b89ef27c-818a-4d7e-aa99-3542330fbe00'],,"[28.4, 8.6]",27480.0,Lucas Alfonso Orbán Alegre,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1058.604
67052593-ef34-4888-be81-1fbc57fad336,2339,2,00:17:40.194,62,40,124,0.799998,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['ab5c46ab-95df-4ada-8e4a-7a018d232e26'],,"[91.0, 67.2]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,26723.0,Álvaro Cejudo Carmona,11.903781,-2.1285052,1.0,Ground Pass,"[84.7, 57.1]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.194
ab5c46ab-95df-4ada-8e4a-7a018d232e26,2340,2,00:17:40.994,62,40,124,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['67052593-ef34-4888-be81-1fbc57fad336'],,"[84.7, 57.1]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.994
a316f016-b507-4900-851a-edabb2d11f1e,2341,2,00:17:40.994,62,40,124,0.727701,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['660766a3-f017-4d87-a5d6-e02efdb0c89e', 'ab5c46ab-95df-4ada-8e4a-7a018d232e26']",,"[84.7, 57.1]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,,,,,,,,,,,,,"[84.7, 57.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1060.994
660766a3-f017-4d87-a5d6-e02efdb0c89e,2342,2,00:17:41.722,62,41,124,1.199998,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['e9cc5b97-e500-40d1-b2fd-b8df10c01e28'],,"[84.7, 57.1]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,6651.0,Joaquín Sánchez Rodríguez,14.96028,1.2300206,1.0,Ground Pass,"[89.7, 71.2]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1061.722
e9cc5b97-e500-40d1-b2fd-b8df10c01e28,2343,2,00:17:42.922,62,42,124,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['660766a3-f017-4d87-a5d6-e02efdb0c89e'],,"[89.7, 71.2]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.922
94c97f4b-3c2b-4a29-a297-3d5ebd84d1e8,2344,2,00:17:42.922,62,42,124,2.157575,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['a080a4e0-fbf4-42c1-bd2c-466d9a40237a', 'e9cc5b97-e500-40d1-b2fd-b8df10c01e28']",,"[89.7, 71.2]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,,,,,,,,,,,,,"[91.0, 71.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1062.922
a080a4e0-fbf4-42c1-bd2c-466d9a40237a,2345,2,00:17:45.080,62,45,124,1.999998,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['b8800986-41de-4ca8-a76a-15f91eb4fefb'],,"[91.0, 71.8]",6651.0,Joaquín Sánchez Rodríguez,12.0,Right Midfield,26723.0,Álvaro Cejudo Carmona,14.71224,-0.040793683,1.0,Ground Pass,"[105.7, 71.2]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1065.08
b8800986-41de-4ca8-a76a-15f91eb4fefb,2346,2,00:17:47.080,62,47,124,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['a080a4e0-fbf4-42c1-bd2c-466d9a40237a'],,"[105.7, 71.2]",26723.0,Álvaro Cejudo Carmona,16.0,Left Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1067.08
