id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,under_pressure,interception_outcome_id,interception_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_committed_offensive,foul_won_defensive,off_camera,pass_switch,pass_no_touch,dribble_outcome_id,dribble_outcome_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,foul_committed_advantage,foul_won_advantage,out,clearance_body_part_id,clearance_body_part_name,clearance_left_foot,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_inswinging,clearance_head,foul_committed_card_id,foul_committed_card_name,clearance_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_through_ball,injury_stoppage_in_chain,pass_assisted_shot_id,pass_goal_assist,shot_key_pass_id,shot_first_time,pass_shot_assist,ball_recovery_recovery_failure,pass_outswinging,clearance_right_foot,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_open_goal,foul_committed_type_id,foul_committed_type_name,dribble_overrun,block_offensive,bad_behaviour_card_id,bad_behaviour_card_name,pass_cut_back,shot_aerial_won,timestamp_seconds
bb7d1791-5969-496c-b6cb-32a8aeb885fd,1718,2,00:02:25.895,47,25,104,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['cb6f54a8-bdd2-400e-98f4-2f9a1f62c9bc'],"[86.5, 24.9]",6402.0,Francisco Alcácer García,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.895
e751faac-e722-4ec5-9872-ace25c593089,1719,2,00:02:25.895,47,25,104,0.0,10,Interception,207,Valencia,1,Regular Play,216,Getafe,,,['cb6f54a8-bdd2-400e-98f4-2f9a1f62c9bc'],"[34.4, 55.4]",6861.0,Juan Torres Ruiz,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.895
7e271368-9779-4120-b0c8-5e465e157427,1720,2,00:02:26.499,47,26,105,0.0,2,Ball Recovery,216,Getafe,1,Regular Play,216,Getafe,,,,"[41.5, 52.4]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.499
37636d83-1dc0-486e-83df-265695396501,1721,2,00:02:26.499,47,26,105,0.666182,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['7e271368-9779-4120-b0c8-5e465e157427', 'c8e77157-9d83-4936-8a48-9b83e3432ea9']","[41.5, 52.4]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,"[41.5, 52.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.499
c8e77157-9d83-4936-8a48-9b83e3432ea9,1722,2,00:02:27.165,47,27,105,0.796553,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,['870e7e9f-3842-4d95-b9be-6408d07be092'],"[41.5, 52.4]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,25881.0,Juan Antonio Rodríguez Villamuela,8.315046,1.5106281,1.0,Ground Pass,"[42.0, 60.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.165
870e7e9f-3842-4d95-b9be-6408d07be092,1723,2,00:02:27.962,47,27,105,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['c8e77157-9d83-4936-8a48-9b83e3432ea9'],"[42.0, 60.7]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.962
01854b67-0058-4791-aaa1-135089b7c820,1724,2,00:02:27.962,47,27,105,0.859614,43,Carry,216,Getafe,1,Regular Play,216,Getafe,,,"['73b56f9a-53fe-4822-bb50-2070a5f20597', '7873d8e2-2334-46cd-95b4-1365c005f308', '870e7e9f-3842-4d95-b9be-6408d07be092']","[42.0, 60.7]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,,,,,,,,,,,,"[41.5, 61.3]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.962
7873d8e2-2334-46cd-95b4-1365c005f308,1725,2,00:02:28.706,47,28,105,0.318424,17,Pressure,216,Getafe,1,Regular Play,207,Valencia,,,"['01854b67-0058-4791-aaa1-135089b7c820', '73b56f9a-53fe-4822-bb50-2070a5f20597']","[76.7, 18.6]",10037.0,Danilo Barbosa da Silva,15.0,Left Center Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.706
73b56f9a-53fe-4822-bb50-2070a5f20597,1726,2,00:02:28.821,47,28,105,1.897267,30,Pass,216,Getafe,1,Regular Play,216,Getafe,,,"['451e0272-2584-409a-8ef6-057ed155d1fe', '7873d8e2-2334-46cd-95b4-1365c005f308']","[41.5, 61.3]",25881.0,Juan Antonio Rodríguez Villamuela,9.0,Right Defensive Midfield,6627.0,Damián Nicolás Suárez Suárez,13.68247,2.517095,1.0,Ground Pass,"[30.4, 69.3]",38.0,Left Foot,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.821
451e0272-2584-409a-8ef6-057ed155d1fe,1727,2,00:02:30.719,47,30,105,,42,Ball Receipt*,216,Getafe,1,Regular Play,216,Getafe,,,['73b56f9a-53fe-4822-bb50-2070a5f20597'],"[30.4, 69.3]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.719
