id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,out,ball_recovery_recovery_failure,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,interception_outcome_id,interception_outcome_name,shot_first_time,pass_deflected,block_deflection,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_left_foot,foul_committed_advantage,foul_won_advantage,pass_switch,foul_won_defensive,clearance_head,pass_outswinging,pass_technique_id,pass_technique_name,shot_one_on_one,shot_aerial_won,pass_through_ball,pass_inswinging,clearance_aerial_won,foul_committed_card_id,foul_committed_card_name,pass_cut_back,pass_no_touch,dribble_overrun,pass_goal_assist,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_miscommunication,foul_committed_type_id,foul_committed_type_name,foul_committed_penalty,shot_deflected,block_offensive,timestamp_seconds
c7a3c59d-c120-4710-beac-35d0752617f5,165,1,00:03:06.724,3,6,12,0.237013,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,['daaa6920-9845-4369-88ee-dd82a6ee86d1'],,"[7.7, 5.7]",5737.0,Steven N''Kemboanza Mike Christopher Nzonzi,11.0,Left Defensive Midfield,,,3.9319208,0.12750956,2.0,Low Pass,"[11.6, 6.2]",38.0,Left Foot,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.724
daaa6920-9845-4369-88ee-dd82a6ee86d1,166,1,00:03:06.961,3,6,12,0.0,6,Block,213,Sevilla,1,Regular Play,217,Barcelona,,,['c7a3c59d-c120-4710-beac-35d0752617f5'],,"[108.5, 73.9]",6616.0,Munir El Haddadi Mohamed,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.961
c4232246-0917-4d93-89a1-ff59505ca1e7,167,1,00:03:19.015,3,19,13,2.239314,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['a4be511c-833d-4c17-98c4-3cae9a7f0e12'],,"[6.9, 0.1]",27483.0,Benoît Trémoulinas,6.0,Left Back,3497.0,Vicente Iborra De La Fuente,37.871494,0.18859206,3.0,High Pass,"[44.1, 7.2]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199.015
a4be511c-833d-4c17-98c4-3cae9a7f0e12,168,1,00:03:21.254,3,21,13,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['c4232246-0917-4d93-89a1-ff59505ca1e7'],,"[44.1, 7.2]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.254
8aeb1f23-330a-4d3d-87c9-bc383aead2cd,169,1,00:03:21.254,3,21,13,0.0,4,Duel,213,Sevilla,4,From Throw In,217,Barcelona,,,['3a0e1904-0b67-4086-b742-14f37a2e9691'],,"[75.8, 72.9]",6379.0,Sergi Roberto Carnicer,2.0,Right Back,,,,,,,,,,,,,True,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.254
3a0e1904-0b67-4086-b742-14f37a2e9691,170,1,00:03:21.254,3,21,13,2.144937,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,"['484c92db-ab4c-4e7b-9c43-bdac67a76a2a', '61cf14fd-7db0-4e33-ab54-5faa778a7141', '8aeb1f23-330a-4d3d-87c9-bc383aead2cd']",,"[44.3, 7.2]",3497.0,Vicente Iborra De La Fuente,19.0,Center Attacking Midfield,6356.0,Michael Krohn-Dehli,16.345335,1.0167365,2.0,Low Pass,"[52.9, 21.1]",,,,,,True,,,,,,,,9.0,Incomplete,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.254
09a9e5a1-8b27-4d56-89c7-d043bffc1e9b,171,1,00:03:22.636,3,22,13,1.353995,17,Pressure,213,Sevilla,4,From Throw In,213,Sevilla,,,"['61cf14fd-7db0-4e33-ab54-5faa778a7141', 'a4b4f9b1-c07e-48fd-b229-15490e594bbe']",,"[52.0, 19.8]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.636
484c92db-ab4c-4e7b-9c43-bdac67a76a2a,172,1,00:03:23.399,3,23,13,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['3a0e1904-0b67-4086-b742-14f37a2e9691'],,"[52.9, 18.1]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.399
61cf14fd-7db0-4e33-ab54-5faa778a7141,173,1,00:03:23.399,3,23,14,0.0,2,Ball Recovery,217,Barcelona,1,Regular Play,217,Barcelona,,,"['09a9e5a1-8b27-4d56-89c7-d043bffc1e9b', '3a0e1904-0b67-4086-b742-14f37a2e9691']",,"[67.2, 59.0]",5203.0,Sergio Busquets i Burgos,15.0,Left Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.399
a4b4f9b1-c07e-48fd-b229-15490e594bbe,174,1,00:03:23.399,3,23,14,0.609381,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['09a9e5a1-8b27-4d56-89c7-d043bffc1e9b', '16e269be-9b40-49b6-8a7c-45cc60627a32', '4a07079c-1986-4ac8-ba73-45b9a97e19fb', '61cf14fd-7db0-4e33-ab54-5faa778a7141']",,"[67.2, 59.0]",5203.0,Sergio Busquets i Burgos,15.0,Left Center Midfield,,,,,,,,,,,,"[62.9, 54.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.399
16e269be-9b40-49b6-8a7c-45cc60627a32,175,1,00:03:24.009,3,24,14,0.0,22,Foul Committed,217,Barcelona,1,Regular Play,213,Sevilla,,,"['4a07079c-1986-4ac8-ba73-45b9a97e19fb', 'a4b4f9b1-c07e-48fd-b229-15490e594bbe']",,"[57.2, 25.6]",6356.0,Michael Krohn-Dehli,21.0,Left Wing,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.00900000000001
4a07079c-1986-4ac8-ba73-45b9a97e19fb,176,1,00:03:24.009,3,24,14,0.0,21,Foul Won,217,Barcelona,1,Regular Play,217,Barcelona,,,['16e269be-9b40-49b6-8a7c-45cc60627a32'],,"[62.9, 54.5]",5203.0,Sergio Busquets i Burgos,15.0,Left Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.00900000000001
ec4354bf-46d5-4bb3-86de-c60f82a381e4,177,1,00:03:29.122,3,29,15,2.030639,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['bd0a4ced-f120-4592-903e-5e707c6b5c3c'],True,"[62.1, 52.3]",5203.0,Sergio Busquets i Burgos,15.0,Left Center Midfield,4320.0,Neymar da Silva Santos Junior,13.713133,-1.5270287,1.0,Ground Pass,"[62.7, 38.6]",40.0,Right Foot,62.0,Free Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.122
bd0a4ced-f120-4592-903e-5e707c6b5c3c,178,1,00:03:31.153,3,31,15,,42,Ball Receipt*,217,Barcelona,3,From Free Kick,217,Barcelona,,,['ec4354bf-46d5-4bb3-86de-c60f82a381e4'],,"[62.7, 38.6]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.153
aa52bbdb-9de5-4467-9620-f1c3ce9aef6f,179,1,00:03:33.140,3,33,15,1.704506,30,Pass,217,Barcelona,3,From Free Kick,217,Barcelona,,,['a3188542-9c84-430d-802a-bd78cca14538'],,"[62.7, 34.6]",4320.0,Neymar da Silva Santos Junior,21.0,Left Wing,5211.0,Jordi Alba Ramos,21.43945,-1.6314695,1.0,Ground Pass,"[61.4, 13.2]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.14
