id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,off_camera,clearance_head,clearance_body_part_id,clearance_body_part_name,foul_won_defensive,pass_switch,foul_committed_advantage,foul_won_advantage,pass_aerial_won,duel_type_id,duel_type_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,interception_outcome_id,interception_outcome_name,duel_outcome_id,duel_outcome_name,pass_inswinging,pass_technique_id,pass_technique_name,clearance_aerial_won,shot_one_on_one,out,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,pass_cross,dribble_overrun,pass_outswinging,shot_aerial_won,clearance_left_foot,ball_recovery_recovery_failure,pass_straight,pass_cut_back,pass_no_touch,foul_committed_type_id,foul_committed_type_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_first_time,foul_committed_offensive,dribble_nutmeg,injury_stoppage_in_chain,block_offensive,shot_open_goal,timestamp_seconds
d538929e-4927-4b1a-a251-617a87aba261,2864,2,00:38:00.328,83,0,180,,42,Ball Receipt*,214,Espanyol,6,From Counter,214,Espanyol,,,['97ad97bc-d6f4-42eb-8662-3c645b10c621'],"[95.0, 56.3]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280.328
d3c15324-f098-4624-8705-efba53ecfbf7,2865,2,00:38:00.328,83,0,180,2.705032,43,Carry,214,Espanyol,6,From Counter,214,Espanyol,,,"['81c11d4b-12ed-4854-996b-3313599d8fdf', 'abe6c30d-5948-4502-9522-f463f088bd34', 'd538929e-4927-4b1a-a251-617a87aba261']","[95.0, 56.3]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,"[114.6, 52.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2280.328
abe6c30d-5948-4502-9522-f463f088bd34,2866,2,00:38:03.033,83,3,180,0.0,39,Dribbled Past,214,Espanyol,6,From Counter,216,Getafe,,,"['1373b9e7-117b-45fc-bf45-05ad9cc097d5', '81c11d4b-12ed-4854-996b-3313599d8fdf', 'd3c15324-f098-4624-8705-efba53ecfbf7']","[5.5, 28.1]",6614.0,Alexis Ruano Delgado,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283.033
81c11d4b-12ed-4854-996b-3313599d8fdf,2867,2,00:38:03.033,83,3,180,0.0,14,Dribble,214,Espanyol,6,From Counter,214,Espanyol,,,['abe6c30d-5948-4502-9522-f463f088bd34'],"[114.6, 52.0]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283.033
1373b9e7-117b-45fc-bf45-05ad9cc097d5,2868,2,00:38:03.033,83,3,180,1.524863,43,Carry,214,Espanyol,6,From Counter,214,Espanyol,,,"['33e35b61-9005-4315-8036-e31e474fbff4', '81c11d4b-12ed-4854-996b-3313599d8fdf', 'abe6c30d-5948-4502-9522-f463f088bd34']","[114.6, 52.0]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,"[111.3, 51.0]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2283.033
33e35b61-9005-4315-8036-e31e474fbff4,2869,2,00:38:04.558,83,4,180,0.237594,16,Shot,214,Espanyol,6,From Counter,214,Espanyol,,,"['3498b91d-3ff8-4b71-a522-25a7b6e8d2fb', 'eac8cee1-0d4c-446f-988a-0264c968c666']","[111.3, 51.0]",6766.0,Gerard Moreno Balaguero,23.0,Center Forward,,,,,,,,,,,,,,,,,,,0.070674576,"[114.0, 48.8]",38.0,Left Foot,93.0,Normal,87.0,Open Play,96.0,Blocked,"[{'location': [111.5, 46.5], 'player': {'id': 6627, 'name': 'Damián Nicolás Suárez Suárez'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [107.7, 40.2], 'player': {'id': 6745, 'name': 'Mehdi Lacen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [112.7, 49.1], 'player': {'id': 6856, 'name': 'Carlos Martín Vigaray'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [118.8, 43.3], 'player': {'id': 6625, 'name': 'Vicente Guaita Panadero'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [115.2, 50.9], 'player': {'id': 6614, 'name': 'Alexis Ruano Delgado'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [114.0, 49.0], 'player': {'id': 6624, 'name': 'Jorge Franco Alviz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97ad97bc-d6f4-42eb-8662-3c645b10c621,,,,,,,,,,,,,,,,,,,,,,,,,2284.558
eac8cee1-0d4c-446f-988a-0264c968c666,2870,2,00:38:04.789,83,4,180,0.0,23,Goal Keeper,214,Espanyol,6,From Counter,216,Getafe,,,['33e35b61-9005-4315-8036-e31e474fbff4'],"[1.3, 36.8]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,Shot Faced,,,44.0,Set,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[1.3, 36.8]",,,,,,,,,,,,,,,,,,,,,,,,2284.789
3498b91d-3ff8-4b71-a522-25a7b6e8d2fb,2871,2,00:38:04.795,83,4,180,0.0,6,Block,214,Espanyol,6,From Counter,214,Espanyol,,,['33e35b61-9005-4315-8036-e31e474fbff4'],"[114.0, 48.8]",6624.0,Jorge Franco Alviz,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,2284.795
37536000-c2d2-42f9-bd19-2b689972e6cb,2872,2,00:38:29.987,83,29,181,0.928448,30,Pass,216,Getafe,7,From Goal Kick,216,Getafe,,,['c6c7ea3e-ea86-442e-9686-d239e3c3ea3a'],"[7.0, 44.1]",6625.0,Vicente Guaita Panadero,1.0,Goalkeeper,6745.0,Mehdi Lacen,53.96823,0.42800766,1.0,Ground Pass,"[56.1, 66.5]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.987
c6c7ea3e-ea86-442e-9686-d239e3c3ea3a,2873,2,00:38:30.916,83,30,181,,42,Ball Receipt*,216,Getafe,7,From Goal Kick,216,Getafe,,,['37536000-c2d2-42f9-bd19-2b689972e6cb'],"[56.1, 66.5]",6745.0,Mehdi Lacen,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310.916
