id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,under_pressure,carry_end_location,duel_type_id,duel_type_name,pass_aerial_won,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,counterpress,pass_switch,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,clearance_head,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,interception_outcome_id,interception_outcome_name,foul_won_defensive,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_through_ball,pass_technique_id,pass_technique_name,pass_inswinging,pass_cut_back,shot_first_time,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_recovery_recovery_failure,foul_committed_advantage,foul_won_advantage,foul_committed_offensive,clearance_left_foot,dribble_overrun,dribble_nutmeg,foul_committed_type_id,foul_committed_type_name,clearance_other,foul_committed_card_id,foul_committed_card_name,shot_open_goal,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_outswinging,ball_recovery_offensive,shot_one_on_one,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
8dbf55af-71fe-47c8-9310-c73522017d08,1513,2,00:01:24.315,46,24,97,0.724837,17,Pressure,213,Sevilla,7,From Goal Kick,1049,Granada,,,"['270568ab-8608-4e4d-9ebf-89fa36ea5f0a', '3aae9811-c85c-48aa-afff-fbb498d4e92e']",,"[51.1, 77.7]",6599.0,Rubén Salvador Pérez Del Mármol,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.315
3aae9811-c85c-48aa-afff-fbb498d4e92e,1514,2,00:01:24.910,46,24,97,0.791292,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['8dbf55af-71fe-47c8-9310-c73522017d08', '8f22421c-73fe-43e5-80c1-06ba973fb2bf']",,"[76.0, 3.4]",6718.0,Sergio Escudero Palomo,6.0,Left Back,23816.0,José Antonio Reyes Calderón,6.1204576,1.489012,1.0,Ground Pass,"[76.5, 9.5]",,,38.0,Left Foot,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.91
43c85b75-acaf-4733-a6bc-d9e45bea5386,1515,2,00:01:25.504,46,25,97,0.256585,17,Pressure,213,Sevilla,7,From Goal Kick,1049,Granada,,,"['8f22421c-73fe-43e5-80c1-06ba973fb2bf', 'c6ab0c7b-3a16-4d39-9a0f-db1b962f88f0']",,"[38.9, 70.8]",6702.0,David Rodríguez Lombán,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.504
8f22421c-73fe-43e5-80c1-06ba973fb2bf,1516,2,00:01:25.702,46,25,97,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['3aae9811-c85c-48aa-afff-fbb498d4e92e', '43c85b75-acaf-4733-a6bc-d9e45bea5386']",,"[76.5, 9.5]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.702
c6ab0c7b-3a16-4d39-9a0f-db1b962f88f0,1517,2,00:01:25.702,46,25,97,0.217898,43,Carry,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['43c85b75-acaf-4733-a6bc-d9e45bea5386', '8f22421c-73fe-43e5-80c1-06ba973fb2bf', 'b7e348f1-3027-46e6-9d27-0ba3ca281f9f']",,"[76.5, 9.5]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,True,"[76.9, 12.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.702
b7e348f1-3027-46e6-9d27-0ba3ca281f9f,1518,2,00:01:25.920,46,25,97,0.044964,30,Pass,213,Sevilla,7,From Goal Kick,213,Sevilla,,,"['718d0c9d-46f6-4b1b-a885-900e0ae5c6b2', 'cb445c40-c78b-45d9-bec0-751dd523426f']",,"[76.9, 12.7]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,6841.0,Víctor Machín Pérez,4.0249224,-0.4636476,2.0,Low Pass,"[80.5, 10.9]",,,38.0,Left Foot,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.92
718d0c9d-46f6-4b1b-a885-900e0ae5c6b2,1519,2,00:01:25.965,46,25,97,,42,Ball Receipt*,213,Sevilla,7,From Goal Kick,213,Sevilla,,,['b7e348f1-3027-46e6-9d27-0ba3ca281f9f'],,"[88.4, 12.1]",6841.0,Víctor Machín Pérez,21.0,Left Wing,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.965
cb445c40-c78b-45d9-bec0-751dd523426f,1520,2,00:01:25.965,46,25,97,0.0,6,Block,213,Sevilla,7,From Goal Kick,1049,Granada,,,['b7e348f1-3027-46e6-9d27-0ba3ca281f9f'],,"[39.6, 69.2]",6702.0,David Rodríguez Lombán,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.965
3868df48-eacc-40bb-8bec-04265b552d24,1521,2,00:01:39.425,46,39,98,1.876537,30,Pass,213,Sevilla,4,From Throw In,213,Sevilla,,,['b0b852e1-f3a8-49d0-823b-0f0d5e75a36e'],,"[97.7, 0.1]",6718.0,Sergio Escudero Palomo,6.0,Left Back,6401.0,Kevin Gameiro,27.721832,0.8007031,2.0,Low Pass,"[117.0, 20.0]",67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.425
b0b852e1-f3a8-49d0-823b-0f0d5e75a36e,1522,2,00:01:41.301,46,41,98,,42,Ball Receipt*,213,Sevilla,4,From Throw In,213,Sevilla,,,['3868df48-eacc-40bb-8bec-04265b552d24'],,"[117.0, 20.0]",6401.0,Kevin Gameiro,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.301
