id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,out,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,interception_outcome_id,interception_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_aerial_won,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,ball_recovery_recovery_failure,dribble_outcome_id,dribble_outcome_name,counterpress,duel_outcome_id,duel_outcome_name,clearance_left_foot,pass_switch,clearance_right_foot,pass_cross,pass_aerial_won,goalkeeper_outcome_id,goalkeeper_outcome_name,off_camera,miscontrol_aerial_won,foul_won_defensive,foul_committed_advantage,foul_won_advantage,foul_committed_offensive,foul_committed_type_id,foul_committed_type_name,pass_cut_back,pass_no_touch,foul_committed_card_id,foul_committed_card_name,shot_first_time,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_outswinging,pass_technique_id,pass_technique_name,pass_goal_assist,pass_through_ball,shot_one_on_one,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_nutmeg,block_save_block,pass_inswinging,shot_open_goal,bad_behaviour_card_id,bad_behaviour_card_name,timestamp_seconds
62f40a7f-bbc9-47bd-a6bb-ee78e3c70fc8,1335,1,00:43:01.615,43,1,88,1.642194,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['58c3cc9b-2d64-4022-94dd-17110631d019', '5f2a48e0-0a04-4681-898b-df601186dd70', '67e1ac48-063e-423f-86f8-ece716ec681e']","[116.1, 56.9]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,,,,,,,,,,"[118.2, 59.4]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2581.615
67e1ac48-063e-423f-86f8-ece716ec681e,1336,1,00:43:03.257,43,3,88,0.488816,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['40861da9-eebd-4492-84d9-529a7cc3ac69', '58c3cc9b-2d64-4022-94dd-17110631d019']","[118.2, 59.4]",6873.0,Francisco Portillo Soler,16.0,Left Midfield,,,4.4102154,-2.146221,2.0,Low Pass,"[115.8, 55.7]",40.0,Right Foot,,,,9.0,Incomplete,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583.257
40861da9-eebd-4492-84d9-529a7cc3ac69,1337,1,00:43:03.746,43,3,88,0.0,6,Block,218,Real Betis,3,From Free Kick,222,Villarreal,,,['67e1ac48-063e-423f-86f8-ece716ec681e'],"[4.3, 24.4]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2583.746
4e571c3e-ac4c-465c-b5ec-dfaab225399f,1338,1,00:43:05.446,43,5,88,2.736211,30,Pass,218,Real Betis,3,From Free Kick,222,Villarreal,,,"['5c3ba89c-476b-4ec8-aefc-e29f6a00f482', '91232a52-37d6-4b81-b7a2-e6c21f1e4004']","[4.4, 27.2]",6828.0,Jaume Vicent Costa Jordá,6.0,Left Back,6761.0,Leonardo Carrilho Baptistão,32.830627,-0.16214418,3.0,High Pass,"[36.8, 21.9]",40.0,Right Foot,66.0,Recovery,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2585.446
91232a52-37d6-4b81-b7a2-e6c21f1e4004,1339,1,00:43:08.182,43,8,88,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,222,Villarreal,,,['4e571c3e-ac4c-465c-b5ec-dfaab225399f'],"[39.6, 26.9]",6761.0,Leonardo Carrilho Baptistão,22.0,Right Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588.182
5c3ba89c-476b-4ec8-aefc-e29f6a00f482,1340,1,00:43:08.182,43,8,88,0.0,2,Ball Recovery,218,Real Betis,3,From Free Kick,218,Real Betis,,,['4e571c3e-ac4c-465c-b5ec-dfaab225399f'],"[83.3, 58.2]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588.182
dbe8a230-4081-43a8-8c50-5d546faa12bb,1341,1,00:43:08.182,43,8,88,2.392284,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['5c3ba89c-476b-4ec8-aefc-e29f6a00f482', '78a4de99-7670-4b60-92cd-b5c0a7b3a648']","[83.3, 58.2]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,,,,,,,,,,,,"[87.2, 60.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2588.182
78a4de99-7670-4b60-92cd-b5c0a7b3a648,1342,1,00:43:10.575,43,10,88,0.948424,30,Pass,218,Real Betis,3,From Free Kick,218,Real Betis,,,['ccaa7863-3fa1-4d89-83b8-2d8cdef7d5c1'],"[87.2, 60.5]",24162.0,Xavier Torres Buigues,9.0,Right Defensive Midfield,26723.0,Álvaro Cejudo Carmona,17.963573,0.69473827,1.0,Ground Pass,"[101.0, 72.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2590.575
ccaa7863-3fa1-4d89-83b8-2d8cdef7d5c1,1343,1,00:43:11.523,43,11,88,,42,Ball Receipt*,218,Real Betis,3,From Free Kick,218,Real Betis,,,['78a4de99-7670-4b60-92cd-b5c0a7b3a648'],"[101.0, 72.0]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2591.523
948fc639-84b4-4db5-a7c2-ff593bdd6ac9,1344,1,00:43:11.523,43,11,88,1.207077,43,Carry,218,Real Betis,3,From Free Kick,218,Real Betis,,,"['ccaa7863-3fa1-4d89-83b8-2d8cdef7d5c1', 'e073dd1c-b864-4b41-9cb6-dee9123748cf']","[101.0, 72.0]",26723.0,Álvaro Cejudo Carmona,12.0,Right Midfield,,,,,,,,,,,,"[105.3, 72.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2591.523
