id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,pass_switch,counterpress,carry_end_location,under_pressure,dribble_overrun,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,miscontrol_aerial_won,duel_outcome_id,duel_outcome_name,clearance_head,clearance_body_part_id,clearance_body_part_name,dribble_nutmeg,out,clearance_aerial_won,pass_aerial_won,interception_outcome_id,interception_outcome_name,shot_statsbomb_xg,shot_end_location,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_outcome_id,goalkeeper_outcome_name,50_50_outcome_id,50_50_outcome_name,clearance_left_foot,pass_no_touch,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,goalkeeper_end_location,pass_inswinging,pass_technique_id,pass_technique_name,clearance_other,shot_one_on_one,shot_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,clearance_right_foot,ball_recovery_recovery_failure,shot_first_time,pass_miscommunication,pass_cross,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_through_ball,shot_saved_off_target,goalkeeper_shot_saved_off_target,foul_committed_advantage,foul_won_advantage,pass_outswinging,foul_committed_penalty,foul_committed_type_id,foul_committed_type_name,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_offensive,pass_goal_assist,timestamp_seconds
70801ac5-cb68-4448-b41b-9e6f79b50d93,397,1,00:10:18.116,10,18,25,0.10869,17,Pressure,208,Las Palmas,1,Regular Play,209,Celta Vigo,,,,,"[54.8, 17.9]",7105.0,Fabián Ariel Orellana Valenzuela,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.116
03d36fc9-273c-479b-a000-7c4eb3b3d889,398,1,00:10:18.955,10,18,25,1.352018,30,Pass,208,Las Palmas,1,Regular Play,208,Las Palmas,,,"['c0fbb9dc-a0c1-47f9-8fab-67dfc2b96566', 'c594519d-a354-4c62-9c4a-490310205f58']",,"[71.3, 63.0]",24144.0,Ángel Montoro Sánchez,9.0,Right Defensive Midfield,6626.0,Mubarak Wakaso,10.439348,1.4072225,1.0,Ground Pass,"[73.0, 73.3]",40.0,Right Foot,66.0,Recovery,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,618.955
5177d350-6fb0-41b9-907c-592a8e5bc8dd,399,1,00:10:20.121,10,20,25,0.367688,17,Pressure,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['c594519d-a354-4c62-9c4a-490310205f58'],,"[69.4, 73.7]",6626.0,Mubarak Wakaso,17.0,Right Wing,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.121
c0fbb9dc-a0c1-47f9-8fab-67dfc2b96566,400,1,00:10:20.307,10,20,25,,42,Ball Receipt*,208,Las Palmas,1,Regular Play,208,Las Palmas,,,['03d36fc9-273c-479b-a000-7c4eb3b3d889'],,"[71.5, 73.7]",6626.0,Mubarak Wakaso,17.0,Right Wing,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.307
c594519d-a354-4c62-9c4a-490310205f58,401,1,00:10:20.307,10,20,25,0.0,9,Clearance,208,Las Palmas,1,Regular Play,209,Celta Vigo,,,"['03d36fc9-273c-479b-a000-7c4eb3b3d889', '5177d350-6fb0-41b9-907c-592a8e5bc8dd']",,"[47.1, 6.8]",7577.0,Carles Planas Antolínez,6.0,Left Back,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,38.0,Left Foot,,True,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.307
aa54b5fe-cd1b-4c40-9599-49cfd1d095eb,402,1,00:10:33.105,10,33,26,1.899936,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['b2cbac8c-724b-436c-8531-3b406a484fcb'],,"[85.6, 0.1]",6932.0,Dani Castellano Betancor,6.0,Left Back,10755.0,Jonathan Viera Ramos,12.093387,1.4464413,2.0,Low Pass,"[87.1, 12.1]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,633.105
0af9fd46-2525-4a41-af81-653e41b56c85,403,1,00:10:34.684,10,34,26,0.417118,17,Pressure,208,Las Palmas,4,From Throw In,209,Celta Vigo,,,"['99a533a5-f0ce-4801-a194-b49e4bff9d9b', 'b2cbac8c-724b-436c-8531-3b406a484fcb']",,"[31.7, 66.9]",6802.0,Jonathan Castro Otto,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.684
b2cbac8c-724b-436c-8531-3b406a484fcb,404,1,00:10:35.005,10,35,26,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['0af9fd46-2525-4a41-af81-653e41b56c85', 'aa54b5fe-cd1b-4c40-9599-49cfd1d095eb']",,"[87.1, 12.1]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.005
99a533a5-f0ce-4801-a194-b49e4bff9d9b,405,1,00:10:35.005,10,35,26,0.183455,43,Carry,208,Las Palmas,4,From Throw In,208,Las Palmas,,,"['0af9fd46-2525-4a41-af81-653e41b56c85', 'b2cbac8c-724b-436c-8531-3b406a484fcb', 'ccbc6ac2-c75e-44b8-b008-f1cee4a5d2b0']",,"[87.1, 12.1]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,,,,,,,,,,,,,,,,,,"[86.9, 16.8]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.005
ccbc6ac2-c75e-44b8-b008-f1cee4a5d2b0,406,1,00:10:35.188,10,35,26,2.031806,30,Pass,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['24e9cf2b-85b7-4493-8ca7-614567a59ab6'],,"[86.9, 16.8]",10755.0,Jonathan Viera Ramos,21.0,Left Wing,6928.0,Pedro Taunausú Domínguez Placeres,12.2147455,1.6199371,3.0,High Pass,"[86.3, 29.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5e57a2d3-9fa0-4165-bb5f-11b7e702d4a4,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,635.188
24e9cf2b-85b7-4493-8ca7-614567a59ab6,407,1,00:10:37.220,10,37,26,,42,Ball Receipt*,208,Las Palmas,4,From Throw In,208,Las Palmas,,,['ccbc6ac2-c75e-44b8-b008-f1cee4a5d2b0'],,"[86.3, 29.0]",6928.0,Pedro Taunausú Domínguez Placeres,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.22
