id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,pass_switch,pass_outcome_id,pass_outcome_name,carry_end_location,ball_receipt_outcome_id,ball_receipt_outcome_name,out,counterpress,ball_recovery_recovery_failure,under_pressure,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,dribble_outcome_id,dribble_outcome_name,pass_cross,pass_assisted_shot_id,pass_shot_assist,shot_one_on_one,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_aerial_won,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,pass_aerial_won,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_inswinging,pass_technique_id,pass_technique_name,foul_committed_advantage,foul_won_advantage,pass_outswinging,clearance_head,50_50_outcome_id,50_50_outcome_name,foul_won_defensive,dribble_overrun,block_offensive,shot_first_time,clearance_aerial_won,pass_no_touch,pass_goal_assist,shot_open_goal,dribble_nutmeg,clearance_left_foot,bad_behaviour_card_id,bad_behaviour_card_name,miscontrol_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_card_id,foul_committed_card_name,pass_through_ball,pass_cut_back,pass_miscommunication,ball_recovery_offensive,block_save_block,timestamp_seconds
087937ae-0b0c-4bd2-9251-7b6418622542,2939,2,00:29:34.896,74,34,154,2.251046,43,Carry,222,Villarreal,4,From Throw In,222,Villarreal,,,"['0ff7230e-49b5-4e1b-9d86-80c42d191a1e', '8706e18a-706f-4a79-a5a7-2184f33abfb7', 'f79eb8ce-f746-47d4-9d36-3bfb17b82045']",,"[48.6, 62.8]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,"[50.5, 63.9]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1774.896
8706e18a-706f-4a79-a5a7-2184f33abfb7,2940,2,00:29:35.075,74,35,154,1.584303,17,Pressure,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,['087937ae-0b0c-4bd2-9251-7b6418622542'],,"[71.1, 16.0]",18398.0,Omar Mascarell González,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775.075
3e7155a8-0a76-4710-aef3-55e3314f3eb5,2941,2,00:29:36.404,74,36,154,0.51207,17,Pressure,222,Villarreal,4,From Throw In,1041,Sporting Gijón,,,,,"[64.0, 15.8]",23994.0,Alejandro Menéndez Díez,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1776.404
f79eb8ce-f746-47d4-9d36-3bfb17b82045,2942,2,00:29:37.147,74,37,154,1.853073,3,Dispossessed,222,Villarreal,4,From Throw In,222,Villarreal,,,['9212cba6-8c5b-4659-98b7-de600bbe566e'],,"[50.5, 63.9]",6761.0,Leonardo Carrilho Baptistão,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.147
9212cba6-8c5b-4659-98b7-de600bbe566e,2943,2,00:29:37.147,74,37,155,0.0,4,Duel,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['f79eb8ce-f746-47d4-9d36-3bfb17b82045'],,"[69.6, 16.2]",23994.0,Alejandro Menéndez Díez,6.0,Left Back,,,,,,,,,,,,,,,,,,,True,,True,11.0,Tackle,16.0,Success In Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1777.147
a63611d7-8953-43ab-9327-7c2f4f687ec8,2944,2,00:29:38.622,74,38,155,1.046323,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['8ed1413e-89a6-40e6-a488-d90981e9275a'],,"[60.8, 25.4]",18398.0,Omar Mascarell González,11.0,Left Defensive Midfield,8818.0,Jorge Meré Pérez,11.894957,-3.0151522,1.0,Ground Pass,"[49.0, 23.9]",38.0,Left Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1778.622
8ed1413e-89a6-40e6-a488-d90981e9275a,2945,2,00:29:39.669,74,39,155,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['a63611d7-8953-43ab-9327-7c2f4f687ec8'],,"[49.0, 23.9]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779.669
2aed3620-0bdf-4022-bb6b-d42ec1aebab5,2946,2,00:29:39.669,74,39,155,1.8376,43,Carry,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,"['8ed1413e-89a6-40e6-a488-d90981e9275a', 'bfe92414-8cd6-4cb9-882b-815dbabef197']",,"[49.0, 23.9]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,,,,,,,,,,,,,,,"[49.0, 23.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1779.669
bfe92414-8cd6-4cb9-882b-815dbabef197,2947,2,00:29:41.506,74,41,155,2.781834,30,Pass,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['0d6b52b6-e96a-4db0-aa7a-d496cdd6f972'],,"[49.0, 23.9]",8818.0,Jorge Meré Pérez,5.0,Left Center Back,6610.0,Iván Cuéllar Sacristán,32.73408,2.5739262,1.0,Ground Pass,"[21.4, 41.5]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1781.506
0d6b52b6-e96a-4db0-aa7a-d496cdd6f972,2948,2,00:29:44.288,74,44,155,,42,Ball Receipt*,1041,Sporting Gijón,1,Regular Play,1041,Sporting Gijón,,,['bfe92414-8cd6-4cb9-882b-815dbabef197'],,"[21.4, 41.5]",6610.0,Iván Cuéllar Sacristán,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1784.288
