id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_switch,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,duel_outcome_id,duel_outcome_name,duel_type_id,duel_type_name,foul_won_defensive,interception_outcome_id,interception_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_overrun,dribble_outcome_id,dribble_outcome_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_first_time,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,pass_no_touch,out,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,pass_inswinging,clearance_head,clearance_aerial_won,pass_cross,pass_outswinging,clearance_left_foot,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,pass_deflected,shot_aerial_won,shot_one_on_one,foul_committed_card_id,foul_committed_card_name,ball_recovery_recovery_failure,pass_miscommunication,block_deflection,bad_behaviour_card_id,bad_behaviour_card_name,injury_stoppage_in_chain,pass_goal_assist,foul_committed_offensive,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,foul_committed_penalty,foul_won_penalty,timestamp_seconds
b7985855-c231-4c6d-af8a-3c30d62364d1,1733,1,00:42:54.851,42,54,88,,42,Ball Receipt*,222,Villarreal,1,Regular Play,222,Villarreal,,,['c3190a28-a9c6-4ef9-a0c5-741db1316e62'],,"[35.7, 54.8]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.851
04c92fa3-02fe-4966-be11-5a7ad1beed6b,1734,1,00:42:54.851,42,54,88,2.046478,43,Carry,222,Villarreal,1,Regular Play,222,Villarreal,,,"['6a5917f4-04e9-4a60-bea0-230ab61e0d93', 'b7985855-c231-4c6d-af8a-3c30d62364d1']",,"[35.7, 54.8]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,,,,,,,,,,"[55.0, 59.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.851
6a5917f4-04e9-4a60-bea0-230ab61e0d93,1735,1,00:42:56.897,42,56,88,1.974073,30,Pass,222,Villarreal,1,Regular Play,222,Villarreal,,,['8c2ca3d0-55ae-418c-97f5-228606946311'],,"[55.0, 59.9]",6772.0,Mario Gaspar Pérez Martínez,2.0,Right Back,,,34.634377,-1.2015495,1.0,Ground Pass,"[67.5, 27.6]",,,40.0,Right Foot,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2576.897
8c2ca3d0-55ae-418c-97f5-228606946311,1736,1,00:42:58.871,42,58,89,0.0,10,Interception,217,Barcelona,1,Regular Play,217,Barcelona,,,['6a5917f4-04e9-4a60-bea0-230ab61e0d93'],,"[52.6, 52.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,,True,,,,,,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2578.871
41fe00a2-621d-4e6b-8e9b-39f6584a1c9d,1737,1,00:42:58.871,42,58,89,0.529523,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['6f058fdb-e71f-4e70-9f79-9ca1d0c17774', '8c2ca3d0-55ae-418c-97f5-228606946311', 'c5eb5e18-451f-477a-ac42-2ea83582a45f']",,"[52.6, 52.5]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,"[52.6, 51.2]",,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2578.871
6f058fdb-e71f-4e70-9f79-9ca1d0c17774,1738,1,00:42:58.881,42,58,89,0.439998,17,Pressure,217,Barcelona,1,Regular Play,222,Villarreal,,,['41fe00a2-621d-4e6b-8e9b-39f6584a1c9d'],,"[69.0, 29.6]",26009.0,Roberto Soldado Rillo,23.0,Center Forward,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2578.881
c5eb5e18-451f-477a-ac42-2ea83582a45f,1739,1,00:42:59.401,42,59,89,0.0,14,Dribble,217,Barcelona,1,Regular Play,217,Barcelona,,,['425fbd80-cb81-4e44-b050-20b7d603914b'],,"[52.6, 51.2]",4324.0,Daniel Alves da Silva,2.0,Right Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.401
425fbd80-cb81-4e44-b050-20b7d603914b,1740,1,00:42:59.401,42,59,89,0.0,4,Duel,217,Barcelona,1,Regular Play,222,Villarreal,,,['c5eb5e18-451f-477a-ac42-2ea83582a45f'],,"[67.5, 28.9]",26009.0,Roberto Soldado Rillo,23.0,Center Forward,,,,,,,,,,,,,,,,,,True,True,13.0,Lost In Play,11.0,Tackle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2579.401
b365dc05-1b80-42f6-8da7-1097edf739b2,1741,1,00:43:00.508,43,0,89,0.0,2,Ball Recovery,217,Barcelona,1,Regular Play,217,Barcelona,,,,,"[49.1, 53.3]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580.508
251fc942-59a4-477a-a667-a33ae5f62a34,1742,1,00:43:00.508,43,0,89,1.584117,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['6a50cf30-1518-430d-8f70-da5780cf05a8', 'b365dc05-1b80-42f6-8da7-1097edf739b2']",,"[49.1, 53.3]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,,,,,,,,,,,,"[45.6, 53.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580.508
6a50cf30-1518-430d-8f70-da5780cf05a8,1743,1,00:43:02.092,43,2,89,0.856044,30,Pass,217,Barcelona,1,Regular Play,217,Barcelona,,,['68d90f99-1594-4099-97d7-c457714f7cd9'],,"[45.6, 53.9]",6379.0,Sergi Roberto Carnicer,13.0,Right Center Midfield,5203.0,Sergio Busquets i Burgos,18.539688,-1.2183387,1.0,Ground Pass,"[52.0, 36.5]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582.092
68d90f99-1594-4099-97d7-c457714f7cd9,1744,1,00:43:02.948,43,2,89,,42,Ball Receipt*,217,Barcelona,1,Regular Play,217,Barcelona,,,['6a50cf30-1518-430d-8f70-da5780cf05a8'],,"[52.0, 36.5]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582.948
ebe945ec-261d-441a-9dfb-a5e95a566cd4,1745,1,00:43:02.948,43,2,89,1.952572,43,Carry,217,Barcelona,1,Regular Play,217,Barcelona,,,"['4ae5dfc8-838a-4f71-b095-90c06f26706a', '68d90f99-1594-4099-97d7-c457714f7cd9']",,"[52.0, 36.5]",5203.0,Sergio Busquets i Burgos,10.0,Center Defensive Midfield,,,,,,,,,,,,"[52.9, 38.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2582.948
