id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,pass_switch,interception_outcome_id,interception_outcome_name,pass_deflected,dribble_outcome_id,dribble_outcome_name,off_camera,ball_recovery_recovery_failure,pass_no_touch,out,miscontrol_aerial_won,pass_cross,goalkeeper_end_location,foul_won_defensive,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,dribble_nutmeg,dribble_overrun,pass_technique_id,pass_technique_name,pass_inswinging,50_50_outcome_id,50_50_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_committed_offensive,clearance_head,pass_outswinging,shot_aerial_won,foul_committed_advantage,foul_won_advantage,clearance_aerial_won,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_cut_back,shot_deflected,block_deflection,pass_goal_assist,shot_one_on_one,foul_committed_type_id,foul_committed_type_name,pass_straight,pass_through_ball,timestamp_seconds
02cc722d-05bf-419c-b319-034239a6d337,1123,1,00:27:39.791,27,39,54,1.138574,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['32d3276e-aa01-48e7-914c-d60968fd91ca'],"[42.8, 56.4]",6663.0,Antonio Barragán Fernández,2.0,Right Back,3638.0,Shkodran Mustafi,13.780058,-2.4951887,1.0,Ground Pass,"[31.8, 48.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1659.791
32d3276e-aa01-48e7-914c-d60968fd91ca,1124,1,00:27:40.930,27,40,54,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['02cc722d-05bf-419c-b319-034239a6d337'],"[31.8, 48.1]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.93
b2221418-4a37-4ce6-b36c-548167d88e94,1125,1,00:27:40.930,27,40,54,3.179653,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['324cf69b-3c90-442a-bad5-b042fd63260b', '32d3276e-aa01-48e7-914c-d60968fd91ca', '6b6db246-35d1-471f-ac1c-0be8cd3a3069']","[31.8, 48.1]",3638.0,Shkodran Mustafi,3.0,Right Center Back,,,,,,,,,,,,"[42.7, 53.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1660.93
6b6db246-35d1-471f-ac1c-0be8cd3a3069,1126,1,00:27:43.488,27,43,54,0.65268,17,Pressure,207,Valencia,4,From Throw In,216,Getafe,,,"['324cf69b-3c90-442a-bad5-b042fd63260b', 'b2221418-4a37-4ce6-b36c-548167d88e94']","[80.0, 32.3]",24035.0,Álvaro Vázquez García,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1663.488
324cf69b-3c90-442a-bad5-b042fd63260b,1127,1,00:27:44.110,27,44,54,1.034368,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,"['6b6db246-35d1-471f-ac1c-0be8cd3a3069', 'd9d12ede-0793-40b5-9ad0-4088496ea29f']","[42.7, 53.2]",3638.0,Shkodran Mustafi,3.0,Right Center Back,5718.0,Rodrigo Moreno Machado,13.69708,0.4211895,1.0,Ground Pass,"[55.2, 58.8]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1664.11
d9d12ede-0793-40b5-9ad0-4088496ea29f,1128,1,00:27:45.144,27,45,54,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['324cf69b-3c90-442a-bad5-b042fd63260b'],"[55.2, 58.8]",5718.0,Rodrigo Moreno Machado,12.0,Right Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.144
2635f7f5-1303-4022-ab90-f6f87ca00ab9,1129,1,00:27:45.144,27,45,54,0.019484,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['6742140f-4639-4992-ab37-f3b2c39197e1', 'd9d12ede-0793-40b5-9ad0-4088496ea29f']","[55.2, 58.8]",5718.0,Rodrigo Moreno Machado,12.0,Right Midfield,,,,,,,,,,,,"[55.2, 56.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.144
6742140f-4639-4992-ab37-f3b2c39197e1,1130,1,00:27:45.164,27,45,54,0.875623,30,Pass,207,Valencia,4,From Throw In,207,Valencia,,,['e0209bd1-0161-4610-a6fd-813305c143db'],"[55.2, 56.2]",5718.0,Rodrigo Moreno Machado,12.0,Right Midfield,6595.0,Daniel Parejo Muñoz,11.2445545,-2.2427595,1.0,Ground Pass,"[48.2, 47.4]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1665.164
e0209bd1-0161-4610-a6fd-813305c143db,1131,1,00:27:46.039,27,46,54,,42,Ball Receipt*,207,Valencia,4,From Throw In,207,Valencia,,,['6742140f-4639-4992-ab37-f3b2c39197e1'],"[48.2, 47.4]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.039
1d7ac9a8-760e-4b7a-9ee7-dd0792803c96,1132,1,00:27:46.039,27,46,54,1.523861,43,Carry,207,Valencia,4,From Throw In,207,Valencia,,,"['b2848902-84d6-4563-9901-5cc45c84a148', 'e0209bd1-0161-4610-a6fd-813305c143db']","[48.2, 47.4]",6595.0,Daniel Parejo Muñoz,13.0,Right Center Midfield,,,,,,,,,,,,"[52.0, 46.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1666.039
