id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,foul_won_defensive,off_camera,pass_switch,counterpress,interception_outcome_id,interception_outcome_name,ball_recovery_recovery_failure,duel_type_id,duel_type_name,pass_aerial_won,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,out,pass_technique_id,pass_technique_name,pass_outswinging,clearance_head,duel_outcome_id,duel_outcome_name,foul_committed_advantage,foul_won_advantage,pass_cross,clearance_left_foot,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_first_time,shot_technique_id,shot_technique_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,foul_committed_card_id,foul_committed_card_name,dribble_outcome_id,dribble_outcome_name,goalkeeper_outcome_id,goalkeeper_outcome_name,miscontrol_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,dribble_nutmeg,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_committed_offensive,clearance_aerial_won,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,pass_through_ball,shot_one_on_one,block_offensive,pass_miscommunication,pass_cut_back,shot_saved_to_post,goalkeeper_shot_saved_to_post,timestamp_seconds
53e490c9-37ff-4f80-9971-e9512b2c9574,1673,1,00:45:07.337,45,7,121,1.023811,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['5c1be5c8-ebd1-4908-88d8-6e7593355355', 'acdf26bb-45af-4eae-98fb-b831989c2109']","[42.4, 11.1]",3023.0,Yuri Berchiche Izeta,6.0,Left Back,6740.0,Gonzalo Castro Irizábal,10.9,0.0,1.0,Ground Pass,"[53.3, 11.1]",66.0,Recovery,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2707.337
acdf26bb-45af-4eae-98fb-b831989c2109,1674,1,00:45:08.360,45,8,121,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['53e490c9-37ff-4f80-9971-e9512b2c9574'],"[53.3, 11.1]",6740.0,Gonzalo Castro Irizábal,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708.36
61e981ea-0138-49be-8bf4-1a5f27952e48,1675,1,00:45:08.360,45,8,121,1.034837,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['4286ff20-f22e-46d3-8c91-2c0204aa97f7', '55195f03-dae5-4c7b-9120-0005f7d7dd4c', 'acdf26bb-45af-4eae-98fb-b831989c2109']","[53.3, 11.1]",6740.0,Gonzalo Castro Irizábal,21.0,Left Wing,,,,,,,,,,,,"[53.3, 11.5]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708.36
4286ff20-f22e-46d3-8c91-2c0204aa97f7,1676,1,00:45:08.825,45,8,121,0.446105,17,Pressure,210,Real Sociedad,1,Regular Play,208,Las Palmas,,,['61e981ea-0138-49be-8bf4-1a5f27952e48'],"[65.3, 70.1]",7906.0,David Simón Rodríguez Santana,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2708.825
55195f03-dae5-4c7b-9120-0005f7d7dd4c,1677,1,00:45:09.395,45,9,121,1.954416,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['e2620a4c-fa63-44c0-9ef6-95b294df0f15'],"[53.3, 11.5]",6740.0,Gonzalo Castro Irizábal,21.0,Left Wing,16539.0,Diego Antonio Reyes Rosales,29.410542,2.0785553,2.0,Low Pass,"[39.0, 37.2]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2709.395
e2620a4c-fa63-44c0-9ef6-95b294df0f15,1678,1,00:45:11.350,45,11,121,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['55195f03-dae5-4c7b-9120-0005f7d7dd4c'],"[39.0, 37.2]",16539.0,Diego Antonio Reyes Rosales,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711.35
e7a3773f-f73b-4cd5-b73a-6ba65080ec7a,1679,1,00:45:11.350,45,11,121,3.554919,43,Carry,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['21090fa1-7912-4d18-8370-fb59106b9c22', 'e2620a4c-fa63-44c0-9ef6-95b294df0f15']","[39.0, 37.2]",16539.0,Diego Antonio Reyes Rosales,3.0,Right Center Back,,,,,,,,,,,,"[42.4, 52.3]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2711.35
21090fa1-7912-4d18-8370-fb59106b9c22,1680,1,00:45:14.905,45,14,121,1.198861,30,Pass,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,"['945b25a9-e793-444e-987a-e0d0e8a70538', 'e3286c0a-d79b-4b12-bbe6-e1d208422ed4']","[42.4, 52.3]",16539.0,Diego Antonio Reyes Rosales,3.0,Right Center Back,5560.0,Carlos Alberto Vela Garrido,15.597756,0.22631831,1.0,Ground Pass,"[57.6, 55.8]",,,40.0,Right Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2714.905
945b25a9-e793-444e-987a-e0d0e8a70538,1681,1,00:45:16.103,45,16,121,,42,Ball Receipt*,210,Real Sociedad,1,Regular Play,210,Real Sociedad,,,['21090fa1-7912-4d18-8370-fb59106b9c22'],"[62.1, 55.3]",5560.0,Carlos Alberto Vela Garrido,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716.103
e3286c0a-d79b-4b12-bbe6-e1d208422ed4,1682,1,00:45:16.103,45,16,121,0.977822,30,Pass,210,Real Sociedad,1,Regular Play,208,Las Palmas,,,"['21090fa1-7912-4d18-8370-fb59106b9c22', '446512a7-8cea-4b1a-8367-7711612d7370']","[62.5, 24.3]",10755.0,Jonathan Viera Ramos,16.0,Left Midfield,6928.0,Pedro Taunausú Domínguez Placeres,10.165136,-0.2688405,2.0,Low Pass,"[72.3, 21.6]",64.0,Interception,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2716.103
