id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,counterpress,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,duel_type_id,duel_type_name,pass_aerial_won,dribble_outcome_id,dribble_outcome_name,duel_outcome_id,duel_outcome_name,clearance_aerial_won,clearance_head,dribble_overrun,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,pass_cross,pass_switch,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,shot_aerial_won,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,block_offensive,pass_through_ball,pass_technique_id,pass_technique_name,interception_outcome_id,interception_outcome_name,shot_first_time,out,ball_recovery_recovery_failure,pass_miscommunication,pass_outswinging,foul_committed_type_id,foul_committed_type_name,clearance_other,foul_committed_advantage,foul_won_advantage,pass_inswinging,goalkeeper_punched_out,pass_cut_back,miscontrol_aerial_won,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_no_touch,goalkeeper_technique_id,goalkeeper_technique_name,clearance_left_foot,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_deflected,block_deflection,ball_recovery_offensive,injury_stoppage_in_chain,bad_behaviour_card_id,bad_behaviour_card_name,dribble_nutmeg,timestamp_seconds
b23506ec-88de-4ece-ac3b-7ae754316ff3,1967,2,00:08:03.709,53,3,131,1.150844,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['7561036b-5112-4269-872e-8980b19d23e4', '99eaeeda-bcf7-4a3c-ac89-43152d73430c', 'a9bd3ecc-315c-4340-b451-1db0a5692113']",,"[16.5, 15.3]",6718.0,Sergio Escudero Palomo,21.0,Left Wing,,,,,,,,,,,,"[21.5, 13.8]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483.709
7561036b-5112-4269-872e-8980b19d23e4,1968,2,00:08:04.229,53,4,131,0.548665,17,Pressure,213,Sevilla,1,Regular Play,212,Atlético Madrid,,,['b23506ec-88de-4ece-ac3b-7ae754316ff3'],,"[97.2, 65.4]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.229
6e53ac85-18c5-4e35-a4ba-6ed81492e960,1969,2,00:08:04.860,53,4,131,0.0,39,Dribbled Past,213,Sevilla,1,Regular Play,212,Atlético Madrid,,,"['9a7e2e2c-9393-4915-a8d5-786d22434185', 'a9bd3ecc-315c-4340-b451-1db0a5692113']",,"[98.6, 66.3]",6381.0,Saúl Ñíguez Esclapez,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.86
a9bd3ecc-315c-4340-b451-1db0a5692113,1970,2,00:08:04.860,53,4,131,0.0,14,Dribble,213,Sevilla,1,Regular Play,213,Sevilla,,,['6e53ac85-18c5-4e35-a4ba-6ed81492e960'],,"[21.5, 13.8]",6718.0,Sergio Escudero Palomo,21.0,Left Wing,,,,,,,,,,,,,,,,,True,,,,,,,,8.0,Complete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.86
9a7e2e2c-9393-4915-a8d5-786d22434185,1971,2,00:08:04.860,53,4,131,1.280673,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['6e53ac85-18c5-4e35-a4ba-6ed81492e960', 'a9bd3ecc-315c-4340-b451-1db0a5692113', 'b076a7e7-6724-43e3-9671-17591d4e6dee', 'c87117a6-080e-4c81-ae48-e15a13937cc1']",,"[21.5, 13.8]",6718.0,Sergio Escudero Palomo,21.0,Left Wing,,,,,,,,,,,,"[21.5, 16.8]",,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,484.86
b076a7e7-6724-43e3-9671-17591d4e6dee,1972,2,00:08:05.958,53,5,131,0.526931,17,Pressure,213,Sevilla,1,Regular Play,212,Atlético Madrid,,,"['9a7e2e2c-9393-4915-a8d5-786d22434185', 'c87117a6-080e-4c81-ae48-e15a13937cc1']",,"[102.7, 64.3]",6375.0,Juan Francisco Torres Belén,2.0,Right Back,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.958
c87117a6-080e-4c81-ae48-e15a13937cc1,1973,2,00:08:06.140,53,6,131,1.582746,30,Pass,213,Sevilla,1,Regular Play,213,Sevilla,,,"['b076a7e7-6724-43e3-9671-17591d4e6dee', 'f4f7eb62-dd1c-43be-9143-caa83f5c9a2a']",,"[21.5, 16.8]",6718.0,Sergio Escudero Palomo,21.0,Left Wing,5504.0,Éver Maximiliano David Banega,16.938713,-0.40024066,1.0,Ground Pass,"[37.1, 10.2]",40.0,Right Foot,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,486.14
f4f7eb62-dd1c-43be-9143-caa83f5c9a2a,1974,2,00:08:07.723,53,7,131,,42,Ball Receipt*,213,Sevilla,1,Regular Play,213,Sevilla,,,['c87117a6-080e-4c81-ae48-e15a13937cc1'],,"[37.1, 10.2]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.723
02f778c2-a403-4e4a-8abc-29ce1200616a,1975,2,00:08:07.723,53,7,131,0.151436,43,Carry,213,Sevilla,1,Regular Play,213,Sevilla,,,"['f0851cae-bcfb-4ab4-a944-1f65c96ae856', 'f4f7eb62-dd1c-43be-9143-caa83f5c9a2a']",,"[37.1, 10.2]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,"[37.1, 10.2]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.723
f0851cae-bcfb-4ab4-a944-1f65c96ae856,1976,2,00:08:07.874,53,7,131,0.0,38,Miscontrol,213,Sevilla,1,Regular Play,213,Sevilla,,,,,"[37.1, 10.2]",5504.0,Éver Maximiliano David Banega,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487.874
