id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,pass_outcome_id,pass_outcome_name,out,duel_type_id,duel_type_name,pass_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,off_camera,dribble_outcome_id,dribble_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,shot_statsbomb_xg,shot_end_location,shot_outcome_id,shot_outcome_name,shot_first_time,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_position_id,goalkeeper_position_name,interception_outcome_id,interception_outcome_name,clearance_aerial_won,pass_switch,foul_committed_card_id,foul_committed_card_name,foul_won_defensive,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_cross,clearance_right_foot,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,dribble_no_touch,shot_one_on_one,foul_committed_advantage,foul_won_advantage,pass_no_touch,goalkeeper_body_part_id,goalkeeper_body_part_name,ball_recovery_recovery_failure,goalkeeper_technique_id,goalkeeper_technique_name,pass_technique_id,pass_technique_name,pass_outswinging,pass_through_ball,goalkeeper_punched_out,pass_goal_assist,miscontrol_aerial_won,clearance_left_foot,shot_aerial_won,foul_committed_type_id,foul_committed_type_name,dribble_nutmeg,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_inswinging,dribble_overrun,pass_miscommunication,block_deflection,shot_deflected,block_offensive,timestamp_seconds
b8fda1d6-b5bb-471f-aff7-61a6126c9fa5,2849,2,00:34:23.605,79,23,172,0.353714,43,Carry,214,Espanyol,1,Regular Play,214,Espanyol,,,"['7104d632-4e3f-4e64-ac6c-230df9fdb785', '8ad8ef61-6c77-4271-ba1a-09afbf875113']","[84.7, 18.1]",27148.0,Abraham González Casanova,13.0,Right Center Midfield,,,,,,,,,,,,"[84.3, 18.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.605
8ad8ef61-6c77-4271-ba1a-09afbf875113,2850,2,00:34:23.959,79,23,172,0.0,3,Dispossessed,214,Espanyol,1,Regular Play,214,Espanyol,,,['2007fad7-483d-4faa-9a36-4d34cb7dc09b'],"[84.3, 18.5]",27148.0,Abraham González Casanova,13.0,Right Center Midfield,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.959
2007fad7-483d-4faa-9a36-4d34cb7dc09b,2851,2,00:34:23.959,79,23,173,0.0,4,Duel,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['8ad8ef61-6c77-4271-ba1a-09afbf875113'],"[35.8, 61.6]",6377.0,Ángel Martín Correa,21.0,Left Wing,,,,,,,,,,,,,True,,,,11.0,Tackle,,True,4.0,Won,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.959
a2eb6e58-dc96-4e25-bfc4-fa2edd4e4cd8,2852,2,00:34:23.959,79,23,173,6.018153,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['2007fad7-483d-4faa-9a36-4d34cb7dc09b', '5bc73bfc-6297-4adb-aa0d-547ddf8130f4', '606bcbaa-3b8b-4abb-a499-3085c33783a3']","[35.8, 61.6]",6377.0,Ángel Martín Correa,21.0,Left Wing,,,,,,,,,,,,"[62.8, 47.4]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2063.959
606bcbaa-3b8b-4abb-a499-3085c33783a3,2853,2,00:34:27.166,79,27,173,2.963477,17,Pressure,212,Atlético Madrid,1,Regular Play,214,Espanyol,,,"['5bc73bfc-6297-4adb-aa0d-547ddf8130f4', 'a2eb6e58-dc96-4e25-bfc4-fa2edd4e4cd8']","[63.7, 20.8]",16456.0,Enzo Pablo Roco Roco,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067.166
5bc73bfc-6297-4adb-aa0d-547ddf8130f4,2854,2,00:34:29.977,79,29,173,1.16418,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['606bcbaa-3b8b-4abb-a499-3085c33783a3', 'aa75dd0b-a0c2-431b-aba6-481853aba4a3']","[62.8, 47.4]",6377.0,Ángel Martín Correa,21.0,Left Wing,6382.0,Fernando José Torres Sanz,23.545912,-1.1508471,1.0,Ground Pass,"[72.4, 25.9]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2069.977
aa75dd0b-a0c2-431b-aba6-481853aba4a3,2855,2,00:34:31.141,79,31,173,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['5bc73bfc-6297-4adb-aa0d-547ddf8130f4'],"[72.4, 25.9]",6382.0,Fernando José Torres Sanz,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071.141
997731ae-94e5-42fe-8fdc-18ccbe6d26eb,2856,2,00:34:31.141,79,31,173,1.522063,43,Carry,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,"['aa75dd0b-a0c2-431b-aba6-481853aba4a3', 'af13432d-c118-4e5f-929f-05976c710219']","[72.4, 25.9]",6382.0,Fernando José Torres Sanz,23.0,Center Forward,,,,,,,,,,,,"[82.0, 25.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2071.141
af13432d-c118-4e5f-929f-05976c710219,2857,2,00:34:32.663,79,32,173,3.065333,30,Pass,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['4f3099c0-3050-4b62-b751-4f952769eadd'],"[82.0, 25.1]",6382.0,Fernando José Torres Sanz,23.0,Center Forward,6383.0,Thomas Teye Partey,40.199753,0.95864385,2.0,Low Pass,"[105.1, 58.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2072.663
4f3099c0-3050-4b62-b751-4f952769eadd,2858,2,00:34:35.728,79,35,173,,42,Ball Receipt*,212,Atlético Madrid,1,Regular Play,212,Atlético Madrid,,,['af13432d-c118-4e5f-929f-05976c710219'],"[105.1, 58.0]",6383.0,Thomas Teye Partey,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075.728
