id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_type_id,pass_type_name,pass_body_part_id,pass_body_part_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,off_camera,under_pressure,pass_switch,pass_technique_id,pass_technique_name,pass_through_ball,counterpress,dribble_outcome_id,dribble_outcome_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,foul_won_defensive,pass_aerial_won,pass_assisted_shot_id,pass_shot_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,clearance_body_part_id,clearance_body_part_name,clearance_right_foot,pass_cross,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_deflected,out,clearance_head,pass_outswinging,shot_first_time,clearance_aerial_won,foul_committed_advantage,foul_won_advantage,pass_straight,ball_recovery_recovery_failure,pass_inswinging,clearance_left_foot,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_card_id,foul_committed_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,shot_aerial_won,pass_cut_back,shot_deflected,block_deflection,shot_one_on_one,dribble_overrun,foul_committed_type_id,foul_committed_type_name,block_save_block,timestamp_seconds
f565aea0-6fc4-48a8-b271-328a285dbb82,2185,2,00:07:33.314,52,33,127,0.0,23,Goal Keeper,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,['9e3fbf39-054e-4a56-b259-3985523041da'],"[3.5, 21.3]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,Keeper Sweeper,,,,,47.0,Claim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453.314
7c9476a1-f0bc-4090-beea-48eea0fdd1d9,2186,2,00:07:52.340,52,52,127,1.643154,30,Pass,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,"['1140ca84-6f25-4049-a27c-b1b0c4c2efec', '6201ff51-3a11-4838-8df5-aeff8ee410df']","[5.0, 24.9]",6694.0,Gerónimo Rulli,1.0,Goalkeeper,6669.0,David Zurutuza Veillet,69.54632,-0.30674487,3.0,High Pass,"[71.3, 3.9]",,,68.0,Drop Kick,,9.0,Incomplete,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,472.34000000000003
1140ca84-6f25-4049-a27c-b1b0c4c2efec,2187,2,00:07:53.983,52,53,127,,42,Ball Receipt*,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,['7c9476a1-f0bc-4090-beea-48eea0fdd1d9'],"[71.2, 5.6]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.983
68e9ff40-9a69-4427-9dbd-d0f74b107dbd,2188,2,00:07:53.983,52,53,127,0.0,4,Duel,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,['6201ff51-3a11-4838-8df5-aeff8ee410df'],"[71.3, 3.9]",6669.0,David Zurutuza Veillet,21.0,Left Wing,,,,,,,,,,,,,,,,,,,,True,,,,,,,,10.0,Aerial Lost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.983
6201ff51-3a11-4838-8df5-aeff8ee410df,2189,2,00:07:53.983,52,53,127,1.96828,30,Pass,210,Real Sociedad,8,From Keeper,207,Valencia,,,"['68e9ff40-9a69-4427-9dbd-d0f74b107dbd', '77c3d23f-e1b2-43fa-8adc-5301429b043a', '7c9476a1-f0bc-4090-beea-48eea0fdd1d9']","[48.8, 76.2]",6663.0,Antonio Barragán Fernández,2.0,Right Back,,,13.76154,-0.094607234,2.0,Low Pass,"[62.5, 74.9]",64.0,Interception,,,,9.0,Incomplete,,,,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,473.983
77c3d23f-e1b2-43fa-8adc-5301429b043a,2190,2,00:07:55.951,52,55,127,1.129875,30,Pass,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,"['085fec96-c195-4b6a-a797-a1ac327aae06', '6201ff51-3a11-4838-8df5-aeff8ee410df', 'c8887229-7d80-4997-ba83-c1087460ad07']","[57.6, 5.2]",6674.0,Alberto De La Bella Madureño,6.0,Left Back,6906.0,Jon Bautista Orgilles,22.847319,0.23860933,3.0,High Pass,"[79.8, 10.6]",66.0,Recovery,38.0,Left Foot,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,475.951
085fec96-c195-4b6a-a797-a1ac327aae06,2191,2,00:07:57.081,52,57,127,,42,Ball Receipt*,210,Real Sociedad,8,From Keeper,210,Real Sociedad,,,['77c3d23f-e1b2-43fa-8adc-5301429b043a'],"[78.6, 12.1]",6906.0,Jon Bautista Orgilles,23.0,Center Forward,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.081
c8887229-7d80-4997-ba83-c1087460ad07,2192,2,00:07:57.081,52,57,128,3.410062,30,Pass,207,Valencia,1,Regular Play,207,Valencia,,,"['77c3d23f-e1b2-43fa-8adc-5301429b043a', '7fa696dd-cddd-4fe0-86ab-6c90f4752614']","[40.3, 69.5]",27482.0,Aderllan Leandro de Jesus Santos,3.0,Right Center Back,6898.0,Jaume Doménech Sánchez,35.018425,-2.261147,3.0,High Pass,"[18.0, 42.5]",66.0,Recovery,37.0,Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,477.081
7fa696dd-cddd-4fe0-86ab-6c90f4752614,2193,2,00:08:00.491,53,0,128,,42,Ball Receipt*,207,Valencia,1,Regular Play,207,Valencia,,,['c8887229-7d80-4997-ba83-c1087460ad07'],"[18.0, 42.5]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.491
eb004301-4fd2-4419-bf1e-1c1237187970,2194,2,00:08:00.491,53,0,128,1.552136,43,Carry,207,Valencia,1,Regular Play,207,Valencia,,,"['7fa696dd-cddd-4fe0-86ab-6c90f4752614', 'cdc4204a-16a9-448b-9147-4f0a4d4be20d']","[18.0, 42.5]",6898.0,Jaume Doménech Sánchez,1.0,Goalkeeper,,,,,,,,,,,,"[18.4, 43.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.491
