id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,under_pressure,dribble_outcome_id,dribble_outcome_name,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,counterpress,foul_committed_advantage,foul_won_advantage,pass_cross,pass_assisted_shot_id,pass_goal_assist,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_deflected,shot_first_time,shot_outcome_id,shot_outcome_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_freeze_frame,block_deflection,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,pass_shot_assist,shot_saved_to_post,goalkeeper_shot_saved_to_post,goalkeeper_body_part_id,goalkeeper_body_part_name,out,clearance_right_foot,clearance_body_part_id,clearance_body_part_name,pass_aerial_won,foul_committed_type_id,foul_committed_type_name,clearance_head,pass_switch,pass_through_ball,pass_technique_id,pass_technique_name,shot_one_on_one,clearance_other,50_50_outcome_id,50_50_outcome_name,goalkeeper_end_location,pass_outswinging,ball_recovery_recovery_failure,shot_aerial_won,pass_inswinging,clearance_left_foot,foul_committed_card_id,foul_committed_card_name,dribble_overrun,pass_cut_back,pass_deflected,shot_open_goal,foul_won_defensive,shot_saved_off_target,goalkeeper_shot_saved_off_target,pass_straight,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_no_touch,clearance_aerial_won,timestamp_seconds
44194b67-fca0-4ef0-9c64-de8179f6404f,566,1,00:16:23.768,16,23,40,1.731348,43,Carry,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['46e35b6d-d819-4bb4-90db-c9edf3a6fc45', '7eeb3859-b7a8-45b3-a1d2-71bebc4a1490', 'c404bc59-afe5-468f-8b51-68c820cd6d7f']",,"[85.9, 46.9]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,,,,,,,,,,,,"[93.0, 52.5]",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,983.768
7eeb3859-b7a8-45b3-a1d2-71bebc4a1490,567,1,00:16:24.467,16,24,40,1.042557,17,Pressure,213,Sevilla,3,From Free Kick,221,Levante UD,,,"['44194b67-fca0-4ef0-9c64-de8179f6404f', '46e35b6d-d819-4bb4-90db-c9edf3a6fc45']",,"[36.6, 34.2]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,984.467
46e35b6d-d819-4bb4-90db-c9edf3a6fc45,568,1,00:16:25.500,16,25,40,1.981872,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['505bc768-013a-4ecb-a94c-8f5654c5a0ea', '7eeb3859-b7a8-45b3-a1d2-71bebc4a1490']",,"[93.0, 52.5]",23816.0,José Antonio Reyes Calderón,17.0,Right Wing,21210.0,Mariano Ferreira Filho,19.808079,1.284175,1.0,Ground Pass,"[98.6, 71.5]",38.0,Left Foot,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,985.5
505bc768-013a-4ecb-a94c-8f5654c5a0ea,569,1,00:16:27.482,16,27,40,,42,Ball Receipt*,213,Sevilla,3,From Free Kick,213,Sevilla,,,['46e35b6d-d819-4bb4-90db-c9edf3a6fc45'],,"[98.6, 71.5]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.482
991989ea-972c-4dd6-9273-b165c2208b4d,570,1,00:16:27.482,16,27,40,1.51231,43,Carry,213,Sevilla,3,From Free Kick,213,Sevilla,,,"['505bc768-013a-4ecb-a94c-8f5654c5a0ea', '7f414fcf-233e-4018-9f14-74d6672e01ae']",,"[98.6, 71.5]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,,,,,,,,,,"[98.6, 71.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,987.482
7f414fcf-233e-4018-9f14-74d6672e01ae,571,1,00:16:28.994,16,28,40,0.144955,30,Pass,213,Sevilla,3,From Free Kick,213,Sevilla,,,['bd1364f8-94f0-4f75-a0d3-71a9ec81389b'],,"[98.6, 71.5]",21210.0,Mariano Ferreira Filho,2.0,Right Back,,,10.604244,-0.8990009,2.0,Low Pass,"[105.2, 63.2]",40.0,Right Foot,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,988.994
bd1364f8-94f0-4f75-a0d3-71a9ec81389b,572,1,00:16:29.139,16,29,40,0.0,6,Block,213,Sevilla,3,From Free Kick,221,Levante UD,,,['7f414fcf-233e-4018-9f14-74d6672e01ae'],,"[14.9, 16.9]",6784.0,Antonio García Aranda,6.0,Left Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,989.139
646b4bbc-f3df-495f-a90a-ebbcca80f003,573,1,00:16:31.473,16,31,41,0.813942,30,Pass,221,Levante UD,1,Regular Play,221,Levante UD,,,['09326276-17fc-4ce3-b131-b3f939d8af17'],,"[31.3, 22.1]",6668.0,José Luis Morales Nogales,16.0,Left Midfield,7141.0,Giuseppe Rossi,7.7698135,2.5857217,1.0,Ground Pass,"[24.7, 26.2]",40.0,Right Foot,66.0,Recovery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,991.473
09326276-17fc-4ce3-b131-b3f939d8af17,574,1,00:16:32.286,16,32,41,,42,Ball Receipt*,221,Levante UD,1,Regular Play,221,Levante UD,,,['646b4bbc-f3df-495f-a90a-ebbcca80f003'],,"[24.7, 26.2]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.2860000000001
456a7fc5-f2e6-4cbb-adf7-b6567da1fd1e,575,1,00:16:32.286,16,32,41,1.835406,43,Carry,221,Levante UD,1,Regular Play,221,Levante UD,,,"['09326276-17fc-4ce3-b131-b3f939d8af17', '809114fc-c721-4b4b-a9af-ba51757f756f']",,"[24.7, 26.2]",7141.0,Giuseppe Rossi,24.0,Left Center Forward,,,,,,,,,,,,"[38.2, 32.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,992.2860000000001
