id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,under_pressure,interception_outcome_id,interception_outcome_name,counterpress,pass_cross,clearance_body_part_id,clearance_body_part_name,clearance_head,duel_type_id,duel_type_name,duel_outcome_id,duel_outcome_name,out,clearance_aerial_won,ball_recovery_recovery_failure,50_50_outcome_id,50_50_outcome_name,pass_aerial_won,pass_technique_id,pass_technique_name,pass_through_ball,dribble_outcome_id,dribble_outcome_name,goalkeeper_type_id,goalkeeper_type_name,goalkeeper_outcome_id,goalkeeper_outcome_name,pass_switch,foul_won_defensive,foul_committed_advantage,foul_won_advantage,clearance_left_foot,pass_assisted_shot_id,pass_goal_assist,shot_open_goal,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_technique_id,shot_technique_name,shot_first_time,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_technique_id,goalkeeper_technique_name,goalkeeper_position_id,goalkeeper_position_name,clearance_right_foot,dribble_nutmeg,dribble_overrun,foul_committed_card_id,foul_committed_card_name,pass_shot_assist,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_end_location,pass_cut_back,shot_deflected,block_deflection,foul_committed_type_id,foul_committed_type_name,block_offensive,pass_inswinging,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,injury_stoppage_in_chain,pass_outswinging,pass_straight,timestamp_seconds
382a12cb-bd42-4f29-b7cb-50b397ea8bfb,171,1,00:03:57.890,3,57,10,1.623,17,Pressure,1041,Sporting Gijón,3,From Free Kick,209,Celta Vigo,,,"['7d428c73-1895-4af8-83eb-368c0b5387d6', 'd510d948-621c-4414-a3a6-ae75e6a6452f']",,"[14.5, 65.4]",19668.0,Augusto Matías Fernández,10.0,Center Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237.89
7d428c73-1895-4af8-83eb-368c0b5387d6,172,1,00:03:59.406,3,59,10,0.0,38,Miscontrol,1041,Sporting Gijón,3,From Free Kick,1041,Sporting Gijón,,,['382a12cb-bd42-4f29-b7cb-50b397ea8bfb'],,"[116.2, 12.7]",6880.0,Arnaldo Antonio Sanabria Ayala,23.0,Center Forward,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.406
30292c19-17cc-4bbf-b694-481ba995e232,173,1,00:04:09.119,4,9,11,1.073729,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['6eca8a22-d409-43a9-ba2e-b63915b119c9'],True,"[6.0, 36.0]",6884.0,Sergio Álvarez Conde,1.0,Goalkeeper,7105.0,Fabián Ariel Orellana Valenzuela,23.201939,0.40772143,1.0,Ground Pass,"[27.3, 45.2]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249.119
6eca8a22-d409-43a9-ba2e-b63915b119c9,174,1,00:04:10.193,4,10,11,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['30292c19-17cc-4bbf-b694-481ba995e232'],,"[27.3, 45.2]",7105.0,Fabián Ariel Orellana Valenzuela,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.193
12995de6-6b47-42dc-93ff-42b82d643626,175,1,00:04:11.687,4,11,11,1.382381,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['6cb6b124-6c72-41ac-abbe-f4d539e67c65'],,"[26.7, 45.8]",7105.0,Fabián Ariel Orellana Valenzuela,13.0,Right Center Midfield,6805.0,Hugo Mallo Novegil,21.901827,1.3169585,1.0,Ground Pass,"[32.2, 67.0]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.687
6cb6b124-6c72-41ac-abbe-f4d539e67c65,176,1,00:04:13.070,4,13,11,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['12995de6-6b47-42dc-93ff-42b82d643626'],,"[32.2, 67.0]",6805.0,Hugo Mallo Novegil,2.0,Right Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.07
a0b07836-3bbb-4dab-9804-53de45db3869,177,1,00:04:13.070,4,13,11,1.567091,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['b4b548e0-1fe8-47af-8b69-95bc59909d44'],,"[32.2, 67.6]",6805.0,Hugo Mallo Novegil,2.0,Right Back,6794.0,Gustavo Daniel Cabral Cáceres,17.501143,-3.1301646,1.0,Ground Pass,"[14.7, 67.4]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.07
b4b548e0-1fe8-47af-8b69-95bc59909d44,178,1,00:04:14.637,4,14,11,,42,Ball Receipt*,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['a0b07836-3bbb-4dab-9804-53de45db3869'],,"[14.7, 67.4]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.637
bec9182b-9ed1-48fb-8244-1daa81106cae,179,1,00:04:14.637,4,14,11,1.46507,43,Carry,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,"['b4b548e0-1fe8-47af-8b69-95bc59909d44', 'c74f538b-f036-4285-974a-8a4c4cf96ade']",,"[14.7, 67.4]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,,,,,,,,,,,,"[14.1, 52.0]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254.637
c74f538b-f036-4285-974a-8a4c4cf96ade,180,1,00:04:16.102,4,16,11,2.839994,30,Pass,209,Celta Vigo,7,From Goal Kick,209,Celta Vigo,,,['7206b464-6f7e-4982-8aaf-933ca19b454d'],,"[14.1, 52.0]",6794.0,Gustavo Daniel Cabral Cáceres,3.0,Right Center Back,6804.0,Sergi Gómez Solà,33.058887,-1.3170137,1.0,Ground Pass,"[22.4, 20.0]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256.102
