id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,off_camera,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,under_pressure,carry_end_location,pass_outcome_id,pass_outcome_name,clearance_body_part_id,clearance_body_part_name,clearance_head,dribble_outcome_id,dribble_outcome_name,shot_statsbomb_xg,shot_end_location,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_technique_id,shot_technique_name,shot_freeze_frame,out,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_switch,pass_technique_id,pass_technique_name,pass_inswinging,goalkeeper_outcome_id,goalkeeper_outcome_name,clearance_left_foot,ball_receipt_outcome_id,ball_receipt_outcome_name,duel_type_id,duel_type_name,clearance_aerial_won,counterpress,duel_outcome_id,duel_outcome_name,pass_assisted_shot_id,pass_shot_assist,shot_key_pass_id,pass_aerial_won,clearance_right_foot,pass_cross,goalkeeper_body_part_id,goalkeeper_body_part_name,goalkeeper_technique_id,goalkeeper_technique_name,foul_committed_advantage,foul_won_advantage,pass_through_ball,interception_outcome_id,interception_outcome_name,50_50_outcome_id,50_50_outcome_name,miscontrol_aerial_won,pass_goal_assist,foul_committed_type_id,foul_committed_type_name,foul_won_defensive,block_offensive,shot_first_time,pass_outswinging,ball_recovery_recovery_failure,pass_cut_back,clearance_other,shot_aerial_won,foul_committed_card_id,foul_committed_card_name,foul_committed_penalty,foul_won_penalty,bad_behaviour_card_id,bad_behaviour_card_name,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,dribble_overrun,shot_open_goal,shot_one_on_one,pass_straight,foul_committed_offensive,timestamp_seconds
30d683d3-90a2-4559-926a-da00ff6f240f,1222,1,00:38:17.647,38,17,102,1.672751,30,Pass,221,Levante UD,7,From Goal Kick,221,Levante UD,,,['b2628255-0cc4-48c6-a921-91d6a61e1104'],True,"[6.0, 44.0]",23843.0,Diego Mariño Villar,1.0,Goalkeeper,27656.0,Carl Medjani,36.43213,-1.4856036,1.0,Ground Pass,"[9.1, 7.7]",40.0,Right Foot,63.0,Goal Kick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2297.647
b2628255-0cc4-48c6-a921-91d6a61e1104,1223,1,00:38:19.320,38,19,102,,42,Ball Receipt*,221,Levante UD,7,From Goal Kick,221,Levante UD,,,['30d683d3-90a2-4559-926a-da00ff6f240f'],,"[9.1, 7.7]",27656.0,Carl Medjani,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2299.32
d37493d9-2d9e-4455-934a-ab16073cb212,1224,1,00:38:20.339,38,20,102,2.604457,30,Pass,221,Levante UD,7,From Goal Kick,221,Levante UD,,,,,"[10.0, 7.7]",27656.0,Carl Medjani,5.0,Left Center Back,,,44.94719,-0.16990358,3.0,High Pass,"[54.3, 0.1]",38.0,Left Foot,,,,,75.0,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300.339
f8aaf774-4590-47e0-9b93-ba4f09d565ed,1225,1,00:38:27.455,38,27,103,1.481739,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['7021c4bb-3da3-4525-aad2-e39208650e2e'],,"[72.9, 80.0]",6627.0,Damián Nicolás Suárez Suárez,2.0,Right Back,27403.0,Santiago Vergini,11.713667,-2.5938528,2.0,Low Pass,"[62.9, 73.9]",,,67.0,Throw-in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.455
7021c4bb-3da3-4525-aad2-e39208650e2e,1226,1,00:38:28.937,38,28,103,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['f8aaf774-4590-47e0-9b93-ba4f09d565ed'],,"[62.9, 73.9]",27403.0,Santiago Vergini,3.0,Right Center Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308.937
fb31f212-dcd3-4aed-8e4c-9a34373fc467,1227,1,00:38:28.937,38,28,103,0.97588,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['2b48ff60-638c-456b-b94a-362c377b5d21', '7021c4bb-3da3-4525-aad2-e39208650e2e']",,"[62.9, 73.9]",27403.0,Santiago Vergini,3.0,Right Center Back,,,,,,,,,,,,,"[62.9, 73.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308.937
2b48ff60-638c-456b-b94a-362c377b5d21,1228,1,00:38:29.913,38,29,103,0.982476,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['86ab8e71-7821-401d-96cd-1047433df362'],,"[62.9, 73.9]",27403.0,Santiago Vergini,3.0,Right Center Back,6720.0,Pablo Sarabia García,8.381527,-0.34061623,1.0,Ground Pass,"[70.8, 71.1]",40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2309.913
86ab8e71-7821-401d-96cd-1047433df362,1229,1,00:38:30.896,38,30,103,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['2b48ff60-638c-456b-b94a-362c377b5d21'],,"[70.8, 71.1]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310.896
43a9e22e-13f5-474b-a681-6ac2829ed04d,1230,1,00:38:30.896,38,30,103,1.212964,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['86ab8e71-7821-401d-96cd-1047433df362', 'a2ce88f4-2b77-4a52-8d58-130fa68600e0']",,"[70.8, 71.1]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,,,,,,,,,,,,,"[72.1, 71.1]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2310.896
a2ce88f4-2b77-4a52-8d58-130fa68600e0,1231,1,00:38:32.109,38,32,103,0.570291,30,Pass,216,Getafe,4,From Throw In,216,Getafe,,,['a6fb32ed-91b3-495e-92d8-8dfc0f96e649'],,"[72.1, 71.1]",6720.0,Pablo Sarabia García,19.0,Center Attacking Midfield,11675.0,Moisés Gómez Bordonado,12.030378,0.23489836,1.0,Ground Pass,"[83.8, 73.9]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.109
a6fb32ed-91b3-495e-92d8-8dfc0f96e649,1232,1,00:38:32.679,38,32,103,,42,Ball Receipt*,216,Getafe,4,From Throw In,216,Getafe,,,['a2ce88f4-2b77-4a52-8d58-130fa68600e0'],,"[83.8, 73.9]",11675.0,Moisés Gómez Bordonado,17.0,Right Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.679
65ea4e57-0dd4-413f-88f3-0c8bf4b881ef,1233,1,00:38:32.679,38,32,103,2.408097,43,Carry,216,Getafe,4,From Throw In,216,Getafe,,,"['53c33585-a8e6-4489-b3ab-a3ca04f25814', 'a6fb32ed-91b3-495e-92d8-8dfc0f96e649']",,"[83.8, 73.9]",11675.0,Moisés Gómez Bordonado,17.0,Right Wing,,,,,,,,,,,,,"[89.9, 73.5]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2312.679
