id,index,period,timestamp,minute,second,possession,duration,type_id,type_name,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,tactics_formation,tactics_lineup,related_events,location,player_id,player_name,position_id,position_name,pass_recipient_id,pass_recipient_name,pass_length,pass_angle,pass_height_id,pass_height_name,pass_end_location,pass_body_part_id,pass_body_part_name,pass_type_id,pass_type_name,carry_end_location,pass_outcome_id,pass_outcome_name,ball_receipt_outcome_id,ball_receipt_outcome_name,interception_outcome_id,interception_outcome_name,under_pressure,counterpress,dribble_outcome_id,dribble_outcome_name,dribble_overrun,pass_cross,pass_assisted_shot_id,pass_shot_assist,duel_type_id,duel_type_name,shot_statsbomb_xg,shot_end_location,shot_key_pass_id,shot_aerial_won,shot_technique_id,shot_technique_name,shot_body_part_id,shot_body_part_name,shot_type_id,shot_type_name,shot_outcome_id,shot_outcome_name,shot_freeze_frame,goalkeeper_end_location,goalkeeper_position_id,goalkeeper_position_name,goalkeeper_type_id,goalkeeper_type_name,pass_aerial_won,clearance_head,clearance_body_part_id,clearance_body_part_name,clearance_aerial_won,off_camera,pass_switch,pass_goal_assist,pass_no_touch,shot_first_time,goalkeeper_outcome_id,goalkeeper_outcome_name,goalkeeper_technique_id,goalkeeper_technique_name,duel_outcome_id,duel_outcome_name,out,clearance_right_foot,pass_outswinging,pass_technique_id,pass_technique_name,pass_through_ball,substitution_outcome_id,substitution_outcome_name,substitution_replacement_id,substitution_replacement_name,pass_deflected,foul_won_defensive,ball_recovery_recovery_failure,shot_one_on_one,goalkeeper_body_part_id,goalkeeper_body_part_name,pass_straight,foul_committed_advantage,foul_won_advantage,miscontrol_aerial_won,clearance_left_foot,foul_committed_penalty,foul_committed_card_id,foul_committed_card_name,foul_won_penalty,foul_committed_type_id,foul_committed_type_name,pass_miscommunication,timestamp_seconds
19daaeab-c6b4-4fe6-bc65-c82102779c0c,169,1,00:05:27.722,5,27,14,,42,Ball Receipt*,322,Eibar,4,From Throw In,322,Eibar,,,['c3b78fd8-3862-48f2-80f0-8b87e7ea6da2'],"[109.3, 61.8]",6742.0,Sergio Gontán Gallardo,12.0,Right Midfield,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.722
fd873803-3e6c-4d56-ba16-4ad6f2db1b86,170,1,00:05:27.722,5,27,15,1.516662,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['7035794a-7400-48c9-915b-71d69fa8865a', 'c3b78fd8-3862-48f2-80f0-8b87e7ea6da2']","[12.5, 15.6]",6789.0,Mikel Balenziaga Oruesagasti,6.0,Left Back,6396.0,Beñat Etxebarria Urkiaga,5.2,0.0,3.0,High Pass,"[17.7, 15.6]",37.0,Head,64.0,Interception,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327.722
7035794a-7400-48c9-915b-71d69fa8865a,171,1,00:05:29.238,5,29,15,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['fd873803-3e6c-4d56-ba16-4ad6f2db1b86'],"[17.7, 15.6]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.238
90f5832a-eefb-4507-900d-af624f821acf,172,1,00:05:29.238,5,29,15,0.933872,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['7035794a-7400-48c9-915b-71d69fa8865a', '8d99c254-5a1a-4e9d-bbd4-f31f6c2913c0', 'b3aae13c-898b-4c01-8b9d-3c97cc75cd6d']","[17.7, 15.6]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,,,,,,,,,,,,"[16.4, 12.1]",,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.238
b3aae13c-898b-4c01-8b9d-3c97cc75cd6d,173,1,00:05:29.756,5,29,15,0.379971,17,Pressure,215,Athletic Club,1,Regular Play,322,Eibar,,,['90f5832a-eefb-4507-900d-af624f821acf'],"[99.1, 66.4]",6775.0,Daniel García Carrillo,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329.756
8d99c254-5a1a-4e9d-bbd4-f31f6c2913c0,174,1,00:05:30.172,5,30,15,1.98219,30,Pass,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['7a3703cc-fa3d-4ef9-91fc-f4fe0a89d92f'],"[16.4, 12.1]",6396.0,Beñat Etxebarria Urkiaga,11.0,Left Defensive Midfield,6394.0,Aritz Aduriz Zubeldia,40.16416,0.2413555,3.0,High Pass,"[55.4, 21.7]",38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.172
7a3703cc-fa3d-4ef9-91fc-f4fe0a89d92f,175,1,00:05:32.154,5,32,15,,42,Ball Receipt*,215,Athletic Club,1,Regular Play,215,Athletic Club,,,['8d99c254-5a1a-4e9d-bbd4-f31f6c2913c0'],"[55.4, 21.7]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.154
384cf6e4-de28-45d4-80e8-f41c6bddbb5a,176,1,00:05:32.154,5,32,15,0.04,43,Carry,215,Athletic Club,1,Regular Play,215,Athletic Club,,,"['7a3703cc-fa3d-4ef9-91fc-f4fe0a89d92f', 'd56ef344-4261-44ad-a847-b0460b10dee1']","[55.4, 21.7]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,"[56.0, 21.9]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.154
d56ef344-4261-44ad-a847-b0460b10dee1,177,1,00:05:32.194,5,32,15,0.0,38,Miscontrol,215,Athletic Club,1,Regular Play,215,Athletic Club,,,,"[56.0, 21.9]",6394.0,Aritz Aduriz Zubeldia,23.0,Center Forward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332.194
1d8f86b8-ec30-4714-8b46-eba786779e61,178,1,00:05:34.452,5,34,15,0.0,9,Clearance,215,Athletic Club,1,Regular Play,322,Eibar,,,,"[49.9, 50.9]",6778.0,Iván Ramis Barrios,5.0,Left Center Back,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,Right Foot,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,334.452
